name,family,z_hours,duration_hours,conditioner_mode,total_events,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,event_symbol_count,top_symbol_share,top_symbol_counts_text,avg_event_duration_bars,median_event_duration_bars,avg_event_duration_hours,median_event_duration_hours,event_run_count,bars_to_peak_dispersion,speed_dispersion,monotonicity_dispersion,impulse_shape_dispersion,post_event_vol_dispersion,regime_distinctness_score,fold_base_rate_stability,fold_continuation_rate_std,fold_event_count_std,basic_directionality_edge_event_vs_non_event,original_sample_count,keep_pct_vs_original,primary_predictability_gain,continuation_predictability_gain,reversal_predictability_gain,bucket_primary_delta_fold_mean,bucket_primary_delta_fold_std,bucket_primary_delta_fold_count,bucket_primary_delta_fold_min,MAE_predictability_gain,MFE_predictability_gain,reversal_utility_gain,mae_event_oos_r2,mfe_event_oos_r2,magnitude_delta_r,magnitude_positive_fold_fraction,magnitude_stability_score,magnitude_fold_count,magnitude_delta_fold_mean,magnitude_delta_fold_std,selected_delta_metric,incremental_information_delta_auc,incremental_information_delta_auc_fold_mean,incremental_information_delta_auc_fold_std,incremental_information_positive_fold_fraction,incremental_information_positive_fold_count,incremental_information_fold_count,dispersion_to_edge_ratio,edge_to_dispersion_ratio,return_uplift,primary_predictability_gain_is_nan,predictability_gain,D_r,N_r,bucket_primary_predictability_gain,delta_r_raw,delta_r_fallback,delta_r,delta_r_fold_mean,delta_r_fold_std,positive_fold_fraction_r,S_r,delta_r_shrunk,uplift_anchor,primary_multiplier,worst_fold_multiplier,noise_penalty,disagreement_penalty,learnability_support,keep_fraction_vs_original,regime_information_gain,regime_information_efficiency,effective_edge,score_r,score_ml,feature_base
range_location|z=0|p=LOC_41_LowerQuartileOfRange_bool_1.0,range_location,0,1,none,3297,0.9411764705882353,64.6470588235294,54.54978784646718,1.7472178060413355,30,0.04883227176220807,"BAND/USDT:161, AIXBT/USDT:159, AUCTION/USDT:154, 1000CHEEMS/USDT:149, A2Z/USDT:142",4.6965813636779785,2.0,4.6965813636779785,2.0,702.0,0.0,0.0,0.0,0.0,0.0,1.1729918084430773,0.12073424458503723,0.12073424458503723,65.86961364746094,0.0037955534644424915,13888.0,23.739919354838708,0.050366594640187334,0.01771864009243468,0.017718640092434623,,,12.0,,-0.032763498218238984,-0.021681570150724028,0.00819783934124696,-0.02210875517770372,-0.028850645448746937,-0.02210875517770372,0.0,0.022343037149114897,12.0,-0.06110665202140808,0.05837603658437729,return_uplift,0.010867500241558081,,,0.0,0.0,12.0,0.0,3795.5534644424915,0.0037955534644424915,0.0,0.01771864,0.016655043,3297.0,0.01771864,0.0037955535,0.0054337503,0.0037955535,,,0.0,0.1,0.0032957438,1e-06,1.1753552,1.0,1.0,1.0,0.010867501,0.23739919,0.008729494,0.0042533264,1.1753552e-07,0.02704466,0.02704466,LOC_41_LowerQuartileOfRange
higher_tf_location|z=0|p=LOC_92_InsidePrevDayRange_bool_1.0,higher_tf_location,0,1,none,9901,0.9411764705882353,194.13725490196077,103.79901764011389,5.24695283518813,30,0.03464296535703464,"AUDIO/USDT:343, BAR/USDT:339, AEVO/USDT:337, ALCX/USDT:336, ARKM/USDT:336",19.11389923095703,13.0,19.11389923095703,13.0,518.0,0.0,0.0,0.0,0.0,0.0,0.9660356455957105,0.10510438680648804,0.10510438680648804,116.95500183105469,0.004644413013011217,13888.0,71.29176267281106,-0.058646093557256584,0.011619232448379868,0.011619232448380035,,,8.0,,0.0015939410753849081,0.0002807029279781048,-0.0106266725154478,-0.018888923209158692,-0.0074452965411691,-0.0074452965411691,0.08333333333333333,0.041666666666666664,12.0,-0.010165303945541382,0.014637144282460213,return_uplift,-0.0022098481707545914,,,0.0,0.0,12.0,0.0,4644.413013011217,0.004644413013011217,0.0,0.011619233,0.051970966,9901.0,0.011619233,0.004644413,-0.0011049241,0.004644413,,,0.0,0.1,0.0044211457,1e-06,1.1156722,1.0,1.0,1.0,0.0,0.7129176,0.0044211457,0.00373297,1.11567225e-07,0.018664962,0.018664962,LOC_92_InsidePrevDayRange
moving_average_location|z=0|p=LOC_06_StackedBelowAllEMAs_bool_1.0,moving_average_location,0,1,none,5079,1.0,99.58823529411765,73.08286365237004,2.6915739268680445,30,0.047844063792085056,"A2Z/USDT:243, BAND/USDT:212, ACM/USDT:210, ALPINE/USDT:210, ALICE/USDT:210",5.236082553863525,3.0,5.236082553863525,3.0,970.0,0.0,0.0,0.0,0.0,0.0,1.1077706758461856,0.11563786119222641,0.11563786119222641,99.63053131103516,0.0015447568148374557,13888.0,36.571140552995395,0.04954921320367539,0.0286839273796487,0.028683927379648755,,,12.0,,0.003064698931166898,0.0017061194987777473,0.03733360055079493,-0.02640719107352152,-0.015523009315773661,-0.015523009315773661,0.0,0.0,12.0,-0.030540673062205315,0.037345703691244125,return_uplift,0.007031073591480863,,,0.0,0.0,12.0,0.0,1544.7568148374557,0.0015447568148374557,0.0,0.028683927,0.05115549,5079.0,0.028683927,0.0015447568,0.003515537,0.0015447568,,,0.0,0.1,0.0014063129,1e-06,1.2792231,1.0,1.0,1.0,0.007031074,0.3657114,0.00492185,0.0029764432,1.279223e-07,0.017498314,0.017498314,LOC_06_StackedBelowAllEMAs
prior_bar_location|z=0|p=LOC_59_BetweenLastSwingLowHigh_bool_1.0,prior_bar_location,0,1,none,8997,1.0,176.41176470588235,83.98836905251524,4.767885532591415,30,0.03623430032232967,"ARDR/USDT:326, AMP/USDT:321, BARD/USDT:318, ALLO/USDT:317, A2Z/USDT:316",8.408411026000977,6.0,8.408411026000977,6.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.9633195458288234,0.0851927176117897,0.0851927176117897,83.40608978271484,0.001085164025425911,13888.0,64.78254608294931,0.07091215548375496,-0.008904039060352531,-0.008904039060352475,,,8.0,,0.0004840706442867937,0.0003481030441838673,0.02563489890540005,-0.020499866118409482,-0.012298549564688788,-0.012298549564688788,0.0,0.0,12.0,-0.013866070657968521,0.01708224043250084,return_uplift,0.004065236773369285,,,0.0,0.0,12.0,0.0,1085.164025425911,0.001085164025425911,0.0,0.00048407065,-0.03558308,8997.0,-0.008904039,0.001085164,0.0020326183,0.001085164,,,0.0,0.1,0.0010280322,1e-06,0.9111942,1.0,1.0,0.65,0.0040652365,0.6478255,0.0030606505,0.0024634444,5.9227624e-08,0.013569098,0.013569098,LOC_59_BetweenLastSwingLowHigh
band_location|z=0|p=LOC_119_BetweenBBMidAndLower_bool_1.0,band_location,0,1,none,5266,0.9411764705882353,103.25490196078431,62.25685036321104,2.7906730259671435,30,0.04329661982529434,"A2Z/USDT:228, BAND/USDT:217, ATM/USDT:201, AIXBT/USDT:200, ATOM/USDT:197",4.795992851257324,3.0,4.795992851257324,3.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.9406088867148565,0.11733593791723251,0.11733593791723251,78.88388061523438,0.000710656400769949,13888.0,37.9176267281106,-0.011067973632746253,-0.029532185690965995,-0.02953218569096594,,,12.0,,0.0027073432840032385,0.000701525970896455,0.04090404414380111,-0.03467208897407592,-0.00442799460275678,-0.00442799460275678,0.0,0.010439056750060793,12.0,-0.02794358693063259,0.027360178530216217,return_uplift,0.0040177750163664094,,,0.0,0.0,12.0,0.0,710.656400769949,0.000710656400769949,0.0,0.0027073433,0.026896436,5266.0,-0.029532185,0.0007106564,0.0020088875,0.0007106564,,,0.0,0.1,0.00064903166,1e-06,0.7129743,1.0,1.0,0.65,0.004017775,0.37917626,0.0026579192,0.0016366746,4.6343327e-08,0.009005398,0.009005398,LOC_119_BetweenBBMidAndLower
microstructure_location|z=0|p=LOC_152_BetweenPivotAndR1_bool_1.0,microstructure_location,0,1,none,4064,0.9411764705882353,79.68627450980392,62.26429757724235,2.1536830948595655,30,0.05216535433070866,"AEVO/USDT:212, BCH/USDT:193, ASTR/USDT:190, ALLO/USDT:179, BAR/USDT:176",4.332622528076172,2.0,4.332622528076172,2.0,938.0,0.0,0.0,0.0,0.0,0.0,1.0149364691494815,0.11515186727046967,0.11515186727046967,82.33772277832031,0.001960112014785409,13888.0,29.262672811059907,-0.03781625300733393,-0.01896649014399615,-0.018966490143996095,,,12.0,,-0.0026750691686630024,-0.004048096552412783,-0.03676966501938472,-0.018958205688914598,-0.013504360391474401,-0.013504360391474401,0.0,0.0,12.0,-0.019846627488732338,0.024775873869657516,return_uplift,0.002729835519515944,,,0.0,0.0,12.0,0.0,1960.112014785409,0.001960112014785409,0.0,-0.0026750693,0.026879648,4064.0,-0.01896649,0.001960112,0.0013649177,0.001960112,,,0.0,0.1,0.0017453758,1e-06,0.8125771,1.0,1.0,0.65,0.0027298355,0.29262674,0.0031102935,0.0016825127,5.2817516e-08,0.008986743,0.008986743,LOC_152_BetweenPivotAndR1
session_location|z=0|p=LOC_71_BelowSessionOpen_bool_1.0,session_location,0,1,none,5908,1.0,115.84313725490196,79.53871237723314,3.1308956014838367,30,0.044177386594448205,"A2Z/USDT:261, BAND/USDT:249, ARDR/USDT:244, BARD/USDT:231, ADA/USDT:230",7.930201530456543,3.0,7.930201530456543,3.0,745.0,0.0,0.0,0.0,0.0,0.0,1.0791419802535331,0.0979866310954094,0.0979866310954094,88.6315689086914,0.002085012150928378,13888.0,42.54032258064516,0.048026779486361415,0.025922533944508663,0.02592253394450872,,,12.0,,0.004067811899156393,0.0029001895836748837,0.04564642661580698,-0.02661024029722725,-0.015310035658371746,-0.015310035658371746,0.0,0.0008119262054943621,12.0,-0.020230045542120934,0.020197195932269096,return_uplift,-0.011752145552526072,,,0.0,0.0,12.0,0.0,2085.012150928378,0.002085012150928378,0.0,0.025922533,-0.0012731738,5908.0,0.025922533,0.0020850122,-0.0058760727,0.0020850122,,,0.0,0.1,0.001922324,1e-06,1.2535708,1.0,1.0,1.0,0.0,0.4254032,0.001922324,0.0012537963,1.2535708e-07,0.0062691066,0.0062691066,LOC_71_BelowSessionOpen
distance_location|z=0|p=LOC_170_NotTooExtendedAboveEMA_bool_1.0,distance_location,0,1,none,10641,1.0,208.64705882352942,99.07529787092354,5.639109697933227,30,0.035147072643548535,"ACM/USDT:374, ALPINE/USDT:373, ARKM/USDT:371, 1000CAT/USDT:369, ALCX/USDT:369",41.08494186401367,21.0,41.08494186401367,21.0,259.0,0.0,0.0,0.0,0.0,0.0,0.968204449690413,0.09254708141088486,0.09254708141088486,103.41109466552734,-0.00014467397704720497,13888.0,76.62010368663594,0.0669806522911881,0.0038463546793954806,0.003846354679395536,,,8.0,,0.0009704772398546613,0.0008962419899503082,0.03930015447545121,-0.02846318903306755,-0.012118457395704052,-0.012118457395704052,0.0,0.0,12.0,-0.011735320091247559,0.017020700499415398,return_uplift,0.0024570938525518282,,,0.0,0.0,12.0,0.0,144.67397704720497,-0.00014467397704720497,0.0,0.0038463548,0.0069868267,10641.0,0.0038463548,-0.00014467398,0.001228547,-0.00014467398,,,0.0,0.1,-0.00013818112,0.00013818112,1.0384446,1.0,1.0,0.65,0.002457094,0.766201,0.001228547,0.0010753829,9.327074e-06,0.0057171043,0.0057171043,LOC_170_NotTooExtendedAboveEMA
pullback_location|z=0|p=LOC_133_DeepPullback_Short_bool_1.0,pullback_location,0,1,none,5064,0.9607843137254902,99.29411764705883,64.10447787046536,2.68362480127186,30,0.04048183254344392,"A2Z/USDT:205, BAND/USDT:201, ADA/USDT:200, ATOM/USDT:192, ALICE/USDT:189",3.9531614780426025,2.0,3.9531614780426025,2.0,1281.0,0.0,0.0,0.0,0.0,0.0,1.1382016339292191,0.09428807348012924,0.09428807348012924,62.33756637573242,0.0020674255210906267,13888.0,36.463133640552996,0.004502124740439095,-0.00629616430590213,-0.006296164305902019,,,12.0,,0.0015951929576301094,0.0020696134712014924,0.02535968895903129,-0.03636874131768253,-0.010785379054160549,-0.010785379054160549,0.0,0.0,12.0,-0.027448482811450958,0.02966981567442417,return_uplift,-0.0073435628455768565,,,0.0,0.0,12.0,0.0,2067.4255210906267,0.0020674255210906267,0.0,0.0020696134,-0.044497374,5064.0,-0.0062961644,0.0020674255,-0.0036717814,0.0020674255,,,0.0,0.1,0.0018816396,1e-06,0.9371214,1.0,1.0,0.65,0.0,0.36463135,0.0018816396,0.0011362227,6.091289e-08,0.005681175,0.005681175,LOC_133_DeepPullback_Short
higher_tf_location|z=0|p=LOC_95_AbovePrevDayMid_bool_1.0,higher_tf_location,0,1,none,4160,0.9411764705882353,81.56862745098039,63.604246652513346,2.204557498675146,30,0.054086538461538464,"AEVO/USDT:225, BCH/USDT:198, ASTR/USDT:189, BAR/USDT:183, ALLO/USDT:182",6.603174686431885,3.0,6.603174686431885,3.0,630.0,0.0,0.0,0.0,0.0,0.0,1.0370494016851377,0.11409816890954971,0.11409816890954971,82.11661529541016,0.0022016072180122137,13888.0,29.953917050691246,-0.043467785820040405,-0.02273911054547134,-0.022739110545471286,,,12.0,,-0.0026726088552146976,-0.003941949864786354,-0.03794176476781064,-0.018860710006838977,-0.016705859438284287,-0.016705859438284287,0.0,0.0,12.0,-0.02881512977182865,0.02986474148929119,return_uplift,-0.006909215857247575,,,0.0,0.0,12.0,0.0,2201.6072180122137,0.0022016072180122137,0.0,-0.002672609,0.024335124,4160.0,-0.02273911,0.0022016072,-0.003454608,0.0022016072,,,0.0,0.1,0.0019653833,1e-06,0.7764487,1.0,1.0,0.65,0.0,0.29953918,0.0019653833,0.0010756577,5.0469165e-08,0.0053783385,0.0053783385,LOC_95_AbovePrevDayMid
