cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_ap_lift,cell_tp_over_sl,cell_sl_to_tp,cell_bind,cell_timeout,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_barrier_ratio,cell_n
MR_long_H2,MR_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5671,0.5924,0.04632,1.208,1.6846,2.8064,0.3518,0.6482478361832383,0.1532,0.25823,0.4444,0.04958,0.03169,-0.01809,-0.06965,0.6923,18948
MR_long_H2,MR_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5151,0.5275,-0.00057,1.0181,1.6814,2.8103,0.3484,0.6516397764420542,0.20622,0.33929,0.3333,0.02991,0.05259,-0.00818,-0.0436,0.6915,18966
MR_long_H2,MR_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5669,0.582,0.05117,1.238,1.3153,1.7596,0.2548,0.7451611201940825,0.20911,0.3498,0.4444,0.0564,0.03021,-0.02394,-0.03918,0.8896,18961
MR_long_H4,MR_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5492,0.5608,0.04571,1.1771,1.6869,2.6877,0.3874,0.6126467645974832,0.16353,0.25841,0.5556,0.06024,0.05571,0.00549,-0.01487,0.6693,18993
MR_long_H4,MR_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5108,0.5179,0.00118,1.0305,1.6852,2.6625,0.3832,0.6168096415978106,0.21516,0.33756,0.4,0.03973,0.07627,-0.00428,-0.02175,0.6688,19001
MR_long_H4,MR_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5477,0.5486,0.04037,1.1732,1.3101,1.672,0.2826,0.7173993156093709,0.22212,0.35279,0.6667,0.06576,0.04816,0.00606,0.02906,0.8682,18995
MR_long_H8,MR_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5278,0.5266,0.01138,1.068,1.68,2.412,0.4488,0.5511943596758918,0.18291,0.25641,0.5556,0.09752,0.05124,-0.00308,0.02501,0.6565,19006
MR_long_H8,MR_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.4927,0.4967,-0.00862,0.991,1.6756,2.415,0.4438,0.5562394781144782,0.22316,0.32027,0.2,0.06254,0.08319,-0.01337,-0.01951,0.6561,19008
MR_long_H8,MR_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.534,0.5301,0.02345,1.0944,1.2785,1.4873,0.3341,0.6659301346801347,0.24135,0.34883,0.5556,0.09781,0.0449,0.01198,0.04496,0.856,19008
MR_short_H2,MR_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.585,0.6157,0.03552,1.2666,1.5845,2.912,0.4146,0.5853740195140616,0.15192,0.23442,0.4444,0.05275,0.0407,0.00702,-0.05777,0.6972,20908
MR_short_H2,MR_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5114,0.511,-0.00948,1.0302,1.5791,2.9186,0.412,0.5879653969316063,0.20087,0.31242,0.6667,0.02656,0.03052,0.02106,0.00805,0.6962,20923
MR_short_H2,MR_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5866,0.6055,0.04373,1.2654,1.2241,1.9658,0.3193,0.6806630362090379,0.19428,0.30905,0.5556,0.05595,0.03732,0.00354,-0.0254,0.8939,20934
MR_short_H4,MR_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5767,0.605,0.02807,1.2078,1.6115,2.8837,0.4584,0.5415855222533605,0.15807,0.22731,0.5556,0.06968,0.04976,0.02208,-0.03988,0.672,21053
MR_short_H4,MR_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5105,0.5071,-0.0085,1.0133,1.6141,2.8977,0.4561,0.5439479557433876,0.20444,0.3028,0.8333,0.0426,0.0391,0.02816,0.01779,0.6716,21059
MR_short_H4,MR_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5753,0.5949,0.02651,1.2,1.2325,1.9906,0.3644,0.6355779276284548,0.19676,0.29547,0.5556,0.07228,0.05067,0.01002,-0.0221,0.8708,21058
MR_short_H8,MR_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5449,0.5566,0.03377,1.1284,1.6466,2.6382,0.5169,0.4830693351038604,0.17855,0.2327,0.3333,0.08672,0.03002,0.00767,0.00263,0.6578,21086
MR_short_H8,MR_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5164,0.5096,0.00114,1.0249,1.652,2.656,0.5146,0.4853931518543109,0.21343,0.28948,1.0,0.05436,0.03391,0.03344,0.03149,0.6574,21086
MR_short_H8,MR_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5456,0.5551,0.03618,1.1424,1.2519,1.8102,0.415,0.5849656153663741,0.21493,0.29417,0.5556,0.08134,0.0276,0.0084,0.00596,0.8572,21085
TF_long_H2,TF_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.6429,0.6725,0.16467,1.62,1.5835,1.8621,0.41,0.590013392003061,0.19893,0.27657,0.6667,0.04361,0.04909,0.0318,0.01148,0.6972,20908
TF_long_H2,TF_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5712,0.5856,0.12514,1.2793,1.5792,1.8879,0.4074,0.5925536490942982,0.22899,0.3251,0.6,0.03351,0.05081,0.01676,0.00843,0.6962,20923
TF_long_H2,TF_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.6445,0.6643,0.16197,1.624,1.2324,1.1741,0.3179,0.6820961115888029,0.23036,0.32589,0.6667,0.04059,0.05017,0.02131,0.04204,0.8939,20934
TF_long_H4,TF_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.6305,0.657,0.15891,1.5523,1.5822,1.7457,0.4579,0.5421080131097705,0.21148,0.27086,0.4444,0.05702,0.05648,0.04286,0.03613,0.672,21053
TF_long_H4,TF_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5687,0.5819,0.10176,1.2631,1.5798,1.7439,0.4558,0.544232869556959,0.2411,0.31853,0.6667,0.03593,0.06207,0.01942,0.02384,0.6716,21059
TF_long_H4,TF_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.6326,0.6505,0.16577,1.54,1.2172,1.117,0.3634,0.6365751733308006,0.23427,0.30589,0.4444,0.0523,0.05247,0.02501,0.06131,0.8708,21058
TF_long_H8,TF_long,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.5896,0.6084,0.10916,1.2997,1.6239,1.8152,0.5179,0.48209627697415225,0.21957,0.2631,0.5556,0.06269,0.04874,0.038,0.03928,0.6578,21085
TF_long_H8,TF_long,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5344,0.5414,0.07447,1.1364,1.6215,1.807,0.514,0.4859852976049324,0.24522,0.30532,0.6667,0.03251,0.05173,0.01251,0.01581,0.6574,21085
TF_long_H8,TF_long,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.5879,0.6004,0.11207,1.2773,1.2358,1.1779,0.417,0.5830211050509841,0.2428,0.2968,0.7778,0.06121,0.05221,0.02064,0.05269,0.8572,21085
TF_short_H2,TF_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.672,0.6958,0.13968,1.8229,1.4737,2.1594,0.339,0.6610196326789107,0.17234,0.27047,0.6667,0.06753,0.03517,0.03631,0.01053,0.6923,18948
TF_short_H2,TF_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5985,0.6096,0.05213,1.2789,1.4914,2.1825,0.3364,0.6635558367605188,0.19836,0.30764,0.6,0.03893,0.03795,0.00326,0.01689,0.6915,18966
TF_short_H2,TF_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.6729,0.6877,0.13889,1.8303,1.1398,1.3401,0.2497,0.7503296239649807,0.2212,0.34852,0.6667,0.06311,0.03222,0.0333,0.0477,0.8896,18961
TF_short_H4,TF_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.6534,0.6732,0.13275,1.7155,1.5083,2.2146,0.3674,0.6325681794250816,0.17587,0.26643,0.7778,0.08369,0.05178,0.04921,0.02817,0.6693,18994
TF_short_H4,TF_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5914,0.6017,0.05102,1.2955,1.5256,2.2644,0.3638,0.6361627111508709,0.20253,0.30843,0.6,0.05109,0.04142,0.00933,0.02175,0.6688,19003
TF_short_H4,TF_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.6551,0.6684,0.13444,1.7183,1.1513,1.448,0.2762,0.7238220584364307,0.22335,0.34446,0.5556,0.08002,0.05128,0.03728,0.0505,0.8682,18995
TF_short_H8,TF_short,CFGE4C5BB082F,1,0.9,0.6,840,0.037,0.005,0.005,optuna_s2,0.6046,0.6142,0.11543,1.4101,1.5857,2.4055,0.4246,0.5754116471145247,0.17521,0.25163,0.6667,0.11698,0.06226,0.04705,0.04578,0.6565,19009
TF_short_H8,TF_short,CFGF30730167C,2,1.3,0.6,504,0.026,0.005,0.005,optuna_s2,0.5408,0.5463,0.02109,1.081,1.5965,2.407,0.4218,0.5781611613717652,0.20624,0.29911,0.5,0.07165,0.06858,0.00155,0.01174,0.6561,19012
TF_short_H8,TF_short,CFG22777046EC,3,2.0,0.8,840,0.017,0.005,0.005,optuna_s2,0.6009,0.607,0.11349,1.4001,1.2002,1.6028,0.3278,0.6721906565656566,0.22146,0.32861,0.7778,0.11627,0.06409,0.035,0.05664,0.856,19008
