feature_name,group,usage_count
reg_atr_change_rate_ts_band25_75,regime,296
reg_atr_change_rate_ts_top50,regime,281
reg_atr_change_rate_ts_top40,regime,272
reg_atr_change_rate_ts_top60,regime,241
reg_atr_change_rate_ts_top20,regime,225
reg_atr_change_rate_ts_bot80,regime,192
reg_atr_change_rate_ts_top30,regime,184
reg_atr_change_rate_ts_top70,regime,183
loc_dist_ema20_atr_ts_top20,location,86
loc_dist_ema20_atr_ts_top60,location,85
loc_dist_ema20_atr_ts_top30,location,73
loc_dist_ema20_atr_ts_top50,location,73
loc_dist_ema20_atr_ts_top70,location,70
loc_dist_ema20_atr_ts_bot80,location,68
loc_dist_ema20_atr_ts_band25_75,location,67
loc_dist_ema20_atr_ts_top40,location,52
reg_atr_change_rate_ts_band20_80,regime,49
reg_atr_change_rate_ts_bot50,regime,38
reg_atr_change_rate_ts_band30_70,regime,36
loc_dist_ema20_atr_ts_band20_80,location,26
reg_atr_change_rate_ts_bot70,regime,20
reg_atr_compression_ratio_ts_top20,regime,18
reg_atr_change_rate_ts_bot60,regime,18
reg_atr_change_rate_ts_bot30,regime,15
loc_dist_ema20_atr_ts_band30_70,location,15
loc_dist_ema50_atr_ts_band25_75,location,14
reg_atr_compression_ratio_ts_top50,regime,11
reg_atr_change_rate_ts_bot40,regime,11
loc_dist_ema20_atr_ts_bot70,location,9
reg_atr_compression_ratio_ts_band25_75,regime,9
loc_dist_ema20_atr_ts_bot40,location,7
loc_dist_ema20_atr_ts_bot30,location,7
loc_dist_ema50_atr_ts_top20,location,7
reg_atr_compression_ratio_ts_bot80,regime,7
reg_atr_compression_ratio_ts_band30_70,regime,6
reg_atr_percentile_ts_band20_80,regime,5
loc_dist_ema50_atr_ts_top50,location,5
loc_dist_ema50_atr_ts_bot80,location,5
loc_dist_ema20_atr_ts_bot50,location,5
loc_dist_ema20_atr_ts_bot60,location,4
reg_atr_compression_ratio_ts_band20_80,regime,3
loc_dist_ema200_atr_ts_band25_75,location,3
reg_atr_compression_ratio_ts_top30,regime,1
