feature_name,group,usage_count
reg_atr_change_rate_ts_band25_75,regime,381
reg_atr_change_rate_ts_top40,regime,380
reg_atr_change_rate_ts_top50,regime,352
reg_atr_change_rate_ts_top60,regime,309
reg_atr_change_rate_ts_top20,regime,287
reg_atr_change_rate_ts_bot80,regime,243
reg_atr_change_rate_ts_top30,regime,228
reg_atr_change_rate_ts_top70,regime,210
loc_dist_ema20_atr_ts_top50,location,112
loc_dist_ema20_atr_ts_top60,location,102
reg_atr_change_rate_ts_band20_80,regime,94
loc_dist_ema20_atr_ts_band25_75,location,88
loc_dist_ema20_atr_ts_top70,location,84
loc_dist_ema20_atr_ts_top20,location,84
loc_dist_ema20_atr_ts_bot80,location,82
loc_dist_ema20_atr_ts_top30,location,80
reg_atr_change_rate_ts_band30_70,regime,80
loc_dist_ema20_atr_ts_top40,location,77
reg_atr_change_rate_ts_bot50,regime,48
loc_dist_ema20_atr_ts_band20_80,location,28
reg_atr_change_rate_ts_bot30,regime,26
reg_atr_compression_ratio_ts_top20,regime,23
reg_atr_change_rate_ts_bot60,regime,20
reg_atr_change_rate_ts_bot70,regime,19
loc_dist_ema50_atr_ts_band25_75,location,19
reg_atr_compression_ratio_ts_top50,regime,17
reg_atr_change_rate_ts_bot40,regime,14
loc_dist_ema20_atr_ts_bot70,location,13
loc_dist_ema20_atr_ts_bot40,location,12
loc_dist_ema20_atr_ts_band30_70,location,11
reg_atr_compression_ratio_ts_band25_75,regime,9
reg_atr_percentile_ts_band25_75,regime,9
loc_dist_ema50_atr_ts_top50,location,9
loc_dist_ema50_atr_ts_top20,location,7
loc_dist_ema20_atr_ts_bot30,location,7
reg_atr_percentile_ts_band20_80,regime,6
loc_dist_ema20_atr_ts_bot50,location,5
loc_dist_ema50_atr_ts_bot80,location,4
reg_atr_compression_ratio_ts_band30_70,regime,4
loc_dist_ema200_atr_ts_band25_75,location,3
reg_atr_compression_ratio_ts_band20_80,regime,2
