canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top60==1),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top60==1,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,9.033798731544086e-05,0.00029739809468397533,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00029739809468397533, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0&reg_atr_compression_ratio_ts_top20==1),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0&reg_atr_compression_ratio_ts_top20==1,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,9.033798731544086e-05,0.00029739809468397533,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00029739809468397533, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0),*,*,reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,9.033798731544086e-05,0.00029739809468397533,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00029739809468397533, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_band30_70==1)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top60==1),*,loc_dist_ema20_atr_ts_band30_70==1,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top60==1,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,7.026287902312066e-05,0.0003174732029762955,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0003174732029762955, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_top70==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1),*,loc_dist_ema20_atr_ts_top70==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,9.033798731544086e-05,0.00029739809468397533,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00029739809468397533, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_top70==0)|(reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1),*,loc_dist_ema20_atr_ts_top70==0,reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==1,0.00038773608199941617,0.00038773608199941617,0.00010283649876211348,0.026125173394878704,0.10562110783349721,0.0030703913058185268,1.0,1.0,0.5327963176064442,2082,,,0.0004986580300229084,-0.0003847800609146401,0.0002018471318144093,0.0012336906718562076,,0.6666666666666666,0.0750596903582199,4.533855090737182,1.0,0.09516554883686258,0.08803232218378314,-18.29151106819938,0.010844596663751468,0.34088272303778794,0.005937845172467113,12.0,0.999329299739067,0.8850889824792326,0.999329299739067,0.13435526459311348,0.01,0.08153271283995796,0.08153271283995796,7.026287902312066e-05,0.0003174732029762955,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.0750596903582199,0.08803232218378314,-0.03970319129242469,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00038773608199941617, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0003174732029762955, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2082, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.005937845172467113, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_bot80==1&loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top60==1),*,loc_dist_ema20_atr_ts_bot80==1&loc_dist_ema20_atr_ts_top20==1,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top60==1,9.539542467488597e-05,9.539542467488597e-05,0.0002840570333419457,0.025752874091267586,0.15822681088167814,0.002745380739609556,1.0,1.0,0.5166093928980527,3173,,,-0.002886467608283767,-0.006237991221179753,-0.005154871898302738,-0.0006691461403972652,,0.3333333333333333,0.0369374268621288,3.0660725596125933,1.0,0.08765462776376616,0.04991005868769204,-6.951652925287206,0.012794604653643175,0.31922263884992563,0.006174647595731093,12.0,0.999329299739067,0.8861125778376665,0.999329299739067,0.13955198845214833,0.01,0.06893122859255323,0.06893122859255323,9.049680943261507e-05,4.8986152422709e-06,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0369374268621288,0.04991005868769204,-0.05888107347333064,0.9059793042093927,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 9.539542467488597e-05, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 4.8986152422709e-06, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3173, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.006174647595731093, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0&reg_ema20_gt_ema50_raw==1,0.0007208850972043971,0.0007208850972043971,0.0013935043948152307,0.019720918188492458,0.06206161914126516,0.006213693821758266,1.0,1.0,0.5532831001076426,1136,,,0.015182325545301844,0.0035543890497433915,0.0052336039957266945,0.02183590126607272,,1.0,,,,-0.03630413333270013,,,,0.03623904116624627,0.018083515430225724,12.0,0.999329299739067,0.5028527583041157,0.999329299739067,0.7202027549446024,0.01,0.04258164761556431,0.04258164761556431,9.356511580660724e-05,0.0006273199813977898,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,,,0.19275877406211558,0.3929859062602425,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007208850972043971, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006273199813977898, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1136, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.018083515430225724, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0&reg_ema20_gt_ema50_raw==1,0.0007208850972043971,0.0007208850972043971,0.0013935043948152307,0.019720918188492458,0.06206161914126516,0.006213693821758266,1.0,1.0,0.5532831001076426,1136,,,0.015182325545301844,0.0035543890497433915,0.0052336039957266945,0.02183590126607272,,1.0,,,,-0.03630413333270013,,,,0.03623904116624627,0.018083515430225724,12.0,0.999329299739067,0.5028527583041157,0.999329299739067,0.7202027549446024,0.01,0.04258164761556431,0.04258164761556431,9.356511580660724e-05,0.0006273199813977898,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,,,0.19275877406211558,0.3929859062602425,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007208850972043971, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006273199813977898, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1136, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.018083515430225724, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==1,0.0007208850972043971,0.0007208850972043971,0.0013935043948152307,0.019720918188492458,0.06206161914126516,0.006213693821758266,1.0,1.0,0.5532831001076426,1136,,,0.015182325545301844,0.0035543890497433915,0.0052336039957266945,0.02183590126607272,,1.0,,,,-0.03630413333270013,,,,0.03623904116624627,0.018083515430225724,12.0,0.999329299739067,0.5028527583041157,0.999329299739067,0.7202027549446024,0.01,0.04258164761556431,0.04258164761556431,9.356511580660724e-05,0.0006273199813977898,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,,,0.19275877406211558,0.3929859062602425,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007208850972043971, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006273199813977898, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1136, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.018083515430225724, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
