asset,d,n_rows,warmup_bars,K_d,ic_overall_mean,ic_overall_std,ic_event_mean,ic_event_std,ic_nonevent_mean,ic_nonevent_std,ic_ir_event,n_folds_used
1000CAT/USDC,0.2,6728,3381,3382,-0.04006639165467937,0.02718219992135529,-0.07987274790589229,0.0836101444826906,-0.033426200564097834,0.027670802539786644,-0.95529971207176,4
1000CAT/USDC,0.3,6728,3381,2275,-0.03320254854739954,0.03465858869249501,-0.0666413922670479,0.08776165506784538,-0.029684750314957518,0.03378327784469476,-0.7593451998618832,4
1000CAT/USDC,0.4,6728,3381,1458,-0.026873728604349577,0.03731163688795786,-0.06743220548657525,0.08428868960131468,-0.02063757791662894,0.034765262753990035,-0.8000148656422892,4
1000CAT/USDC,0.5,6728,3381,927,-0.02034939215835229,0.037307942443333464,-0.06533322745355334,0.08356750633507627,-0.011121108175868666,0.03290274794660625,-0.7818017975765402,4
1000CAT/USDC,0.6,6728,3381,590,-0.015038245687978083,0.03467644174476799,-0.0639799172154404,0.08179045589738132,-0.0037875112959586763,0.029887894123544843,-0.7822418365471784,4
1000CAT/USDT,0.2,6775,3381,3382,0.0052107521607093615,0.051754080892575,-0.06918964463841719,0.09508050917272547,0.013828867060054897,0.045512548669237006,-0.7276953448474948,4
1000CAT/USDT,0.3,6775,3381,2275,0.01324110393911195,0.04829934775501611,-0.05433020596251867,0.09450755103016571,0.02046299266094885,0.04012596271001475,-0.5748768727516833,4
1000CAT/USDT,0.4,6775,3381,1458,0.019091610129297422,0.04480951811273942,-0.040905023993240905,0.09301326703685922,0.0260075483653746,0.034644978172010774,-0.43977622608670297,4
1000CAT/USDT,0.5,6775,3381,927,0.021965495301629192,0.04149875734605762,-0.029220981241169813,0.09196337759974313,0.0278636838124253,0.028032457695952164,-0.31774584281368967,4
1000CAT/USDT,0.6,6775,3381,590,0.021665183134470106,0.03632208197784906,-0.02339255735219105,0.0887527177617279,0.02730996352074625,0.02224350261594487,-0.2635700368232373,4
1000CHEEMS/USDT,0.2,5478,3381,3382,-0.011720826258958029,0.028209363257314945,0.023046424689505,0.04931788929841831,-0.02751568328423481,0.04891857460789219,0.4673035393455209,4
1000CHEEMS/USDT,0.3,5478,3381,2275,-0.02298856751782924,0.03335270420635478,0.013679025755487878,0.056889227024284124,-0.03908052429462297,0.057919086782985636,0.24045019119698294,4
1000CHEEMS/USDT,0.4,5478,3381,1458,-0.03396314155640351,0.036529705183901286,-0.0025990080658511144,0.0591294977727498,-0.04515279706647081,0.06266315386587636,-0.04395450865970952,4
1000CHEEMS/USDT,0.5,5478,3381,927,-0.03955865967886424,0.03735850022289867,-0.015394122480809824,0.05849967218384336,-0.046299928469198504,0.06292890821291705,-0.2631488629420485,4
1000CHEEMS/USDT,0.6,5478,3381,590,-0.04036616576857203,0.03582292162439188,-0.02348755086043052,0.054424191915583314,-0.044665773044243615,0.057047682084942514,-0.4315645230947525,4
1000SATS/USDT,0.2,14107,3381,3382,-0.011845270942061609,0.027444277079083288,0.030324671280548263,0.06532712702374058,-0.031467247415138386,0.01933673615796181,0.46419722093902477,4
1000SATS/USDT,0.3,14107,3381,2275,-0.012192282749038972,0.03317745649821751,0.0334409796552383,0.06993559721477126,-0.03101496823437326,0.019767704044320645,0.4781682077350866,4
1000SATS/USDT,0.4,14107,3381,1458,-0.009450541849673606,0.03441044955872972,0.040080898571917545,0.06805134207181368,-0.028722421731644972,0.02014341319788762,0.5889802722867747,4
1000SATS/USDT,0.5,14107,3381,927,-0.008221836383482974,0.03188043918965442,0.04403893527976875,0.05989719746249285,-0.027360221223330317,0.018277648107049637,0.7352419881097708,4
1000SATS/USDT,0.6,14107,3381,590,-0.00867560517305897,0.027954050695130808,0.042925349409883906,0.05108432538299304,-0.02737171497463778,0.0165085127488607,0.8402841428907357,4
