cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
MR_long_H2,MR_long,CFGDAFE1D7391,1,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6507,0.5449,0.12772,0.5798405759835433,0.4202,1.595,1.7768,0.31544,0.45269,0.5556,0.04786,0.04041,-0.01994,-0.06045,15556
MR_long_H2,MR_long,CFG99102C1741,2,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.6339,0.5492,0.11655,0.5513351602829648,0.4487,1.5017,1.7708,0.31633,0.4475,0.3333,0.06194,0.03771,-0.01272,-0.04127,15691
MR_long_H2,MR_long,CFG0D6C75B2B4,3,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6476,0.5259,0.12929,0.5932759064026742,0.4067,1.5785,1.7321,0.31734,0.45417,0.5556,0.04974,0.04737,-0.01667,-0.08484,15556
MR_long_H2,MR_long,CFGA0C979DB84,4,1.25,0.6,336,0.01,0.005,0.005,atr_norm,0.6303,0.5298,0.12051,0.5665668217449493,0.4334,1.4897,1.7368,0.31885,0.44936,0.4444,0.0593,0.04178,-0.0098,-0.06803,15691
MR_long_H2,MR_long,CFGE2B04ABDAE,5,1.0,0.4,336,0.015,0.005,0.005,atr_norm,0.6127,0.5401,0.08601,0.5875797127361583,0.4124,1.4729,1.9798,0.3146,0.47274,0.5556,0.06227,0.04164,-0.01835,-0.06331,16779
MR_long_H2,MR_long,CFGA86127A686,6,1.6,0.4,336,0.01,0.005,0.005,atr_norm,0.5977,0.5339,0.08133,0.599547904712224,0.4005,1.4552,2.0361,0.31357,0.47988,0.5556,0.05848,0.04289,-0.02013,-0.06528,17253
MR_long_H4,MR_long,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6422,0.5163,0.16962,0.4396459057856465,0.5604,1.4681,1.8547,0.29818,0.36481,0.5556,0.06346,0.05312,0.01534,-0.06691,15815
MR_long_H4,MR_long,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6433,0.5291,0.15756,0.4149916784022532,0.585,1.4472,1.8768,0.2967,0.35962,0.5556,0.05009,0.04147,0.00409,-0.04826,15622
MR_long_H4,MR_long,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6322,0.5322,0.16732,0.37959629724865,0.6204,1.4017,1.8869,0.29745,0.34887,0.6667,0.06398,0.0467,0.01002,-0.03318,15556
MR_long_H4,MR_long,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6384,0.5113,0.15166,0.4292664191524772,0.5707,1.4272,1.8315,0.29843,0.3604,0.5556,0.06247,0.05405,0.01982,-0.06941,15622
