config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,slice,side,kind,horizon,n_samples,n_days,opportunities_per_day,tp_sl_ratio,label_pos_rate,mean_ret_bps,sharpe,sortino,weighted_ret_bps
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,30.416841618716717,16.76629528798597,113.89989786985883,41.39601718634367
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,41.21941514313221,19.953372761287298,160.93844492054424,56.265271268785
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,51.780520007014275,19.61387935359671,103.86743122022145,58.1474881619215
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,-2.789556747302413,-1.5736182926185849,-10.98637354599534,2.650237875059247
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,-3.90238274121657,-2.146561251427561,-14.182184920519369,0.9380525443702936
A_P06_R06,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,-9.159825858660042,-3.7779057727283574,-23.49784317570947,-6.229666178114712
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,240,0.0,240.0,1.00:0.50,0.35,31.27970965579152,16.075679603742376,120.28337131087116,39.188312366604805
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,240,0.0,240.0,1.00:0.50,0.35,42.70861390978098,19.477489576634316,174.30884443133334,52.968328818678856
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,240,0.0,240.0,1.00:0.50,0.35,54.443697445094585,19.96186795959822,110.81715173917878,57.4389798566699
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,240,0.0,240.0,1.00:0.50,0.35,3.358068934176117,1.7040157822210564,13.16790129540833,16.839458839967847
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,240,0.0,240.0,1.00:0.50,0.35,2.4357040820177644,1.2118434916921004,8.945664730887392,13.009427348151803
A_P06_R07,atr,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,240,0.0,240.0,1.00:0.50,0.35,-2.1171024127397686,-0.7868793412697124,-5.500505217076148,4.636524827219546
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,202,0.0,202.0,1.00:0.50,0.35148514851485146,39.034036453813314,19.037250301028735,145.7079700051433,46.69865593314171
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,202,0.0,202.0,1.00:0.50,0.35148514851485146,51.22877657413483,22.28160527792889,216.03238333509444,61.647044494748116
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,202,0.0,202.0,1.00:0.50,0.35148514851485146,64.96764253824949,22.94655626898098,129.40870738926492,66.92246999591589
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,202,0.0,202.0,1.00:0.50,0.35148514851485146,-1.0505990212550387,-0.5028025812982646,-4.122273631109318,15.248446725308895
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,202,0.0,202.0,1.00:0.50,0.35148514851485146,0.16246765881078318,0.07629327172153813,0.6063723404530889,14.83358908444643
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,202,0.0,202.0,1.00:0.50,0.35148514851485146,-4.62891737697646,-1.6241005358785934,-12.107423214574474,8.614908438175917
