Stage: EngineerFeatures | Step: 04_02 | Shape: (255967, 88)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  liquidity_score  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  rising_three_methods_count  rising_three_methods_present  falling_three_methods_count  falling_three_methods_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  nearest_support_distance  nearest_resistance_distance  support_levels_count  resistance_levels_count  morl_detrended_energy_ts  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  1m_price_change  1m_price_volatility  1m_volume_change  1m_volume_ma_ratio  1m_5m_volume_ma_ratio  1m_15m_volume_ma_ratio  5m_price_change  5m_price_volatility  5m_volume_change  5m_volume_ma_ratio  5m_5m_volume_ma_ratio  5m_15m_volume_ma_ratio
0   2738.43  2738.44  2735.60  2735.71   844.101            NaN           NaN           NaN          NaN           0.0                  0.0                   0.0        0.003847    844.101000             0.000000              0.000000             1.568416e-07                  0               0.500000         NaN         NaN          NaN             NaN              NaN                   0.0         NaN          NaN          NaN       NaN       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426324                     0.525578                     3                        3                       NaN   2735.710000   2735.710000      2.840000            0.676777         0.000000             0.000786          2.417438            0.932428               2.230184                0.752171         0.000000             0.002032         -0.271589            0.325778                0.28164                0.386369
1   2735.71  2738.62  2735.31  2736.94  1167.769       0.000450     -0.000993      0.000066    -0.000106           0.0                  0.0                   0.0        0.003847   1005.935000             0.000000              0.000001             4.050373e-07                  0               0.500000         NaN         NaN          NaN             NaN              NaN                   0.0         NaN          NaN          NaN       NaN       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425683                     0.524893                     3                        3                       NaN   2736.325000   2736.120000      3.075000            0.676777         0.000450             0.000786          2.417438            0.932428               2.230184                0.752171         0.000000             0.002032         -0.271589            0.325778                0.28164                0.386369
2   2736.95  2737.47  2734.11  2736.03  1591.090      -0.000332      0.000453     -0.000420    -0.000439           0.0                  0.0                   0.0        0.004161   1200.986667             1.513209              0.000001             5.068688e-07                  0               0.405802         NaN         NaN          NaN             NaN              NaN                   0.0         NaN          NaN          NaN       NaN       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426157                     0.525400                     3                        3                       NaN   2736.226667   2736.073173      3.170000            0.422954        -0.000332             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001366             0.002032         -0.271589            0.325778                0.28164                0.386369
3   2736.03  2738.09  2735.18  2736.41  1337.407       0.000139     -0.000336      0.000226     0.000391           0.0                  0.0                   0.0        0.003922   1235.091750             1.077513              0.000001             5.196281e-07                  0               0.193859         NaN         NaN          NaN             NaN              NaN                   0.0         NaN          NaN          NaN       NaN       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425959                     0.525188                     3                        3                       NaN   2736.272500   2736.181412      3.105000            0.564975         0.000139             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001366             0.002032         -0.271589            0.325778                0.28164                0.386369
4   2736.41  2736.59  2732.00  2732.21  1094.522      -0.001535      0.000139     -0.000548    -0.001163           0.0                  0.0                   0.0        0.004797   1206.977800             2.384876              0.000002             5.152132e-07                  0               0.697627         NaN         NaN          NaN             NaN              NaN                   0.0         NaN          NaN          NaN       NaN       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.428151                     0.527533                     3                        3                       NaN   2735.460000   2734.930768      3.402000            0.066363        -0.001535             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001366             0.002032         -0.271589            0.325778                0.28164                0.386369
5   2732.23  2734.40  2731.42  2731.99  1267.401      -0.000081     -0.001528     -0.000800    -0.000212           0.0                  0.0                   0.0        0.004833   1217.048333             2.086032              0.000002             5.279309e-07                  0               0.617178         NaN         NaN          NaN             NaN              NaN                   0.0       -3.72          NaN          NaN -0.001360       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.428266                     0.527656                     3                        3                       NaN   2734.727735   2734.021946      3.344737            0.170562        -0.000081             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001366             0.002032         -0.271589            0.325778                0.28164                0.386369
6   2731.99  2734.39  2731.99  2733.20   981.399       0.000443     -0.000088     -0.000004     0.000209           0.0                  0.0                   0.0        0.003380   1183.384143             2.029181              0.000001             4.967669e-07                  0               0.601035         NaN         NaN          NaN       -0.298608              NaN                   0.0       -3.74          NaN          NaN -0.001366       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427634                     0.526979                     3                        3                       NaN   2734.014498   2733.792963      3.204814            0.328534         0.000443             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001366             0.002032         -0.271589            0.325778                0.28164                0.386369
7   2733.19  2733.46  2730.04  2730.52  7402.700      -0.000981      0.000439     -0.000340    -0.000714           0.0                  0.0                   0.0        0.003692   1960.798625             2.040110              0.000001             4.865065e-07                  0               0.604172         NaN         NaN          NaN       -0.459906              NaN                   0.0       -5.51          NaN          NaN -0.002014       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.429035                     0.528478                     3                        3                       NaN   2732.953472   2732.802411      3.230778            0.129119        -0.000981             0.000786          2.417438            0.932428               2.230184                0.752171        -0.000443             0.002032         -0.271589            0.325778                0.28164                0.386369
8   2730.52  2731.10  2728.31  2728.41  6128.926      -0.000773     -0.000977     -0.000863    -0.000634           0.0                  0.0                   0.0        0.003902   2423.923889             1.949767              0.000001             4.648372e-07                  0               0.576106         NaN         NaN          NaN       -0.383225              NaN                   0.0       -8.00          NaN          NaN -0.002924       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.430140                     0.529660                     3                        3                       NaN   2731.414081   2731.466744      3.185854            0.071816        -0.000773             0.000786          2.417438            0.932428               2.230184                0.752171        -0.000443             0.002032         -0.271589            0.325778                0.28164                0.386369
9   2728.41  2728.98  2726.01  2728.98  6045.371       0.000209     -0.000773     -0.000776    -0.000843           0.0                  0.0                   0.0        0.003606   2786.068600             1.889602              0.000001             4.759543e-07                  0               0.556115         NaN         NaN          NaN       -0.230664              NaN                   0.0       -3.23          NaN          NaN -0.001182       NaN           0.000000     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.429842                     0.529341                     3                        3                       NaN   2730.776413   2730.746722      3.121444            0.176729         0.000209             0.000786          2.417438            0.932428               2.230184                0.752171        -0.000443             0.002032         -0.271589            0.325778                0.28164                0.386369
