Stage: Combine | Step: 04_03 | Shape: (255867, 82)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  close_log  open_log  high_log   low_log  close_detrended  label  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  nearest_support_distance  nearest_resistance_distance  morl_detrended_energy_ts  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  1m_price_change  1m_price_volatility  5m_price_change  5m_price_volatility  15m_price_change  15m_price_volatility  30m_price_change  30m_price_volatility  volume_regime  trend_regime
0   2738.43  2738.44  2735.60  2735.71   844.101            NaN           NaN           NaN          NaN   7.914146  7.915140  7.915144  7.914106              NaN     -1        0.002707    1664.98060             2.609351              0.000002             5.027889e-07                  3               0.745637   -0.150014   -0.089530     0.126483       -0.427637        -0.244283              0.150014        5.63         5.07        14.24  0.002060  0.001854           0.001851  1664.98060         929.115813                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.424569                     0.523701                       NaN   2735.825171   2736.658271      3.107096            0.853677         0.000204             0.000955         0.003260             0.002032          0.001072              0.001816          0.003179              0.003615              3             4
1   2735.71  2738.62  2735.31  2736.94  1167.769       0.000450     -0.000993      0.000066    -0.000106   7.914596  7.914146  7.915209  7.914000              NaN     -1        0.005411    1895.61210             2.602434              0.000002             5.736659e-07                  3               0.744262   -0.143602   -0.080262     0.132243       -0.445715        -0.295717              0.143602        8.91         9.16        19.15  0.003260  0.003351           0.003340  1895.61210        1225.488163                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.422896                     0.521912                       NaN   2737.477086   2738.228822      3.260800            0.957700         0.001176             0.000952         0.003260             0.002032          0.001072              0.001816          0.003179              0.003615              4             4
2   2736.95  2737.47  2734.11  2736.03  1591.090      -0.000332      0.000453     -0.000420    -0.000439   7.914263  7.914599  7.914789  7.913561              NaN     -1        0.005793    1986.21130             2.599531              0.000002             5.709841e-07                  3               0.743727   -0.163244   -0.076152     0.114597       -0.659678        -0.323871              0.163244        8.02         5.74        14.90  0.002934  0.002098           0.002094  1986.21130        1224.374620                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.423540                     0.522601                       NaN   2738.963757   2738.906230      3.189427            0.805106        -0.000452             0.000951        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              4             4
3   2736.03  2738.09  2735.18  2736.41  1337.407       0.000139     -0.000336      0.000226     0.000391   7.914402  7.914263  7.915016  7.913953              NaN     -1        0.005881    1981.62165             2.884184              0.000002             6.029406e-07                  3               0.796664   -0.089936   -0.191606     0.087636        0.149577        -0.151992              0.089936       -2.96        -0.26         8.23 -0.001081 -0.000095           0.000095  1981.62165        1227.356899                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426131                     0.525372                       NaN   2738.345922   2737.772888      3.247013            0.483383        -0.001817             0.001055        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              1             4
4   2736.41  2736.59  2732.00  2732.21  1094.522      -0.001535      0.000139     -0.000548    -0.001163   7.912866  7.914402  7.914468  7.912789              NaN     -1        0.005368    1918.39545             2.881433              0.000002             6.020818e-07                  3               0.796249   -0.060805   -0.153955     0.047712        0.026029        -0.110497              0.060805       -2.14         4.37         8.67 -0.000781  0.001600           0.001597  1918.39545        1244.121494                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425975                     0.525205                       NaN   2737.971635   2737.164294      3.272116            0.468912         0.000110             0.001054        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              1             4
5   2732.23  2734.40  2731.42  2731.99  1267.401      -0.000081     -0.001528     -0.000800    -0.000212   7.912786  7.912873  7.913667  7.912577              NaN     -1        0.003088    1915.48045             2.892119              0.000002             6.202363e-07                  3               0.798152   -0.082897   -0.141137     0.015811        0.023637        -0.058073              0.082897       -3.38         2.25         7.70 -0.001234  0.000823           0.000822  1915.48045        1247.185560                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426329                     0.525584                       NaN   2737.371860   2736.554478      3.288414            0.395064        -0.000249             0.001058        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              0             4
6   2731.99  2734.39  2731.99  2733.20   981.399       0.000443     -0.000088     -0.000004     0.000209   7.913228  7.912786  7.913664  7.912786              NaN     -1        0.003030    1734.69175             2.559810              0.000002             5.706306e-07                  3               0.735729   -0.067425   -0.178130    -0.024802       -0.153280        -0.055258              0.067425       -6.23         2.68         1.96 -0.002272  0.000980           0.000980  1734.69175        1169.993419                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426136                     0.525378                       NaN   2736.349191   2736.317206      3.263918            0.385965         0.000135             0.000935        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              0             4
7   2733.19  2733.46  2730.04  2730.52  7402.700      -0.000981      0.000439     -0.000340    -0.000714   7.912247  7.913225  7.913323  7.912072              NaN     -1        0.003108    1776.07970             2.449428              0.000002             5.561788e-07                  3               0.712304   -0.058026   -0.161511    -0.057210       -0.141064        -0.059010              0.058026       -5.46         2.56        -1.79 -0.001992  0.000937           0.000936  1776.07970        1206.969592                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426381                     0.525640                       NaN   2735.388262   2735.996711      3.238288            0.290641        -0.000172             0.000895         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              4             4
8   2730.52  2731.10  2728.31  2728.41  6128.926      -0.000773     -0.000977     -0.000863    -0.000634   7.911474  7.912247  7.912460  7.911438              NaN      1        0.003734    1723.91300             2.421491              0.000002             5.351085e-07                  3               0.706132   -0.070452   -0.109433    -0.134907       -0.435121         0.017153              0.070452       -2.68        -5.64        -1.25 -0.000980 -0.002059           0.002063  1723.91300        1212.526439                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427529                     0.526868                       NaN   2734.913763   2735.098183      3.226647            0.176948        -0.000804             0.000885         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              1             4
9   2728.41  2728.98  2726.01  2728.98  6045.371       0.000209     -0.000773     -0.000776    -0.000843   7.911683  7.911474  7.911683  7.910594              NaN      1        0.003346    1680.27825             2.403417              0.000002             5.236715e-07                  3               0.701901   -0.045458   -0.082904    -0.161686       -0.130835         0.009731              0.045458       -3.39        -5.53        -2.88 -0.001239 -0.002019           0.002023  1680.27825        1199.204802                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427744                     0.527097                       NaN   2734.309984   2734.372580      3.228242            0.218172        -0.000150             0.000878         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              3             4
10  2728.98  2733.64  2728.98  2731.55  4124.822       0.000942      0.000209      0.001708     0.001090   7.912624  7.911683  7.913389  7.911683              NaN      1        0.005634    1689.87445             2.553031              0.000002             5.839462e-07                  3               0.734280   -0.030704   -0.075807    -0.149232        0.089501         0.021092              0.030704        1.49        -1.89         3.18  0.000545 -0.000690           0.000690  1689.87445        1195.349211                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425553                     0.524753                       NaN   2734.577662   2735.173891      3.375630            0.562720         0.001537             0.000933         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              2             3
11  2731.54  2732.24  2729.00  2731.99  3006.975       0.000161      0.000938     -0.000512     0.000007   7.912786  7.912621  7.912877  7.911691              NaN      1        0.005436    1652.81905             2.542913              0.000002             5.781211e-07                  3               0.732182   -0.050619   -0.125798    -0.159842        0.088884         0.035295              0.050619        1.71        -4.52         4.64  0.000625 -0.001648           0.001651  1652.81905        1222.840983                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425246                     0.524425                       NaN   2734.918952   2735.904112      3.348295            0.681154         0.000216             0.000929         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              0             3
