metric,value,filter_type
volume_kalman_snr_improvement,87.1834357797529,volume
volume_kalman_noise_reduction,0.9884115764842828,volume
volume_kalman_smoothness_ratio,22.670397503820077,volume
volume_kalman_tracking_rmse,39.31197853181816,volume
volume_kalman_high_freq_reduction,-26.02144424994327,volume
volume_kalman_low_freq_preservation,1.0017751213712245,volume
moving_average_snr_improvement,0.0,moving
moving_average_noise_reduction,,moving
moving_average_smoothness_ratio,,moving
moving_average_tracking_rmse,,moving
moving_average_high_freq_reduction,,moving
moving_average_low_freq_preservation,,moving
fisher_snr_improvement,0.0,fisher
fisher_noise_reduction,,fisher
fisher_smoothness_ratio,,fisher
fisher_tracking_rmse,,fisher
fisher_high_freq_reduction,,fisher
fisher_low_freq_preservation,,fisher
