,enhanced_ml_risk_regime_step_risk_regime,enhanced_ml_risk_regime_step_risk_score
2021-10-30 22:00:00,1,0.48309618
2021-10-30 22:15:00,2,0.46630564
2021-10-30 22:30:00,1,0.7876753
2021-10-30 22:45:00,1,0.46188042
2021-10-30 23:00:00,2,0.73549175
2021-10-30 23:15:00,0,0.4509665
2021-10-30 23:30:00,2,0.44058588
2021-10-30 23:45:00,0,0.32432765
2021-10-31 00:00:00,0,0.8651789
2021-10-31 00:15:00,0,0.48785207
2021-10-31 00:30:00,2,0.78052783
2021-10-31 00:45:00,0,0.2685867
2021-10-31 01:00:00,2,0.5876508
2021-10-31 01:15:00,0,0.2633064
2021-10-31 01:30:00,2,0.15301898
2021-10-31 01:45:00,1,0.6319777
2021-10-31 02:00:00,2,0.98938614
2021-10-31 02:15:00,0,0.89907646
2021-10-31 02:30:00,0,0.42448172
2021-10-31 02:45:00,1,0.65941936
2021-10-31 03:00:00,2,0.6762236
2021-10-31 03:15:00,2,0.07237815
2021-10-31 03:30:00,0,0.7986585
2021-10-31 03:45:00,2,0.93611735
2021-10-31 04:00:00,0,0.2259897
2021-10-31 04:15:00,2,0.21053879
2021-10-31 04:30:00,1,0.37789473
2021-10-31 04:45:00,1,0.6898039
2021-10-31 05:00:00,1,0.755076
2021-10-31 05:15:00,1,0.924079
2021-10-31 05:30:00,1,0.54817194
2021-10-31 05:45:00,1,0.95479816
2021-10-31 06:00:00,2,0.33113685
2021-10-31 06:15:00,0,0.27998587
2021-10-31 06:30:00,2,0.6844842
2021-10-31 06:45:00,1,0.8471147
2021-10-31 07:00:00,0,0.043782886
2021-10-31 07:15:00,2,0.37683418
2021-10-31 07:30:00,0,0.3462815
2021-10-31 07:45:00,2,0.27158538
2021-10-31 08:00:00,0,0.95391816
2021-10-31 08:15:00,2,0.078959785
2021-10-31 08:30:00,2,0.49743745
2021-10-31 08:45:00,0,0.119164705
2021-10-31 09:00:00,2,0.8581384
2021-10-31 09:15:00,2,0.111015774
2021-10-31 09:30:00,0,0.90899736
2021-10-31 09:45:00,1,0.5486122
2021-10-31 10:00:00,0,0.1335051
2021-10-31 10:15:00,1,0.10161805
2021-10-31 10:30:00,0,0.30745265
2021-10-31 10:45:00,0,0.39154375
2021-10-31 11:00:00,1,0.45247653
2021-10-31 11:15:00,1,0.8998447
2021-10-31 11:30:00,2,0.6567444
2021-10-31 11:45:00,1,0.86750674
2021-10-31 12:00:00,0,0.40900767
2021-10-31 12:15:00,2,0.31544542
2021-10-31 12:30:00,1,0.4151844
2021-10-31 12:45:00,0,0.35441387
2021-10-31 13:00:00,1,0.8385131
2021-10-31 13:15:00,2,0.10112658
2021-10-31 13:30:00,0,0.108419456
2021-10-31 13:45:00,0,0.29509187
2021-10-31 14:00:00,1,0.00028892708
2021-10-31 14:15:00,1,0.34023842
2021-10-31 14:30:00,1,0.52792436
2021-10-31 14:45:00,1,0.32471237
2021-10-31 15:00:00,2,0.17691933
2021-10-31 15:15:00,0,0.77563024
2021-10-31 15:30:00,1,0.64192235
2021-10-31 15:45:00,1,0.48940346
2021-10-31 16:00:00,2,0.31310123
2021-10-31 16:15:00,2,0.14506109
2021-10-31 16:30:00,0,0.9569777
2021-10-31 16:45:00,1,0.5867134
2021-10-31 17:00:00,2,0.42236584
2021-10-31 17:15:00,1,0.83300805
2021-10-31 17:30:00,0,0.030192373
2021-10-31 17:45:00,0,0.011550572
2021-10-31 18:00:00,0,0.010844486
2021-10-31 18:15:00,0,0.2432913
2021-10-31 18:30:00,1,0.8551164
2021-10-31 18:45:00,0,0.4540708
2021-10-31 19:00:00,0,0.014721071
2021-10-31 19:15:00,1,0.69039196
2021-10-31 19:30:00,2,0.03470388
2021-10-31 19:45:00,2,0.22465101
2021-10-31 20:00:00,0,0.43626085
2021-10-31 20:15:00,2,0.76437354
2021-10-31 20:30:00,2,0.13800348
2021-10-31 20:45:00,0,0.272313
2021-10-31 21:00:00,1,0.8777879
2021-10-31 21:15:00,1,0.5116643
2021-10-31 21:30:00,1,0.41558152
2021-10-31 21:45:00,2,0.90687627
2021-10-31 22:00:00,1,0.10505149
2021-10-31 22:15:00,0,0.90058225
2021-10-31 22:30:00,1,0.68302244
2021-10-31 22:45:00,0,0.58109623
2021-10-31 23:00:00,2,0.88129115
2021-10-31 23:15:00,2,0.8751169
2021-10-31 23:30:00,0,0.59164536
2021-10-31 23:45:00,0,0.43021682
2021-11-01 00:00:00,1,0.42917407
2021-11-01 00:15:00,1,0.13639991
2021-11-01 00:30:00,0,0.24884109
2021-11-01 00:45:00,0,0.13458821
2021-11-01 01:00:00,2,0.1372206
2021-11-01 01:15:00,0,0.78459036
2021-11-01 01:30:00,2,0.21552262
2021-11-01 01:45:00,1,0.442517
2021-11-01 02:00:00,1,0.3694109
2021-11-01 02:15:00,1,0.9688308
2021-11-01 02:30:00,0,0.9218586
2021-11-01 02:45:00,0,0.8463063
2021-11-01 03:00:00,2,0.19433545
2021-11-01 03:15:00,0,0.97712535
2021-11-01 03:30:00,1,0.0024674097
2021-11-01 03:45:00,2,0.51505643
2021-11-01 04:00:00,0,0.12184121
2021-11-01 04:15:00,0,0.19390105
2021-11-01 04:30:00,1,0.49532256
2021-11-01 04:45:00,2,0.41575366
2021-11-01 05:00:00,1,0.4485606
2021-11-01 05:15:00,2,0.17845409
2021-11-01 05:30:00,0,0.9043266
2021-11-01 05:45:00,2,0.6038966
2021-11-01 06:00:00,1,0.2833438
2021-11-01 06:15:00,2,0.54318106
2021-11-01 06:30:00,0,0.5846721
2021-11-01 06:45:00,0,0.87668854
2021-11-01 07:00:00,0,0.08236436
2021-11-01 07:15:00,0,0.15726979
2021-11-01 07:30:00,2,0.88638943
2021-11-01 07:45:00,0,0.45938924
2021-11-01 08:00:00,0,0.53023404
2021-11-01 08:15:00,2,0.3259404
2021-11-01 08:30:00,2,0.47696465
2021-11-01 08:45:00,0,0.48435116
2021-11-01 09:00:00,1,0.39973646
2021-11-01 09:15:00,1,0.89024043
2021-11-01 09:30:00,1,0.67891484
2021-11-01 09:45:00,1,0.5879254
2021-11-01 10:00:00,0,0.39138743
2021-11-01 10:15:00,0,0.7045729
2021-11-01 10:30:00,2,0.8223541
2021-11-01 10:45:00,2,0.41441742
2021-11-01 11:00:00,0,0.10586584
2021-11-01 11:15:00,1,0.18905763
2021-11-01 11:30:00,1,0.48478007
2021-11-01 11:45:00,0,0.5863158
2021-11-01 12:00:00,0,0.33383787
2021-11-01 12:15:00,1,0.53309435
2021-11-01 12:30:00,1,0.109252006
2021-11-01 12:45:00,1,0.47742942
2021-11-01 13:00:00,0,0.64033747
2021-11-01 13:15:00,0,0.9110068
2021-11-01 13:30:00,2,0.7840509
2021-11-01 13:45:00,0,0.5060223
2021-11-01 14:00:00,1,0.18388723
2021-11-01 14:15:00,2,0.04570433
2021-11-01 14:30:00,2,0.30482197
2021-11-01 14:45:00,1,0.5135184
2021-11-01 15:00:00,0,0.92123455
2021-11-01 15:15:00,1,0.5208186
2021-11-01 15:30:00,2,0.28371888
2021-11-01 15:45:00,1,0.25954074
2021-11-01 16:00:00,2,0.6040482
2021-11-01 16:15:00,2,0.056132514
2021-11-01 16:30:00,2,0.48452964
2021-11-01 16:45:00,0,0.07172075
2021-11-01 17:00:00,0,0.50976187
2021-11-01 17:15:00,2,0.50417024
2021-11-01 17:30:00,2,0.19458456
2021-11-01 17:45:00,0,0.56211925
2021-11-01 18:00:00,0,0.5679601
2021-11-01 18:15:00,0,0.1426794
2021-11-01 18:30:00,0,0.26483873
2021-11-01 18:45:00,1,0.74951506
2021-11-01 19:00:00,0,0.39502305
2021-11-01 19:15:00,1,0.9128874
2021-11-01 19:30:00,2,0.43111122
2021-11-01 19:45:00,2,0.29895222
2021-11-01 20:00:00,1,0.75481355
2021-11-01 20:15:00,1,0.9687217
2021-11-01 20:30:00,1,0.10980856
2021-11-01 20:45:00,1,0.9291872
2021-11-01 21:00:00,2,0.9087672
2021-11-01 21:15:00,0,0.9378364
2021-11-01 21:30:00,2,0.4143702
2021-11-01 21:45:00,0,0.049794115
2021-11-01 22:00:00,2,0.49935168
2021-11-01 22:15:00,2,0.23051241
2021-11-01 22:30:00,0,0.086270496
2021-11-01 22:45:00,2,0.90327483
2021-11-01 23:00:00,0,0.862408
2021-11-01 23:15:00,1,0.168
2021-11-01 23:30:00,0,0.27212742
2021-11-01 23:45:00,0,0.40177926
2021-11-02 00:00:00,1,0.21941264
2021-11-02 00:15:00,2,0.479267
2021-11-02 00:30:00,1,0.25039136
2021-11-02 00:45:00,2,0.24913317
2021-11-02 01:00:00,1,0.93993825
2021-11-02 01:15:00,0,0.6013923
2021-11-02 01:30:00,0,0.22092354
2021-11-02 01:45:00,1,0.5236641
