feature_name,group,usage_count
reg_bollinger_band_width_ts_band30_70,regime,473
LOC_113_AtBBLower,location,468
reg_return_autocorr_48_ts_top80,regime,417
reg_bollinger_band_width_ts_band40_60,regime,401
LOC_07_TouchFastEMA_Long,location,355
LOC_70_AboveSessionOpen,location,291
reg_ema20_gt_ema50_ts_top20,regime,290
reg_bollinger_band_width_ts_band25_75,regime,288
reg_price_lt_ema200_ts_top60,regime,270
LOC_90_AbovePrevDayHigh,location,263
reg_volatility_autocorr_48_ts_band40_60,regime,243
reg_price_lt_ema200_ts_top80,regime,231
reg_trend_persistence_ts_band25_75,regime,212
reg_volume_zscore_48h_ts_band40_60,regime,210
LOC_14_EMAValueZone_Short,location,201
reg_return_autocorr_48_ts_band20_80,regime,195
reg_return_autocorr_48_ts_band30_70,regime,193
reg_price_lt_ema200_ts_top70,regime,189
LOC_75_BelowInitialBalanceMid,location,189
reg_return_autocorr_48_ts_top40,regime,178
reg_volatility_autocorr_48_ts_band20_80,regime,178
reg_ema20_gt_ema50_ts_top30,regime,167
LOC_10_TouchMidEMA_Short,location,166
LOC_52_InsidePriorRange,location,161
reg_price_lt_ema200_ts_top20,regime,159
LOC_95_AbovePrevDayMid,location,157
LOC_170_NotTooExtendedAboveEMA,location,156
reg_compression_score_ts_band30_70,regime,146
reg_compression_score_ts_band40_60,regime,140
LOC_74_AboveInitialBalanceMid,location,138
LOC_56_BelowLastSwingLow,location,138
reg_volume_zscore_48h_ts_top40,regime,136
LOC_130_ShallowPullback_Long,location,135
reg_ema20_gt_ema50_ts_band25_75,regime,133
reg_compression_score_ts_band25_75,regime,130
reg_bollinger_band_width_ts_top60,regime,123
reg_return_autocorr_48_ts_bot80,regime,120
reg_atr_change_rate_ts_band25_75,regime,116
reg_atr_change_rate_ts_top50,regime,114
reg_bollinger_band_width_ts_top50,regime,109
LOC_40_UpperQuartileOfRange,location,109
reg_volume_autocorr_48_ts_top20,regime,109
reg_compression_score_ts_top70,regime,108
reg_compression_score_ts_top60,regime,107
LOC_112_AtBBUpper,location,106
reg_volume_zscore_48h_ts_band25_75,regime,105
reg_trend_persistence_ts_band30_70,regime,104
reg_volume_zscore_48h_ts_band30_70,regime,102
reg_bollinger_band_width_ts_bot30,regime,101
reg_atr_change_rate_ts_band40_60,regime,100
reg_ema20_gt_ema50_ts_band30_70,regime,97
reg_trend_persistence_ts_top20,regime,97
reg_volume_autocorr_48_ts_band40_60,regime,97
reg_volume_autocorr_48_ts_band30_70,regime,94
reg_return_autocorr_48_ts_top50,regime,93
reg_volume_zscore_48h_ts_top30,regime,92
reg_compression_score_ts_bot60,regime,92
reg_atr_change_rate_ts_bot70,regime,92
reg_compression_score_ts_top20,regime,89
LOC_76_NearInitialBalanceHigh,location,88
reg_atr_change_rate_ts_band30_70,regime,88
reg_compression_score_ts_top30,regime,85
reg_volatility_autocorr_48_ts_band30_70,regime,85
reg_return_autocorr_48_ts_top30,regime,84
reg_bollinger_band_width_ts_band20_80,regime,82
reg_volatility_autocorr_48_ts_top20,regime,82
reg_compression_score_ts_band20_80,regime,80
reg_atr_change_rate_ts_top40,regime,80
reg_volume_autocorr_48_ts_top40,regime,79
reg_atr_change_rate_ts_top60,regime,79
reg_volume_autocorr_48_ts_top30,regime,78
reg_price_lt_ema200_ts_bot20,regime,78
reg_volatility_autocorr_48_ts_top30,regime,78
reg_volume_zscore_48h_ts_top80,regime,77
reg_bollinger_band_width_ts_top40,regime,76
LOC_91_BelowPrevDayLow,location,75
reg_volume_autocorr_48_ts_band20_80,regime,75
reg_compression_score_ts_top80,regime,74
reg_ema20_gt_ema50_ts_band40_60,regime,73
reg_volatility_autocorr_48_ts_bot20,regime,72
reg_volume_zscore_48h_ts_bot50,regime,70
reg_volatility_autocorr_48_ts_band25_75,regime,69
reg_bollinger_band_width_ts_top30,regime,69
reg_volume_autocorr_48_ts_top50,regime,69
reg_atr_change_rate_ts_top30,regime,68
reg_ema50_gt_ema200_ts_top60,regime,68
reg_price_lt_ema200_ts_bot60,regime,67
reg_ema20_gt_ema50_ts_top60,regime,67
LOC_153_BetweenPivotAndS1,location,66
reg_trend_persistence_ts_band40_60,regime,64
reg_volume_zscore_48h_ts_top70,regime,63
reg_volume_autocorr_48_ts_band25_75,regime,62
reg_compression_score_ts_top40,regime,61
reg_volatility_autocorr_48_ts_top80,regime,60
reg_volume_autocorr_48_ts_top60,regime,58
reg_volatility_autocorr_48_ts_top50,regime,57
reg_trend_persistence_ts_band20_80,regime,57
reg_volatility_autocorr_48_ts_top60,regime,57
reg_return_autocorr_48_ts_band40_60,regime,56
reg_trend_persistence_ts_top60,regime,56
reg_compression_score_ts_bot40,regime,55
reg_return_autocorr_48_ts_band25_75,regime,55
LOC_42_MidRange,location,54
reg_atr_change_rate_ts_top20,regime,54
reg_ema50_gt_ema200_ts_band30_70,regime,53
reg_price_lt_ema200_ts_top40,regime,52
reg_volatility_autocorr_48_ts_top70,regime,51
LOC_117_AtKCLower,location,51
reg_return_autocorr_48_ts_top20,regime,51
LOC_08_TouchFastEMA_Short,location,50
reg_trend_persistence_ts_top70,regime,50
LOC_05_StackedAboveAllEMAs,location,50
reg_volume_zscore_48h_ts_top20,regime,49
reg_atr_change_rate_ts_top70,regime,49
LOC_78_AtSessionHighZone,location,49
LOC_04_BetweenMidSlowEMA,location,48
LOC_23_AtVWAP_Short,location,48
reg_atr_change_rate_ts_band20_80,regime,48
reg_volume_zscore_48h_ts_top50,regime,47
reg_trend_persistence_ts_bot60,regime,47
reg_ema20_gt_ema50_ts_bot20,regime,47
reg_ema50_gt_ema200_ts_top70,regime,46
LOC_01_AboveEMA,location,46
LOC_43_NearRangeHigh,location,46
reg_bollinger_band_width_ts_top70,regime,46
reg_trend_persistence_ts_top30,regime,45
LOC_94_NearPrevDayLow,location,43
reg_volume_zscore_48h_ts_top60,regime,43
reg_volume_zscore_48h_ts_bot80,regime,43
LOC_06_StackedBelowAllEMAs,location,42
reg_ema50_gt_ema200_ts_top40,regime,42
reg_price_lt_ema200_ts_bot70,regime,41
LOC_92_InsidePrevDayRange,location,41
LOC_41_LowerQuartileOfRange,location,40
reg_bollinger_band_width_ts_bot50,regime,40
reg_return_autocorr_48_ts_bot40,regime,40
reg_volume_autocorr_48_ts_top80,regime,39
reg_return_autocorr_48_ts_top60,regime,39
reg_compression_score_ts_top50,regime,39
LOC_77_NearInitialBalanceLow,location,38
reg_price_lt_ema200_ts_band30_70,regime,38
reg_bollinger_band_width_ts_bot60,regime,37
reg_price_lt_ema200_ts_bot80,regime,37
LOC_134_Fib382Zone_Long,location,37
LOC_133_DeepPullback_Short,location,36
LOC_45_AtRangeBreakoutZone_Long,location,35
reg_atr_change_rate_ts_bot60,regime,35
reg_volatility_autocorr_48_ts_bot80,regime,35
LOC_71_BelowSessionOpen,location,35
LOC_73_AtSessionOpen_Short,location,35
reg_volume_autocorr_48_ts_bot20,regime,34
reg_volume_zscore_48h_ts_band20_80,regime,34
reg_trend_persistence_ts_top40,regime,34
reg_ema20_gt_ema50_ts_band20_80,regime,34
reg_bollinger_band_width_ts_top80,regime,34
reg_trend_persistence_ts_top50,regime,33
LOC_96_BelowPrevDayMid,location,33
reg_ema50_gt_ema200_ts_band40_60,regime,32
LOC_136_Fib618Zone_Long,location,32
reg_trend_persistence_ts_bot70,regime,31
LOC_46_AtRangeBreakdownZone_Short,location,31
reg_atr_change_rate_ts_bot20,regime,31
reg_compression_score_ts_bot80,regime,31
reg_ema50_gt_ema200_ts_band20_80,regime,31
reg_bollinger_band_width_ts_bot40,regime,30
reg_atr_change_rate_ts_bot50,regime,30
reg_bollinger_band_width_ts_bot80,regime,29
LOC_93_NearPrevDayHigh,location,29
reg_volume_zscore_48h_ts_bot70,regime,28
reg_volume_autocorr_48_ts_top70,regime,28
reg_price_lt_ema200_ts_top50,regime,28
LOC_20_AboveVWAP,location,28
LOC_28_BetweenVWAPAndPlus1Dev,location,27
reg_atr_change_rate_ts_top80,regime,27
LOC_50_AbovePriorHigh,location,26
reg_ema20_gt_ema50_ts_top70,regime,26
reg_volume_autocorr_48_ts_bot70,regime,26
reg_price_lt_ema200_ts_band40_60,regime,26
reg_volume_autocorr_48_ts_bot50,regime,25
reg_bollinger_band_width_ts_top20,regime,25
LOC_21_BelowVWAP,location,24
reg_volume_zscore_48h_ts_bot20,regime,24
reg_volatility_autocorr_48_ts_top40,regime,23
reg_volatility_autocorr_48_ts_bot30,regime,23
reg_return_autocorr_48_ts_bot60,regime,23
LOC_22_AtVWAP_Long,location,22
reg_volatility_autocorr_48_ts_bot40,regime,22
LOC_110_AboveBBMid,location,22
reg_return_autocorr_48_ts_bot70,regime,22
reg_volume_zscore_48h_ts_bot40,regime,21
reg_volatility_autocorr_48_ts_bot70,regime,21
LOC_72_AtSessionOpen_Long,location,21
reg_return_autocorr_48_ts_top70,regime,21
LOC_79_AtSessionLowZone,location,21
reg_ema20_gt_ema50_ts_bot30,regime,21
reg_atr_change_rate_ts_bot40,regime,21
reg_ema50_gt_ema200_ts_bot70,regime,21
reg_compression_score_ts_bot30,regime,20
reg_ema50_gt_ema200_ts_top30,regime,20
reg_volatility_autocorr_48_ts_bot60,regime,20
reg_ema50_gt_ema200_ts_top20,regime,20
reg_volume_zscore_48h_ts_bot30,regime,20
reg_bollinger_band_width_ts_bot20,regime,19
reg_volume_autocorr_48_ts_bot40,regime,19
LOC_116_AtKCUpper,location,19
LOC_139_Fib618Zone_Short,location,18
reg_return_autocorr_48_ts_bot30,regime,18
reg_volume_zscore_48h_ts_bot60,regime,18
LOC_11_DeepPullbackToSlowEMA_Long,location,17
reg_price_lt_ema200_ts_band25_75,regime,17
LOC_135_Fib50Zone_Long,location,16
LOC_132_ShallowPullback_Short,location,16
LOC_12_DeepPullbackToSlowEMA_Short,location,16
reg_atr_change_rate_ts_bot80,regime,16
reg_ema50_gt_ema200_ts_bot60,regime,16
reg_compression_score_ts_bot50,regime,16
LOC_81_LowerHalfOfSessionRange,location,16
reg_return_autocorr_48_ts_bot50,regime,15
reg_price_lt_ema200_ts_band20_80,regime,15
reg_compression_score_ts_bot70,regime,15
reg_ema50_gt_ema200_ts_bot20,regime,14
reg_volume_autocorr_48_ts_bot80,regime,14
LOC_80_UpperHalfOfSessionRange,location,14
reg_trend_persistence_ts_top80,regime,14
LOC_03_BetweenFastMidEMA,location,14
reg_ema20_gt_ema50_ts_bot50,regime,13
