feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
reg_volatility_autocorr_48_ts_top20,regime,volatility_autocorr_48,volatility,481,705,0,True,True,False
reg_volatility_autocorr_48_ts_bot20,regime,volatility_autocorr_48,volatility,110,159,0,True,True,False
reg_volatility_autocorr_48_ts_top30,regime,volatility_autocorr_48,volatility,591,1053,0,True,True,False
reg_volatility_autocorr_48_ts_bot30,regime,volatility_autocorr_48,volatility,168,303,0,True,True,False
reg_volatility_autocorr_48_ts_top40,regime,volatility_autocorr_48,volatility,36,65,0,True,True,False
reg_volatility_autocorr_48_ts_bot40,regime,volatility_autocorr_48,volatility,4,8,0,True,True,False
reg_volatility_autocorr_48_ts_top50,regime,volatility_autocorr_48,volatility,0,0,0,False,False,False
reg_volatility_autocorr_48_ts_bot50,regime,volatility_autocorr_48,volatility,1,2,0,True,True,False
reg_volatility_autocorr_48_ts_top60,regime,volatility_autocorr_48,volatility,3,6,0,True,True,False
reg_volatility_autocorr_48_ts_bot60,regime,volatility_autocorr_48,volatility,1,2,0,True,True,False
reg_volatility_autocorr_48_ts_top70,regime,volatility_autocorr_48,volatility,2,6,0,True,True,False
reg_volatility_autocorr_48_ts_bot70,regime,volatility_autocorr_48,volatility,1,3,0,True,True,False
reg_volatility_autocorr_48_ts_top80,regime,volatility_autocorr_48,volatility,1,5,0,True,True,False
reg_volatility_autocorr_48_ts_bot80,regime,volatility_autocorr_48,volatility,1,2,0,True,True,False
reg_volatility_autocorr_48_ts_band20_80,regime,volatility_autocorr_48,volatility,26,42,0,True,True,False
reg_volatility_autocorr_48_ts_band25_75,regime,volatility_autocorr_48,volatility,146,287,0,True,True,False
reg_volatility_autocorr_48_ts_band30_70,regime,volatility_autocorr_48,volatility,9,20,0,True,True,False
reg_volatility_autocorr_48_ts_band40_60,regime,volatility_autocorr_48,volatility,1,6,0,True,True,False
