feature_name,group,usage_count
reg_volatility_autocorr_48_ts_band25_75,regime,384
reg_volatility_autocorr_48_ts_top40,regime,346
reg_volatility_autocorr_48_ts_top60,regime,266
reg_volatility_autocorr_48_ts_top80,regime,244
reg_volatility_autocorr_48_ts_top30,regime,201
reg_volatility_autocorr_48_ts_top70,regime,178
reg_volatility_autocorr_48_ts_top20,regime,127
reg_volatility_autocorr_48_ts_bot50,regime,122
reg_volatility_autocorr_48_ts_top50,regime,69
reg_volatility_autocorr_48_ts_bot60,regime,58
reg_volatility_autocorr_48_ts_bot30,regime,50
reg_volatility_autocorr_48_ts_bot40,regime,49
reg_volatility_autocorr_48_ts_bot80,regime,45
reg_volatility_autocorr_48_ts_band40_60,regime,35
reg_volatility_autocorr_48_ts_band20_80,regime,23
reg_volatility_autocorr_48_ts_bot20,regime,21
reg_volatility_autocorr_48_ts_band30_70,regime,16
reg_volatility_autocorr_48_ts_bot70,regime,11
