canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,preset,is_too_broad,comp_bonus,beats_hurdle
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,8.008475137906845e-05,0.5484957159058932,5,6,6,3,3,stage_a_context,,long,3-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484957159058932, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.3,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1&reg_volatility_autocorr_48_ts_bot60==1),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1&reg_volatility_autocorr_48_ts_bot60==1,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,7,7,4,4,stage_a_context,,long,4-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot40==1&reg_volatility_autocorr_48_ts_top30==0&reg_volatility_autocorr_48_ts_top70==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot40==1&reg_volatility_autocorr_48_ts_top30==0&reg_volatility_autocorr_48_ts_top70==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,11,11,6,6,stage_a_context,,long,6-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1&reg_volatility_autocorr_48_ts_top30==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1&reg_volatility_autocorr_48_ts_top30==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,22,22,4,4,stage_a_context,,long,4-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot40==1&reg_volatility_autocorr_48_ts_bot70==1&reg_volatility_autocorr_48_ts_top30==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot40==1&reg_volatility_autocorr_48_ts_bot70==1&reg_volatility_autocorr_48_ts_top30==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,3,3,6,6,stage_a_context,,long,6-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1&reg_volatility_autocorr_48_ts_top40==0&reg_volatility_autocorr_48_ts_top70==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot30==1&reg_volatility_autocorr_48_ts_top40==0&reg_volatility_autocorr_48_ts_top70==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,3,3,6,6,stage_a_context,,long,6-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,7,7,4,4,stage_a_context,,long,4-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1&reg_volatility_autocorr_48_ts_top70==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot60==1&reg_volatility_autocorr_48_ts_top70==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,3,3,5,5,stage_a_context,,long,5-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot50==1),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot50==1,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,3,3,4,4,stage_a_context,,long,4-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
(*)|(*)|(reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot70==1&reg_volatility_autocorr_48_ts_top40==0),*,*,reg_volatility_autocorr_48_ts_band25_75==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volatility_autocorr_48_ts_band40_60==0&reg_volatility_autocorr_48_ts_bot20==0&reg_volatility_autocorr_48_ts_bot70==1&reg_volatility_autocorr_48_ts_top40==0,0.5485758006572723,0.5485758006572723,0.2199724751485987,0.22629671399481593,0.004971721313752486,0.004391762912339222,1.0,1.0,1.0,23,,,0.05013246908383186,-0.010326547149126558,0.026204694609005673,0.11498356758322854,,0.6,,,,0.16939145397603675,,,,0.3503827227068627,0.0,9.198057950374057e-08,0.002310133143726118,0.002310133143726118,0.00010296610891594515,0.5484728345483564,5,2,2,6,6,stage_a_context,,long,6-way,True,,production,,,0.834785404205757,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.5485758006572723, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.5484728345483564, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 23, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=23 < 50"", ""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}",production,False,0.1,True
