canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot20==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot20==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_bot50==1&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_bot50==1&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,7.044911291876821e-05,0.3244194960603448,5,3,3,3,3,stage_a_context,,short,3-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3244194960603448, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,7.044911291876821e-05,0.3244194960603448,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3244194960603448, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top50==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top50==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top40==0&reg_ema20_gt_ema50_raw==0,-0.32448994517326357,0.32448994517326357,0.03319583604017328,0.2542334347963333,0.09967037536885705,0.0024662457117352573,1.0,1.0,1.0,3586,,,0.0009318405983377899,-0.0014560298341889846,0.0030618733246364385,0.0035295249852866145,,0.6,,,,0.0812043205726336,,,,0.3025805133723111,0.0,0.0005103403668969906,0.00462339393959966,0.00462339393959966,9.057743089555914e-05,0.324399367742368,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,0.01005489080565436,1.0,fwd_ret_norm,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.32448994517326357, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.324399367742368, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 3586, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""not_structurally_sound""], ""warnings"": [], ""classification"": ""rejected""}"
