fold_id,seed,feature_name,group,regime_family,gain,split
0,42,reg_atr_change_rate_ts_top20,regime,volatility,5.9778961133961275,106
0,42,loc_dist_ema20_atr_ts_top20,location,,1.2628809684101725,25
0,42,reg_atr_change_rate_ts_bot20,regime,volatility,1.9341472508240258,83
0,42,loc_dist_ema20_atr_ts_bot20,location,,0.39178575261030346,12
0,42,reg_atr_change_rate_ts_top30,regime,volatility,4.087108404302853,151
0,42,loc_dist_ema20_atr_ts_top30,location,,0.8450829387875274,32
0,42,reg_atr_change_rate_ts_bot30,regime,volatility,1.9046623851754703,53
0,42,loc_dist_ema20_atr_ts_bot30,location,,0.11758830695180222,12
0,42,reg_atr_change_rate_ts_top40,regime,volatility,2.3369969011982903,80
0,42,loc_dist_ema20_atr_ts_top40,location,,0.4173700050560001,11
0,42,reg_atr_change_rate_ts_bot40,regime,volatility,4.355964021870022,90
0,42,loc_dist_ema20_atr_ts_bot40,location,,0.6220583233480284,18
0,42,reg_atr_change_rate_ts_top50,regime,volatility,42.755759835512436,174
0,42,loc_dist_ema20_atr_ts_top50,location,,17.023134320101235,45
0,42,reg_atr_change_rate_ts_bot50,regime,volatility,18.974437552391862,169
0,42,loc_dist_ema20_atr_ts_bot50,location,,3.431275561975781,35
0,42,reg_atr_change_rate_ts_top60,regime,volatility,2.1861655288832367,55
0,42,loc_dist_ema20_atr_ts_top60,location,,0.23272973421262577,11
0,42,reg_atr_change_rate_ts_bot60,regime,volatility,10.554179940227186,111
0,42,loc_dist_ema20_atr_ts_bot60,location,,2.0352791701443493,19
0,42,reg_atr_change_rate_ts_top70,regime,volatility,3.7688018993358128,91
0,42,loc_dist_ema20_atr_ts_top70,location,,1.0655765077244723,16
0,42,reg_atr_change_rate_ts_bot70,regime,volatility,1.7405392804648727,80
0,42,loc_dist_ema20_atr_ts_bot70,location,,0.2867470448836684,18
0,42,reg_atr_change_rate_ts_top80,regime,volatility,2.3025289735596743,95
0,42,loc_dist_ema20_atr_ts_top80,location,,0.17936187353916466,10
