fold_id,seed,regime_family,gain,split
0,42,trend,233.28732047843778,728
0,42,volatility,4896.561143344624,2792
0,42,volatility_term_structure,121.45697079302045,65
1,42,trend,195.9559937226586,127
1,42,volatility,551.068884401634,678
1,42,volatility_term_structure,17.339043032581685,24
2,42,trend,11.110974670387805,42
2,42,volatility,62.04982658293336,166
2,42,volatility_term_structure,1.9193120922427624,2
3,42,trend,50.27135154232383,46
3,42,volatility,148.51046856045286,120
3,42,volatility_term_structure,0.659063808619976,2
4,42,trend,331.31224327965174,198
4,42,volatility,1833.6324950501037,982
4,42,volatility_term_structure,23.339979483105708,25
