fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,5,loc_dist_ema20_atr_ts_top30,location,dist_ema20_atr,context,65
0,42,1,loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,context,61
0,42,26,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,2
0,42,60,reg_atr_compression_ratio_ts_top80,regime,atr_compression_ratio,volatility_term_structure,1
0,42,4,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,295
0,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,281
0,42,30,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,233
0,42,24,reg_atr_change_rate_ts_top80,regime,atr_change_rate,volatility,2
0,42,6,reg_atr_change_rate_ts_bot30,regime,atr_change_rate,volatility,4
0,42,7,loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,context,2
0,42,31,loc_dist_ema20_atr_ts_band25_75,location,dist_ema20_atr,context,51
0,42,25,loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,context,1
0,42,18,reg_atr_change_rate_ts_bot60,regime,atr_change_rate,volatility,2
0,42,33,loc_dist_ema20_atr_ts_band30_70,location,dist_ema20_atr,context,1
0,42,29,loc_dist_ema20_atr_ts_band20_80,location,dist_ema20_atr,context,57
0,42,324,reg_ema20_gt_ema50_raw,regime,ema20_gt_ema50,trend,277
0,42,32,reg_atr_change_rate_ts_band30_70,regime,atr_change_rate,volatility,8
0,42,28,reg_atr_change_rate_ts_band20_80,regime,atr_change_rate,volatility,283
0,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,1
0,42,34,reg_atr_change_rate_ts_band40_60,regime,atr_change_rate,volatility,185
0,42,9,loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,context,37
0,42,22,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,181
0,42,14,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,197
0,42,8,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,196
0,42,67,loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,context,3
0,42,35,loc_dist_ema20_atr_ts_band40_60,location,dist_ema20_atr,context,43
0,42,87,loc_dist_ema200_atr_ts_bot50,location,dist_ema200_atr,context,3
0,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,47
0,42,64,reg_atr_compression_ratio_ts_band20_80,regime,atr_compression_ratio,volatility_term_structure,8
0,42,15,loc_dist_ema20_atr_ts_bot50,location,dist_ema20_atr,context,36
