feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
reg_prior_volatility_ts_top20,regime,prior_volatility,context,136,164,0,True,True,False
loc_dist_ema50_atr_ts_top20,location,dist_ema50_atr,context,26,28,0,True,True,False
reg_prior_volatility_ts_bot20,regime,prior_volatility,context,60,103,0,True,True,False
loc_dist_ema50_atr_ts_bot20,location,dist_ema50_atr,context,10,17,0,True,True,False
reg_prior_volatility_ts_top30,regime,prior_volatility,context,296,703,0,True,True,False
loc_dist_ema50_atr_ts_top30,location,dist_ema50_atr,context,61,118,0,True,True,False
reg_prior_volatility_ts_bot30,regime,prior_volatility,context,94,231,0,True,True,False
loc_dist_ema50_atr_ts_bot30,location,dist_ema50_atr,context,14,26,0,True,True,False
reg_prior_volatility_ts_top40,regime,prior_volatility,context,108,255,0,True,True,False
loc_dist_ema50_atr_ts_top40,location,dist_ema50_atr,context,29,62,0,True,True,False
reg_prior_volatility_ts_bot40,regime,prior_volatility,context,77,223,0,True,True,False
loc_dist_ema50_atr_ts_bot40,location,dist_ema50_atr,context,16,17,0,True,True,False
reg_prior_volatility_ts_top50,regime,prior_volatility,context,104,323,0,True,True,False
loc_dist_ema50_atr_ts_top50,location,dist_ema50_atr,context,30,85,0,True,True,False
reg_prior_volatility_ts_bot50,regime,prior_volatility,context,105,311,0,True,True,False
loc_dist_ema50_atr_ts_bot50,location,dist_ema50_atr,context,16,28,0,True,True,False
reg_prior_volatility_ts_top60,regime,prior_volatility,context,64,174,0,True,True,False
loc_dist_ema50_atr_ts_top60,location,dist_ema50_atr,context,6,10,0,True,True,False
reg_prior_volatility_ts_bot60,regime,prior_volatility,context,55,155,0,True,True,False
loc_dist_ema50_atr_ts_bot60,location,dist_ema50_atr,context,13,15,0,True,True,False
reg_prior_volatility_ts_top70,regime,prior_volatility,context,8,28,0,True,True,False
loc_dist_ema50_atr_ts_top70,location,dist_ema50_atr,context,3,14,0,True,True,False
reg_prior_volatility_ts_bot70,regime,prior_volatility,context,146,711,0,True,True,False
loc_dist_ema50_atr_ts_bot70,location,dist_ema50_atr,context,25,84,0,True,True,False
reg_prior_volatility_ts_top80,regime,prior_volatility,context,16,45,0,True,True,False
loc_dist_ema50_atr_ts_top80,location,dist_ema50_atr,context,1,3,0,True,True,False
reg_prior_volatility_ts_bot80,regime,prior_volatility,context,81,222,0,True,True,False
loc_dist_ema50_atr_ts_bot80,location,dist_ema50_atr,context,18,45,0,True,True,False
reg_prior_volatility_ts_band20_80,regime,prior_volatility,context,102,378,0,True,True,False
loc_dist_ema50_atr_ts_band20_80,location,dist_ema50_atr,context,13,40,0,True,True,False
reg_prior_volatility_ts_band25_75,regime,prior_volatility,context,189,1503,0,True,True,False
loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,context,40,252,0,True,True,False
reg_prior_volatility_ts_band30_70,regime,prior_volatility,context,47,293,0,True,True,False
loc_dist_ema50_atr_ts_band30_70,location,dist_ema50_atr,context,4,23,0,True,True,False
