fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,32,reg_prior_volatility_ts_band30_70,regime,prior_volatility,context,35
0,42,24,reg_prior_volatility_ts_top80,regime,prior_volatility,context,34
0,42,4,reg_prior_volatility_ts_top30,regime,prior_volatility,context,51
0,42,0,reg_prior_volatility_ts_top20,regime,prior_volatility,context,24
0,42,31,loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,context,13
0,42,34,reg_prior_volatility_ts_band40_60,regime,prior_volatility,context,21
0,42,8,reg_prior_volatility_ts_top40,regime,prior_volatility,context,17
0,42,12,reg_prior_volatility_ts_top50,regime,prior_volatility,context,30
0,42,26,reg_prior_volatility_ts_bot80,regime,prior_volatility,context,4
0,42,28,reg_prior_volatility_ts_band20_80,regime,prior_volatility,context,2
0,42,30,reg_prior_volatility_ts_band25_75,regime,prior_volatility,context,82
0,42,10,reg_prior_volatility_ts_bot40,regime,prior_volatility,context,26
0,42,13,loc_dist_ema50_atr_ts_top50,location,dist_ema50_atr,context,8
0,42,16,reg_prior_volatility_ts_top60,regime,prior_volatility,context,14
0,42,27,loc_dist_ema50_atr_ts_bot80,location,dist_ema50_atr,context,4
0,42,2,reg_prior_volatility_ts_bot20,regime,prior_volatility,context,16
0,42,25,loc_dist_ema50_atr_ts_top80,location,dist_ema50_atr,context,6
0,42,18,reg_prior_volatility_ts_bot60,regime,prior_volatility,context,13
0,42,6,reg_prior_volatility_ts_bot30,regime,prior_volatility,context,9
0,42,48,reg_rolling_std_4h_ts_top50,regime,rolling_std_4h,volatility,2
0,42,17,loc_dist_ema50_atr_ts_top60,location,dist_ema50_atr,context,3
0,42,22,reg_prior_volatility_ts_bot70,regime,prior_volatility,context,10
0,42,14,reg_prior_volatility_ts_bot50,regime,prior_volatility,context,9
0,42,33,loc_dist_ema50_atr_ts_band30_70,location,dist_ema50_atr,context,4
0,42,3,loc_dist_ema50_atr_ts_bot20,location,dist_ema50_atr,context,4
0,42,11,loc_dist_ema50_atr_ts_bot40,location,dist_ema50_atr,context,5
0,42,9,loc_dist_ema50_atr_ts_top40,location,dist_ema50_atr,context,5
0,42,15,loc_dist_ema50_atr_ts_bot50,location,dist_ema50_atr,context,5
0,42,35,loc_dist_ema50_atr_ts_band40_60,location,dist_ema50_atr,context,2
0,42,5,loc_dist_ema50_atr_ts_top30,location,dist_ema50_atr,context,3
0,42,38,reg_rolling_std_4h_ts_bot20,regime,rolling_std_4h,volatility,2
0,42,1,loc_dist_ema50_atr_ts_top20,location,dist_ema50_atr,context,6
0,42,60,reg_rolling_std_4h_ts_top80,regime,rolling_std_4h,volatility,4
0,42,20,reg_prior_volatility_ts_top70,regime,prior_volatility,context,4
0,42,66,reg_rolling_std_4h_ts_band25_75,regime,rolling_std_4h,volatility,4
