canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,preset,is_too_narrow,is_too_broad,comp_bonus
(*)|(*)|(reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,2,2,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",9.131001087906649,156.0,24.731001087906648,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band30_70==0)|(reg_atr_change_rate_ts_top80==1&reg_ema20_gt_ema50_raw==1),*,loc_dist_ema20_atr_ts_band30_70==0,reg_atr_change_rate_ts_top80==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,2,2,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",10.522081633345653,169.66666666666669,27.48874830001232,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_top80==1)|(reg_atr_change_rate_ts_top30==1&reg_ema20_gt_ema50_raw==1),*,loc_dist_ema20_atr_ts_top80==1,reg_atr_change_rate_ts_top30==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",9.174097140297212,164.0,25.574097140297212,production,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band25_75==0&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band25_75==0&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",14.805537643012334,212.0,36.00553764301234,production,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band40_60==0&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band40_60==0&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",9.847468785337696,127.33333333333333,22.58080211867103,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band20_80==0)|(reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==1),*,loc_dist_ema20_atr_ts_band20_80==0,reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",10.52687519071342,137.33333333333334,24.260208524046753,production,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top60==1&reg_ema50_gt_ema200_raw==1),*,*,reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top60==1&reg_ema50_gt_ema200_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",18.752827782135906,60.0,24.752827782135906,production,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top60==1&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top60==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",25.03012988818576,133.66666666666666,38.39679655485243,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_bot80==0)|(reg_atr_change_rate_ts_top60==1&reg_ema20_gt_ema50_raw==1),*,loc_dist_ema20_atr_ts_bot80==0,reg_atr_change_rate_ts_top60==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",25.012880237155667,131.33333333333334,38.146213570489,production,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top80==1&reg_ema20_gt_ema50_raw==1),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top80==1&reg_ema20_gt_ema50_raw==1,0.3984774470329285,0.3984774470329285,0.005262888668123279,0.28297058343887327,0.1866772402854877,0.009817505668392243,1.0,1.0,0.5077777777777778,7829,,,0.02919447691987555,0.03153537055222519,0.03187048640991708,0.035102561402924275,,1.0,,,,-0.021288369381548763,,,,0.03623904116624627,0.0,6.016005565890073,0.001493649244606883,0.001493649244606883,7.262953039422786e-05,0.39840481750253426,5,4,4,3,3,stage_a_context,,long,3-way,True,,production,production,,,-0.02574343520920035,0.33322759714512296,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3984774470329285, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.39840481750253426, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7829, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",17.2796639927147,259.66666666666663,43.246330659381364,production,production,False,False,0.3
