feature_name,group,usage_count
reg_atr_change_rate_ts_top20,regime,188
reg_atr_change_rate_ts_band25_75,regime,184
reg_ema20_gt_ema50_raw,regime,165
reg_atr_change_rate_ts_band40_60,regime,127
reg_atr_change_rate_ts_top80,regime,97
reg_atr_change_rate_ts_top30,regime,88
reg_atr_change_rate_ts_top50,regime,70
reg_atr_change_rate_ts_top70,regime,59
reg_ema50_gt_ema200_raw,regime,59
reg_atr_change_rate_ts_top40,regime,57
loc_dist_ema20_atr_ts_top70,location,56
reg_atr_change_rate_ts_band20_80,regime,49
reg_atr_change_rate_ts_top60,regime,40
loc_dist_ema20_atr_ts_top20,location,38
reg_atr_compression_ratio_ts_band25_75,regime,20
reg_atr_change_rate_ts_bot80,regime,14
reg_atr_percentile_ts_band40_60,regime,12
reg_price_lt_ema200_raw,regime,10
loc_dist_ema20_atr_ts_top40,location,10
reg_atr_change_rate_ts_band30_70,regime,9
reg_atr_compression_ratio_ts_band30_70,regime,9
loc_dist_ema20_atr_ts_top30,location,9
loc_dist_ema20_atr_ts_top60,location,7
loc_dist_ema20_atr_ts_top50,location,6
loc_dist_ema20_atr_ts_band25_75,location,6
reg_atr_change_rate_ts_bot70,regime,4
loc_dist_ema20_atr_ts_top80,location,4
loc_dist_ema20_atr_ts_bot60,location,2
