fold_id,seed,feature_name,group,regime_family,gain,split
0,42,reg_atr_change_rate_ts_top20,regime,volatility,0.12976400554180145,1
0,42,reg_atr_change_rate_ts_top30,regime,volatility,0.8822479844093323,1
0,42,reg_atr_change_rate_ts_top50,regime,volatility,0.7673119902610779,1
0,42,loc_dist_ema20_atr_ts_top70,location,,0.13135659880936146,2
0,42,reg_atr_change_rate_ts_bot80,regime,volatility,4.033430099487305,1
0,42,reg_atr_change_rate_ts_band25_75,regime,volatility,0.9708269834518433,1
0,42,reg_ema50_gt_ema200_raw,regime,trend,1.048490047454834,1
1,42,reg_atr_change_rate_ts_top20,regime,volatility,0.8661622162908316,12
1,42,loc_dist_ema20_atr_ts_top20,location,,0.09736579656600952,2
1,42,reg_atr_change_rate_ts_bot20,regime,volatility,0.020584899932146072,1
1,42,reg_atr_change_rate_ts_top30,regime,volatility,2.3750620000064373,14
1,42,loc_dist_ema20_atr_ts_top30,location,,1.6437233462929726,6
1,42,reg_atr_change_rate_ts_top40,regime,volatility,5.186895004473627,14
1,42,loc_dist_ema20_atr_ts_top40,location,,0.07834610342979431,1
1,42,reg_atr_change_rate_ts_top50,regime,volatility,7.292763613164425,17
1,42,loc_dist_ema20_atr_ts_top50,location,,0.34362470358610153,4
1,42,reg_atr_change_rate_ts_top60,regime,volatility,4.264362832996994,22
1,42,loc_dist_ema20_atr_ts_top60,location,,0.5181649923324585,3
1,42,loc_dist_ema20_atr_ts_bot60,location,,0.27861560694873333,2
1,42,reg_atr_change_rate_ts_top70,regime,volatility,4.069617806468159,16
1,42,loc_dist_ema20_atr_ts_top70,location,,0.6771432869136333,5
1,42,reg_atr_change_rate_ts_bot70,regime,volatility,0.24682919681072235,2
1,42,reg_atr_change_rate_ts_top80,regime,volatility,29.036527946591377,16
1,42,loc_dist_ema20_atr_ts_top80,location,,8.772434949874878,5
1,42,reg_atr_change_rate_ts_bot80,regime,volatility,3.982409954071045,1
1,42,reg_atr_change_rate_ts_band20_80,regime,volatility,0.17330920044332743,2
1,42,reg_atr_change_rate_ts_band25_75,regime,volatility,10.535892048850656,31
1,42,loc_dist_ema20_atr_ts_band25_75,location,,0.23943600058555603,1
1,42,reg_atr_change_rate_ts_band30_70,regime,volatility,2.073165573179722,4
1,42,loc_dist_ema20_atr_ts_band30_70,location,,0.9846689840778708,2
1,42,reg_atr_compression_ratio_ts_band25_75,regime,volatility_term_structure,0.7875079959630966,2
1,42,reg_atr_compression_ratio_ts_band30_70,regime,volatility_term_structure,0.32531458884477615,2
1,42,reg_ema20_gt_ema50_raw,regime,trend,6.212507914751768,14
1,42,reg_ema50_gt_ema200_raw,regime,trend,2.2521879971027374,4
1,42,reg_price_lt_ema200_raw,regime,trend,0.419187992811203,1
2,42,reg_atr_change_rate_ts_top20,regime,volatility,1.5009779892861843,18
2,42,loc_dist_ema20_atr_ts_top20,location,,0.28479419089853764,4
2,42,reg_atr_change_rate_ts_bot20,regime,volatility,0.30376100540161133,1
2,42,reg_atr_change_rate_ts_top30,regime,volatility,1.9935094015672803,21
2,42,loc_dist_ema20_atr_ts_top30,location,,0.7191892005503178,6
2,42,reg_atr_change_rate_ts_top40,regime,volatility,1.2054329039528966,19
2,42,loc_dist_ema20_atr_ts_top40,location,,0.7357796020805836,4
2,42,reg_atr_change_rate_ts_top50,regime,volatility,27.816721133887768,33
2,42,loc_dist_ema20_atr_ts_top50,location,,6.592402920126915,9
2,42,reg_atr_change_rate_ts_top60,regime,volatility,13.554607815109193,34
2,42,loc_dist_ema20_atr_ts_top60,location,,2.2652258942835033,8
2,42,loc_dist_ema20_atr_ts_bot60,location,,0.6493319980800152,2
2,42,reg_atr_change_rate_ts_top70,regime,volatility,2.4272690787911415,24
2,42,loc_dist_ema20_atr_ts_top70,location,,0.030947500839829445,1
2,42,reg_atr_change_rate_ts_top80,regime,volatility,24.886724366806448,28
2,42,loc_dist_ema20_atr_ts_top80,location,,3.7848608568310738,6
2,42,reg_atr_change_rate_ts_bot80,regime,volatility,4.108110571280122,2
2,42,reg_atr_change_rate_ts_band20_80,regime,volatility,0.5905503630638123,4
2,42,loc_dist_ema20_atr_ts_band20_80,location,,1.3586400523781776,2
2,42,reg_atr_change_rate_ts_band25_75,regime,volatility,23.55024338606745,59
2,42,loc_dist_ema20_atr_ts_band25_75,location,,2.2630469873547554,7
2,42,reg_atr_change_rate_ts_band30_70,regime,volatility,1.4843386770226061,12
2,42,loc_dist_ema20_atr_ts_band30_70,location,,0.21864299476146698,1
2,42,reg_atr_change_rate_ts_band40_60,regime,volatility,0.021820999681949615,1
2,42,reg_atr_compression_ratio_ts_top50,regime,volatility_term_structure,0.38041800260543823,1
2,42,reg_atr_compression_ratio_ts_band25_75,regime,volatility_term_structure,1.17478958517313,3
2,42,reg_ema20_gt_ema50_raw,regime,trend,19.408773152157664,62
2,42,reg_ema50_gt_ema200_raw,regime,trend,3.3209466841071844,9
2,42,reg_price_lt_ema200_raw,regime,trend,1.089469333179295,4
