feature_name,group,usage_count
reg_atr_change_rate_ts_top60,regime,618
reg_atr_change_rate_ts_band25_75,regime,576
reg_ema20_gt_ema50_raw,regime,551
reg_atr_change_rate_ts_top50,regime,473
reg_atr_change_rate_ts_top70,regime,318
reg_atr_change_rate_ts_top20,regime,269
reg_atr_change_rate_ts_top40,regime,227
reg_atr_change_rate_ts_top80,regime,221
reg_atr_change_rate_ts_top30,regime,176
reg_atr_change_rate_ts_band40_60,regime,169
reg_atr_change_rate_ts_band20_80,regime,158
reg_atr_change_rate_ts_band30_70,regime,127
loc_dist_ema20_atr_ts_top50,location,123
reg_ema50_gt_ema200_raw,regime,105
loc_dist_ema20_atr_ts_top60,location,96
loc_dist_ema20_atr_ts_top70,location,90
loc_dist_ema20_atr_ts_band25_75,location,80
loc_dist_ema20_atr_ts_top20,location,49
loc_dist_ema20_atr_ts_top80,location,46
loc_dist_ema20_atr_ts_band20_80,location,46
loc_dist_ema20_atr_ts_band30_70,location,41
reg_price_lt_ema200_raw,regime,39
loc_dist_ema20_atr_ts_top30,location,39
loc_dist_ema20_atr_ts_band40_60,location,37
loc_dist_ema20_atr_ts_top40,location,32
reg_atr_compression_ratio_ts_band25_75,regime,32
reg_atr_change_rate_ts_bot80,regime,19
reg_atr_change_rate_ts_bot70,regime,14
reg_atr_change_rate_ts_bot50,regime,12
loc_dist_ema20_atr_ts_bot60,location,12
reg_atr_change_rate_ts_bot30,regime,8
loc_dist_ema20_atr_ts_bot50,location,6
reg_atr_compression_ratio_ts_band30_70,regime,4
reg_atr_change_rate_ts_bot60,regime,4
loc_dist_ema20_atr_ts_bot80,location,4
reg_atr_compression_ratio_ts_band40_60,regime,3
reg_atr_compression_ratio_ts_top50,regime,3
reg_atr_change_rate_ts_bot20,regime,2
reg_atr_change_rate_ts_bot40,regime,2
