feature_name,group,usage_count
reg_ema20_gt_ema50_raw,regime,1240
reg_atr_change_rate_ts_band25_75,regime,738
reg_atr_change_rate_ts_top80,regime,667
reg_atr_change_rate_ts_top70,regime,642
reg_atr_change_rate_ts_top50,regime,522
reg_atr_change_rate_ts_top20,regime,417
reg_atr_change_rate_ts_top60,regime,396
reg_atr_change_rate_ts_band20_80,regime,323
reg_atr_change_rate_ts_band30_70,regime,249
reg_atr_change_rate_ts_top30,regime,225
reg_atr_change_rate_ts_top40,regime,222
reg_atr_change_rate_ts_band40_60,regime,221
loc_dist_ema20_atr_ts_top70,location,214
reg_ema50_gt_ema200_raw,regime,210
loc_dist_ema20_atr_ts_top50,location,146
loc_dist_ema20_atr_ts_top80,location,132
loc_dist_ema20_atr_ts_band25_75,location,104
reg_price_lt_ema200_raw,regime,75
loc_dist_ema20_atr_ts_top60,location,60
loc_dist_ema20_atr_ts_top20,location,57
loc_dist_ema20_atr_ts_top40,location,53
loc_dist_ema20_atr_ts_top30,location,49
loc_dist_ema20_atr_ts_band40_60,location,49
loc_dist_ema20_atr_ts_band30_70,location,47
reg_atr_change_rate_ts_bot80,regime,45
loc_dist_ema20_atr_ts_band20_80,location,30
reg_atr_compression_ratio_ts_band25_75,regime,25
reg_atr_change_rate_ts_bot70,regime,24
reg_atr_change_rate_ts_bot50,regime,24
reg_atr_compression_ratio_ts_band30_70,regime,20
reg_atr_compression_ratio_ts_band20_80,regime,15
loc_dist_ema20_atr_ts_bot60,location,8
reg_atr_compression_ratio_ts_band40_60,regime,7
reg_atr_compression_ratio_ts_top50,regime,6
reg_atr_change_rate_ts_bot30,regime,5
reg_atr_change_rate_ts_bot20,regime,4
reg_atr_percentile_ts_band40_60,regime,4
loc_dist_ema20_atr_ts_bot80,location,4
loc_dist_ema50_atr_ts_band30_70,location,2
