canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,is_too_narrow,is_too_broad,comp_bonus
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top50==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top50==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,7.062788631766157e-05,0.2727185523924604,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2727185523924604, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",2.24555216015627,21.666666666666668,4.4122188268229365,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,8.576243338573191e-05,0.27270341784539237,3,1,1,2,2,stage_a_context,,long,2-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.27270341784539237, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",3.381094251293689,29.5,6.331094251293689,production,False,False,0.15
(*)|(loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top50==0&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_top80==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top50==0&reg_ema20_gt_ema50_raw==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,9.080728240842202e-05,0.2726983729963697,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2726983729963697, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",3.7413139641284943,31.2,6.861313964128494,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,9.080728240842202e-05,0.2726983729963697,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2726983729963697, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",3.6497838839888574,27.2,6.369783883988857,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top50==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top50==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,9.080728240842202e-05,0.2726983729963697,3,2,2,4,4,stage_a_context,,long,4-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2726983729963697, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",4.629308610688895,31.25,7.754308610688895,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==0,0.2727891802787781,0.2727891802787781,0.01906604567494034,0.16964089373747507,0.14235517568850903,0.021523436642957573,1.0,1.0,0.5623441396508728,875,,,0.006527181253571199,0.0011596546264118594,0.012959114245533362,0.01511067437671162,,0.6666666666666666,-0.023824730531391367,-2.599920599644494,1.0,-0.08799119468380627,-0.02594881210344452,-44.859768757566606,0.0007894119413562659,1.5480515352701903e-05,0.0,12.0,5.1384037347663944e-05,5.1384037347663944e-05,9.080728240842202e-05,0.2726983729963697,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,-0.023824730531391367,-0.02594881210344452,-0.047483575542877375,0.7764482431149098,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2727891802787781, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2726983729963697, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 875, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",4.731948367320001,33.5,8.08194836732,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_atr_change_rate_ts_top60==0),*,*,reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_atr_change_rate_ts_top60==0,0.27236488461494446,0.27236488461494446,0.02223917175073188,0.16878973444302878,0.09563152896486231,0.014773818895435262,1.0,1.0,0.5639751552795031,597,,,0.002273664213549475,-0.005185424879685957,0.010709007473661266,0.013950424936840802,,0.6666666666666666,0.0014939961097259723,0.07670622115772675,0.5,0.14737670850982743,-0.0071341896013716885,3.622365986055108,0.005738472681008617,0.08583893778929186,0.0,12.0,0.002479311500392718,0.002479311500392718,7.001335847742938e-05,0.272294871256467,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.0014939961097259723,-0.0071341896013716885,-0.0931970789013395,1.0,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.27236488461494446, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.272294871256467, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 597, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",4.118929111709197,33.666666666666664,7.485595778375863,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_atr_change_rate_ts_top70==0&reg_atr_change_rate_ts_top80==0&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_atr_change_rate_ts_top70==0&reg_atr_change_rate_ts_top80==0&reg_ema20_gt_ema50_raw==0,0.27236488461494446,0.27236488461494446,0.02223917175073188,0.16878973444302878,0.09563152896486231,0.014773818895435262,1.0,1.0,0.5639751552795031,597,,,0.002273664213549475,-0.005185424879685957,0.010709007473661266,0.013950424936840802,,0.6666666666666666,0.0014939961097259723,0.07670622115772675,0.5,0.14737670850982743,-0.0071341896013716885,3.622365986055108,0.005738472681008617,0.08583893778929186,0.0,12.0,0.002479311500392718,0.002479311500392718,9.001717518526635e-05,0.2722748674397592,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.0014939961097259723,-0.0071341896013716885,-0.0931970789013395,1.0,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.27236488461494446, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2722748674397592, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 597, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",4.319906235206872,35.8,7.899906235206872,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot50==1&reg_atr_change_rate_ts_top20==1),*,*,reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_band40_60==0&reg_atr_change_rate_ts_bot50==1&reg_atr_change_rate_ts_top20==1,0.27236488461494446,0.27236488461494446,0.02223917175073188,0.16878973444302878,0.09563152896486231,0.014773818895435262,1.0,1.0,0.5639751552795031,597,,,0.002273664213549475,-0.005185424879685957,0.010709007473661266,0.013950424936840802,,0.6666666666666666,0.0014939961097259723,0.07670622115772675,0.5,0.14737670850982743,-0.0071341896013716885,3.622365986055108,0.005738472681008617,0.08583893778929186,0.0,12.0,0.002479311500392718,0.002479311500392718,9.001717518526635e-05,0.2722748674397592,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0014939961097259723,-0.0071341896013716885,-0.0931970789013395,1.0,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.27236488461494446, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2722748674397592, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 597, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",3.006205539102666,22.5,5.256205539102666,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0&reg_ema20_gt_ema50_raw==0,0.27236488461494446,0.27236488461494446,0.02223917175073188,0.16878973444302878,0.09563152896486231,0.014773818895435262,1.0,1.0,0.5639751552795031,597,,,0.002273664213549475,-0.005185424879685957,0.010709007473661266,0.013950424936840802,,0.6666666666666666,0.0014939961097259723,0.07670622115772675,0.5,0.14737670850982743,-0.0071341896013716885,3.622365986055108,0.005738472681008617,0.08583893778929186,0.0,12.0,0.002479311500392718,0.002479311500392718,9.001717518526635e-05,0.2722748674397592,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0014939961097259723,-0.0071341896013716885,-0.0931970789013395,1.0,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.27236488461494446, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2722748674397592, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 597, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",4.425696037593298,34.5,7.875696037593298,production,False,False,0.1
