canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top30==1&reg_ema50_gt_ema200_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top30==1&reg_ema50_gt_ema200_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,7.01546215353591e-05,0.3530056576387745,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3530056576387745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top40==1&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top40==1&reg_ema20_gt_ema50_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,7.01546215353591e-05,0.3530056576387745,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3530056576387745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top50==1&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top50==1&reg_ema20_gt_ema50_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,7.01546215353591e-05,0.3530056576387745,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3530056576387745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top50==1&reg_ema50_gt_ema200_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top50==1&reg_ema50_gt_ema200_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,7.01546215353591e-05,0.3530056576387745,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3530056576387745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,7.01546215353591e-05,0.3530056576387745,3,2,2,3,3,stage_a_context,,short,3-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3530056576387745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_band25_75==0&loc_dist_ema20_atr_ts_band40_60==0)|(reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_band25_75==0&loc_dist_ema20_atr_ts_band40_60==0,reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,9.019879911689029e-05,0.352985613461193,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.352985613461193, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_band25_75==0)|(reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top30==1&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_band25_75==0,reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top30==1&reg_ema20_gt_ema50_raw==0,-0.3530758122603099,0.3530758122603099,0.03653865502521995,0.2766472001870473,0.08513770180436847,0.03894152561269105,1.0,1.0,0.6573426573426573,392,,,0.018260268103208594,-0.00801030735705048,-0.005215162120553318,0.03279312845158672,,0.3333333333333333,0.13741226951955526,4.450061359735236,1.0,0.05845672153516255,0.10638231099871913,2.0188906474603954,0.35652307869433525,0.438163436019866,0.0,0.0,0.005235491386435056,0.005235491386435056,9.019879911689029e-05,0.352985613461193,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.13741226951955526,0.10638231099871913,0.15001117323327673,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3530758122603099, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.352985613461193, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 392, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==0,-0.361557275056839,0.361557275056839,0.02250126398408029,0.27636226018269855,0.13233618233618233,0.03690476050208608,1.0,1.0,0.5959821428571429,676,,,0.01282499230531785,-0.012296994758262885,-0.008064847893011769,0.027502059269733772,,0.3333333333333333,0.049356532035164734,1.7645634618137576,0.6666666666666666,0.13505850880055084,0.018326573514328582,1.2692942957408675,0.5314841236573903,0.4361102408720623,0.0,1.7162310071515201e-06,0.005112789089809361,0.005112789089809361,9.04705329096355e-05,0.3614668045239294,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.049356532035164734,0.018326573514328582,0.039897175605052425,0.8766381766381768,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.361557275056839, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3614668045239294, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 676, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema20_gt_ema50_raw==0,-0.22048032035430273,0.22048032035430273,0.08366075204841404,0.1790012369553248,0.05071225071225072,0.03927613325264353,1.0,1.0,0.9368421052631579,110,,,0.0338073258254671,0.014203811833161991,0.014706833493618543,0.043860593651847926,,1.0,,,,0.3154005759109808,,,,0.3963034544252656,0.0,0.0,0.004434387860074365,0.004434387860074365,9.218635400686684e-05,0.22038813400029586,3,7,7,4,4,stage_a_context,,short,4-way,True,,production,,,1.2233488478320385,0.21899335232668574,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.22048032035430273, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.22038813400029586, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 110, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema50_gt_ema200_raw==0),*,*,reg_atr_change_rate_ts_band20_80==0&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1&reg_ema50_gt_ema200_raw==0,-0.22048032035430273,0.22048032035430273,0.08366075204841404,0.1790012369553248,0.05071225071225072,0.03927613325264353,1.0,1.0,0.9368421052631579,110,,,0.0338073258254671,0.014203811833161991,0.014706833493618543,0.043860593651847926,,1.0,,,,0.3154005759109808,,,,0.3963034544252656,0.0,0.0,0.004434387860074365,0.004434387860074365,9.218635400686684e-05,0.22038813400029586,3,2,2,4,4,stage_a_context,,short,4-way,True,,production,,,1.2233488478320385,0.21899335232668574,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.22048032035430273, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.22038813400029586, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 110, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
