feature_name,group,usage_count
reg_atr_change_rate_ts_top30,regime,262
reg_atr_change_rate_ts_top60,regime,252
reg_atr_change_rate_ts_top40,regime,233
reg_atr_change_rate_ts_band25_75,regime,185
reg_atr_change_rate_ts_top20,regime,135
reg_atr_change_rate_ts_top50,regime,107
reg_atr_change_rate_ts_top80,regime,105
reg_ema20_gt_ema50_raw,regime,89
reg_atr_change_rate_ts_top70,regime,76
loc_dist_ema20_atr_ts_top70,location,54
loc_dist_ema20_atr_ts_top60,location,53
loc_dist_ema20_atr_ts_top30,location,36
loc_dist_ema20_atr_ts_top80,location,34
loc_dist_ema20_atr_ts_top40,location,31
loc_dist_ema20_atr_ts_top20,location,27
loc_dist_ema20_atr_ts_top50,location,23
loc_dist_ema20_atr_ts_band25_75,location,21
reg_ema50_gt_ema200_raw,regime,15
reg_atr_compression_ratio_ts_band25_75,regime,11
reg_atr_change_rate_ts_band40_60,regime,9
reg_price_lt_ema200_raw,regime,7
loc_dist_ema20_atr_ts_bot60,location,7
reg_atr_change_rate_ts_bot80,regime,6
reg_atr_change_rate_ts_bot20,regime,6
reg_atr_change_rate_ts_bot50,regime,4
reg_atr_compression_ratio_ts_top50,regime,3
reg_atr_change_rate_ts_bot30,regime,2
reg_atr_change_rate_ts_band20_80,regime,2
