canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,is_too_narrow,is_too_broad,comp_bonus
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==0),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.0819057571504821,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band30_70==0),*,loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top20==1,reg_atr_change_rate_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.13788544491563628,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band30_70==0&reg_atr_compression_ratio_ts_band25_75==1),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band30_70==0&reg_atr_compression_ratio_ts_band25_75==1,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.12106375399991166,production,False,False,0.3
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_band40_60==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_band40_60==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.08668157395384309,production,False,False,0.3
(*)|(loc_dist_ema200_atr_ts_band30_70==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot20==0),*,loc_dist_ema200_atr_ts_band30_70==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_bot20==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.11093966888243767,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_band30_70==0&reg_atr_change_rate_ts_top20==1,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.09895680059517012,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_compression_ratio_ts_band30_70==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_band20_80==1&reg_atr_compression_ratio_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,7.008641975308642e-05,-0.3198085340859213,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196683612464151, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.04937644074729571,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_compression_ratio_ts_band30_70==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_compression_ratio_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,8.510493827160495e-05,-0.31982355260443984,3,1,1,2,2,stage_a_context,,short,2-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196533427278966, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.0639088249450983,production,False,False,0.15
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_band30_70==0),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,8.510493827160495e-05,-0.31982355260443984,3,1,1,2,2,stage_a_context,,short,2-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196533427278966, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.11356766296945542,production,False,False,0.15
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top80==0&reg_atr_percentile_ts_band30_70==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top80==0&reg_atr_percentile_ts_band30_70==0,-0.3197384476661682,0.3197384476661682,0.027464715873302632,0.26841119925181073,0.11388888888888889,0.0238953479640073,1.0,1.0,0.5294117647058824,10,,,0.13594151611536312,0.12560880278010528,0.15453175237703284,0.15556934758145582,,1.0,-0.26382242650554316,-1.0000000000000002,1.0,,-0.08256380141249882,,,0.0004070908368546427,-7.335595014471649e-05,0.14545325954505683,0.0002218417969170806,0.0002218417969170806,9.011111111111112e-05,-0.31982855877727934,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,-0.26382242650554316,-0.08256380141249882,,1.0,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3197384476661682, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3196483365550571, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 10, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -7.335595014471649e-05, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""min_support_actual=10 < 50"", ""structural_soundness_fail: "", ""trade_path_quality_score=-0.000073 < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.12281484502936935,production,False,False,0.1
