fold_id,seed,feature_name,group,regime_family,gain,split
0,42,reg_atr_change_rate_ts_top20,regime,volatility,0.042073700577020645,1
0,42,reg_atr_change_rate_ts_top30,regime,volatility,0.009782610461115837,1
0,42,loc_dist_ema20_atr_ts_top30,location,,0.4992600083351135,1
0,42,reg_atr_change_rate_ts_top40,regime,volatility,0.06738190352916718,1
0,42,loc_dist_ema20_atr_ts_top40,location,,0.05284680053591728,1
0,42,reg_atr_change_rate_ts_top50,regime,volatility,0.7644410282373428,2
0,42,reg_atr_change_rate_ts_top60,regime,volatility,0.06678049825131893,2
0,42,reg_atr_change_rate_ts_top80,regime,volatility,0.10641170293092728,2
0,42,reg_atr_change_rate_ts_band25_75,regime,volatility,0.656041020527482,4
1,42,reg_atr_change_rate_ts_top20,regime,volatility,0.2699116235598922,8
1,42,loc_dist_ema20_atr_ts_top20,location,,0.8404614012688398,4
1,42,reg_atr_change_rate_ts_bot20,regime,volatility,0.20873174699954689,2
1,42,reg_atr_change_rate_ts_top30,regime,volatility,2.139934263948817,11
1,42,loc_dist_ema20_atr_ts_top30,location,,0.11093790759332478,4
1,42,reg_atr_change_rate_ts_top40,regime,volatility,0.27547971601597965,8
1,42,loc_dist_ema20_atr_ts_top40,location,,0.6425952017307281,6
1,42,reg_atr_change_rate_ts_top50,regime,volatility,3.15336802136153,11
1,42,loc_dist_ema20_atr_ts_top50,location,,0.0372887197881937,2
1,42,reg_atr_change_rate_ts_bot50,regime,volatility,0.1543930023908615,1
1,42,reg_atr_change_rate_ts_top60,regime,volatility,0.2147150861346745,9
1,42,loc_dist_ema20_atr_ts_top60,location,,0.002185778910643421,2
1,42,reg_atr_change_rate_ts_bot60,regime,volatility,0.07048860192298889,1
1,42,loc_dist_ema20_atr_ts_bot60,location,,0.07286939769983292,1
1,42,reg_atr_change_rate_ts_top70,regime,volatility,0.4003459420055151,11
1,42,loc_dist_ema20_atr_ts_top70,location,,0.056639499962329865,2
1,42,reg_atr_change_rate_ts_bot70,regime,volatility,0.07965689897537231,1
1,42,reg_atr_change_rate_ts_top80,regime,volatility,0.5869520856067538,11
1,42,loc_dist_ema20_atr_ts_top80,location,,0.00362370264610945,2
1,42,reg_atr_change_rate_ts_bot80,regime,volatility,0.022208599373698235,1
1,42,loc_dist_ema20_atr_ts_bot80,location,,0.009337389841675758,1
1,42,reg_atr_change_rate_ts_band25_75,regime,volatility,1.2678481822367758,17
1,42,loc_dist_ema20_atr_ts_band25_75,location,,1.0009898841381073,9
1,42,reg_atr_change_rate_ts_band30_70,regime,volatility,0.07765030115842819,1
1,42,reg_atr_change_rate_ts_band40_60,regime,volatility,0.10728999972343445,1
1,42,loc_dist_ema50_atr_ts_top50,location,,0.015318600460886955,1
1,42,reg_atr_compression_ratio_ts_band25_75,regime,volatility_term_structure,0.02680647515808232,2
2,42,reg_atr_change_rate_ts_top20,regime,volatility,0.06307250261306763,1
2,42,loc_dist_ema20_atr_ts_top20,location,,0.09638019651174545,1
2,42,reg_atr_change_rate_ts_top30,regime,volatility,0.028452100232243538,1
2,42,loc_dist_ema20_atr_ts_top30,location,,0.0012405000161379576,1
2,42,reg_atr_change_rate_ts_top40,regime,volatility,0.19599799811840057,1
2,42,loc_dist_ema20_atr_ts_top40,location,,0.0625,1
2,42,reg_atr_change_rate_ts_top50,regime,volatility,0.3968339990824461,2
2,42,reg_atr_change_rate_ts_top70,regime,volatility,0.29836399108171463,2
2,42,reg_atr_change_rate_ts_top80,regime,volatility,0.056621541269123554,2
2,42,reg_atr_change_rate_ts_band25_75,regime,volatility,0.9142615236341953,4
2,42,reg_atr_change_rate_ts_band40_60,regime,volatility,0.09419660270214081,1
