feature_name,group,usage_count
reg_atr_change_rate_ts_band25_75,regime,127
reg_atr_change_rate_ts_band40_60,regime,118
reg_atr_change_rate_ts_top30,regime,115
reg_atr_change_rate_ts_top70,regime,85
reg_atr_change_rate_ts_top40,regime,78
reg_atr_change_rate_ts_band20_80,regime,77
reg_atr_change_rate_ts_top60,regime,76
reg_ema20_gt_ema50_raw,regime,73
reg_atr_change_rate_ts_top80,regime,68
reg_atr_change_rate_ts_top20,regime,67
loc_dist_ema20_atr_ts_top50,location,63
loc_dist_ema20_atr_ts_band20_80,location,53
reg_atr_change_rate_ts_top50,regime,50
reg_atr_change_rate_ts_band30_70,regime,40
loc_dist_ema20_atr_ts_top40,location,30
loc_dist_ema20_atr_ts_top80,location,27
loc_dist_ema20_atr_ts_band25_75,location,25
loc_dist_ema20_atr_ts_top30,location,25
reg_ema50_gt_ema200_raw,regime,23
loc_dist_ema20_atr_ts_top60,location,19
reg_atr_change_rate_ts_bot80,regime,18
loc_dist_ema20_atr_ts_top20,location,17
reg_atr_change_rate_ts_bot70,regime,16
reg_atr_change_rate_ts_bot50,regime,16
reg_atr_compression_ratio_ts_band25_75,regime,14
loc_dist_ema20_atr_ts_bot70,location,13
loc_dist_ema20_atr_ts_top70,location,11
reg_atr_change_rate_ts_bot30,regime,10
loc_dist_ema50_atr_ts_band25_75,location,9
reg_atr_change_rate_ts_bot40,regime,9
loc_dist_ema20_atr_ts_bot80,location,9
reg_atr_compression_ratio_ts_band30_70,regime,8
loc_dist_ema50_atr_ts_band40_60,location,8
reg_atr_change_rate_ts_bot60,regime,5
reg_atr_change_rate_ts_bot20,regime,4
loc_dist_ema20_atr_ts_band30_70,location,4
loc_dist_ema20_atr_ts_bot30,location,2
reg_price_lt_ema200_raw,regime,2
