fold_id,seed,feature_name,group,regime_family,gain,split
0,42,reg_atr_change_rate_ts_top20,regime,volatility,0.010693064,2.0
0,42,reg_atr_change_rate_ts_top30,regime,volatility,0.3244545,2.0
0,42,reg_atr_change_rate_ts_top40,regime,volatility,0.2003333,2.0
0,42,reg_atr_change_rate_ts_top50,regime,volatility,0.1825513,2.0
0,42,reg_atr_change_rate_ts_top60,regime,volatility,0.011178581,2.0
0,42,reg_atr_change_rate_ts_top70,regime,volatility,0.1966702,2.0
0,42,reg_atr_change_rate_ts_top80,regime,volatility,0.35492402,2.0
0,42,reg_atr_change_rate_ts_band25_75,regime,volatility,0.6064362,4.0
0,42,reg_ema20_gt_ema50_raw,regime,trend,0.02102475,2.0
1,42,reg_atr_change_rate_ts_top20,regime,volatility,0.9104559,16.0
1,42,reg_atr_change_rate_ts_top30,regime,volatility,2.5216417,16.0
1,42,reg_atr_change_rate_ts_top40,regime,volatility,1.3491023,16.0
1,42,reg_atr_change_rate_ts_top50,regime,volatility,0.98216313,16.0
1,42,reg_atr_change_rate_ts_top60,regime,volatility,1.8089111,15.0
1,42,reg_atr_change_rate_ts_top70,regime,volatility,2.5587697,16.0
1,42,reg_atr_change_rate_ts_top80,regime,volatility,1.7364532,15.0
1,42,reg_atr_change_rate_ts_band20_80,regime,volatility,0.0933906,1.0
1,42,reg_atr_change_rate_ts_band25_75,regime,volatility,1.5832951,31.0
1,42,reg_atr_change_rate_ts_band40_60,regime,volatility,0.115847,1.0
1,42,reg_ema20_gt_ema50_raw,regime,trend,6.83225,16.0
2,42,reg_atr_change_rate_ts_top20,regime,volatility,0.0304124,1.0
2,42,reg_atr_change_rate_ts_top30,regime,volatility,1.05852,1.0
2,42,reg_atr_change_rate_ts_top40,regime,volatility,0.166132,1.0
2,42,reg_atr_change_rate_ts_top50,regime,volatility,0.338927,1.0
2,42,reg_atr_change_rate_ts_top60,regime,volatility,0.0552722,1.0
2,42,reg_atr_change_rate_ts_top70,regime,volatility,0.000185134,1.0
2,42,reg_atr_change_rate_ts_top80,regime,volatility,0.0624753,1.0
2,42,reg_atr_change_rate_ts_band25_75,regime,volatility,0.936806,2.0
2,42,reg_ema20_gt_ema50_raw,regime,trend,0.687602,1.0
