fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,283
0,42,6,reg_atr_change_rate_ts_bot30,regime,atr_change_rate,volatility,306
0,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,567
0,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,311
0,42,302,reg_compression_ratio_ts_bot50,regime,compression_ratio,volatility_term_structure,320
0,42,2,reg_atr_change_rate_ts_bot20,regime,atr_change_rate,volatility,375
0,42,10,reg_atr_change_rate_ts_bot40,regime,atr_change_rate,volatility,311
0,42,12,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,246
0,42,18,reg_atr_change_rate_ts_bot60,regime,atr_change_rate,volatility,292
0,42,25,loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,context,69
0,42,24,reg_atr_change_rate_ts_top80,regime,atr_change_rate,volatility,35
0,42,22,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,29
1,42,14,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,44
1,42,20,reg_atr_change_rate_ts_top70,regime,atr_change_rate,volatility,88
1,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,44
1,42,295,loc_dist_local_swing_ts_bot30,location,dist_local_swing,context,44
1,42,7,loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,context,44
1,42,4,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,44
1,42,9,loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,context,44
1,42,11,loc_dist_ema20_atr_ts_bot40,location,dist_ema20_atr,context,44
1,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,44
2,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,183
2,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,367
2,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,192
2,42,296,reg_compression_ratio_ts_top40,regime,compression_ratio,volatility_term_structure,193
2,42,8,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,188
2,42,4,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,207
2,42,14,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,164
2,42,10,reg_atr_change_rate_ts_bot40,regime,atr_change_rate,volatility,191
2,42,19,loc_dist_ema20_atr_ts_bot60,location,dist_ema20_atr,context,184
2,42,25,loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,context,27
2,42,24,reg_atr_change_rate_ts_top80,regime,atr_change_rate,volatility,9
2,42,22,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,8
