fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,302,reg_compression_ratio_ts_bot50,regime,compression_ratio,volatility_term_structure,98
0,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,196
0,42,6,reg_atr_change_rate_ts_bot30,regime,atr_change_rate,volatility,116
0,42,25,loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,context,107
0,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,90
0,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,185
0,42,2,reg_atr_change_rate_ts_bot20,regime,atr_change_rate,volatility,103
0,42,12,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,83
0,42,10,reg_atr_change_rate_ts_bot40,regime,atr_change_rate,volatility,92
0,42,18,reg_atr_change_rate_ts_bot60,regime,atr_change_rate,volatility,99
0,42,24,reg_atr_change_rate_ts_top80,regime,atr_change_rate,volatility,6
0,42,22,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,6
1,42,295,loc_dist_local_swing_ts_bot30,location,dist_local_swing,context,212
1,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,420
1,42,14,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,192
1,42,7,loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,context,228
1,42,4,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,265
1,42,20,reg_atr_change_rate_ts_top70,regime,atr_change_rate,volatility,381
1,42,11,loc_dist_ema20_atr_ts_bot40,location,dist_ema20_atr,context,153
1,42,9,loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,context,214
1,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,232
1,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,60
1,42,21,loc_dist_ema20_atr_ts_top70,location,dist_ema20_atr,context,35
1,42,18,reg_atr_change_rate_ts_bot60,regime,atr_change_rate,volatility,20
2,42,296,reg_compression_ratio_ts_top40,regime,compression_ratio,volatility_term_structure,197
2,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,391
2,42,25,loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,context,237
2,42,4,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,262
2,42,10,reg_atr_change_rate_ts_bot40,regime,atr_change_rate,volatility,374
2,42,19,loc_dist_ema20_atr_ts_bot60,location,dist_ema20_atr,context,183
2,42,23,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,351
2,42,14,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,148
2,42,8,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,205
2,42,16,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,182
2,42,24,reg_atr_change_rate_ts_top80,regime,atr_change_rate,volatility,26
2,42,22,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,22
