feature_name,group,usage_count
reg_atr_change_rate_ts_band20_80,regime,312
reg_atr_change_rate_ts_band25_75,regime,165
reg_atr_change_rate_ts_top40,regime,163
reg_atr_change_rate_ts_top60,regime,142
reg_atr_change_rate_ts_top30,regime,138
reg_ema20_gt_ema50_raw,regime,128
reg_ema50_gt_ema200_raw,regime,95
loc_dist_ema20_atr_ts_top50,location,78
loc_dist_ema20_atr_ts_band25_75,location,74
loc_dist_ema20_atr_ts_band20_80,location,71
reg_atr_change_rate_ts_band30_70,regime,66
reg_atr_change_rate_ts_top50,regime,48
loc_dist_ema20_atr_ts_band30_70,location,37
loc_dist_ema20_atr_ts_top30,location,33
loc_dist_ema20_atr_ts_top70,location,32
loc_dist_ema20_atr_ts_top40,location,28
reg_atr_change_rate_ts_bot40,regime,22
reg_atr_change_rate_ts_band40_60,regime,21
reg_atr_change_rate_ts_top70,regime,19
loc_dist_ema20_atr_ts_top60,location,19
reg_atr_change_rate_ts_top20,regime,15
loc_dist_ema20_atr_ts_bot40,location,13
reg_atr_change_rate_ts_bot50,regime,13
loc_dist_ema50_atr_ts_band20_80,location,12
loc_dist_ema20_atr_ts_top20,location,7
loc_dist_ema50_atr_ts_top60,location,7
reg_atr_change_rate_ts_bot20,regime,6
reg_atr_change_rate_ts_bot70,regime,5
loc_dist_ema20_atr_ts_bot70,location,4
reg_atr_compression_ratio_ts_top50,regime,4
reg_atr_compression_ratio_ts_top60,regime,4
reg_atr_change_rate_ts_bot30,regime,2
loc_dist_ema20_atr_ts_bot20,location,2
