canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,preset,is_too_narrow,is_too_broad,comp_bonus
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band40_60==1),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band40_60==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,7.049639602194786e-05,-0.2535273671108454,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25338637431880146, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.3825881524785783,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,7.049639602194786e-05,-0.2535273671108454,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25338637431880146, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.38140435977811876,production,production,False,False,0.3
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.5244943465231562,production,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_top70==0)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_top70==0,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top60==0,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,6,6,stage_a_context,,short,6-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.32789957070183967,production,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,6,6,stage_a_context,,short,6-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.14169234257256877,production,production,False,False,0.1
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top80==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0&reg_atr_change_rate_ts_top80==0,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,6,6,stage_a_context,,short,6-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.12813501563726368,production,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top50==0&loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top40==1),*,loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top50==0&loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top40==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.22577213277514985,production,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top50==0&loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1),*,loc_dist_ema20_atr_ts_band25_75==1&loc_dist_ema20_atr_ts_top50==0&loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.271876285586688,production,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_band30_70==1&loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_top40==1&reg_bars_in_high_vol_state_log_norm_ts_band25_75==1),*,loc_dist_ema20_atr_ts_band30_70==1&loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_top40==1&reg_bars_in_high_vol_state_log_norm_ts_band25_75==1,-0.2534568707148234,0.2534568707148234,0.004288140073974812,0.3023836513360341,0.09837037037037037,0.008653044057888764,1.0,1.0,0.5299760191846523,1201,,,0.027164293651167747,0.0194985086726746,0.01974636968086632,0.03112111664451018,,1.0,-0.018553024758423468,-0.5395644913433579,0.6666666666666666,-0.1265735919992728,-0.06695587748638361,-6.933596773954354,5.931728537885732e-05,8.216888645674322e-05,-0.0,0.03293490451390884,0.07406087290321492,0.0,0.0010978297094175163,-0.0061898468517230356,0.09591752290725708,0.00010841138858321071,0.00010841138858321071,9.063822345679012e-05,-0.2535475089382802,3,2,2,4,4,stage_a_context,,short,4-way,True,,production,production,-0.018553024758423468,-0.06695587748638361,0.03728155492996862,0.9739259259259259,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.2534568707148234, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.25336623249136664, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1201, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.09889781080093457,production,production,False,False,0.1
(*)|(loc_dist_ema20_atr_ts_top50==1&loc_dist_ema20_atr_ts_top60==0)|(reg_ema20_gt_ema50_raw==1),*,loc_dist_ema20_atr_ts_top50==1&loc_dist_ema20_atr_ts_top60==0,reg_ema20_gt_ema50_raw==1,-0.25503869354724884,0.25503869354724884,0.006765899934093876,0.30470845103263855,0.06548148148148147,0.007326221766861081,1.0,1.0,0.5254424778761062,780,,,0.01806505285349913,0.015896303904095226,0.02011334831985962,0.02125794953608328,,1.0,,,,-0.03822951646619264,,0.12666666666666668,0.08247681171765808,0.030263093806389627,-0.0,0.026833965430989398,0.0378105493370663,0.0,0.0008944652758218121,-0.0034811703804932407,0.09915120154619217,0.0014232341981019264,0.0014232341981019264,7.247971783264746e-05,-0.2551111732650815,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,,,0.029645499600869707,0.44770370370370355,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.25503869354724884, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.2549662138294162, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 780, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -0.0, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.02337735125484737,production,production,False,False,0.3
