fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,0,ctx__95728724,context,ctx__95728724,context,690
0,123,0,ctx__95728724,context,ctx__95728724,context,690
0,999,0,ctx__95728724,context,ctx__95728724,context,690
1,42,0,ctx__95728724,context,ctx__95728724,context,581
1,123,0,ctx__95728724,context,ctx__95728724,context,581
1,999,0,ctx__95728724,context,ctx__95728724,context,581
2,42,0,ctx__95728724,context,ctx__95728724,context,132
2,123,0,ctx__95728724,context,ctx__95728724,context,132
2,999,0,ctx__95728724,context,ctx__95728724,context,132
3,42,0,ctx__95728724,context,ctx__95728724,context,1
3,123,0,ctx__95728724,context,ctx__95728724,context,1
3,999,0,ctx__95728724,context,ctx__95728724,context,1
4,42,0,ctx__95728724,context,ctx__95728724,context,595
4,123,0,ctx__95728724,context,ctx__95728724,context,595
4,999,0,ctx__95728724,context,ctx__95728724,context,595
