feature_name,group,usage_count
mkt_ret_eq_24h,regime,601
volume_autocorr_48,regime,202
bars_in_high_vol_state_log_norm,location,189
range_24h_pct,regime,189
xasset_mkt_spread_bps,regime,182
dist_prior_day_high,location,174
market_dispersion_4h,regime,169
prior_volatility,regime,154
realized_volatility_24h,regime,151
xasset_mkt_ob_stress,regime,143
loc_prev_week_range_pos_48,location,141
dist_weekly_vwap,location,135
xasset_mkt_depth_z,regime,125
loc_prev_week_range_pos_24,location,116
dist_rolling_7d_high,location,110
spectral_entropy_ret_24,regime,104
up_down_return_mass_ratio_tanh,regime,95
dist_vwap_atr,location,95
direction_entropy_20,regime,93
return_autocorr_48,regime,89
compression_ratio,regime,88
symbol_minus_mkt_ret_24h,regime,83
dist_prior_day_low,location,80
market_breadth_4h,regime,78
zscore_price_200,location,74
prior_range,regime,74
loc_vwap_dev_z_24,location,74
perp_index_basis,regime,72
ema50_slope,regime,70
atr_percentile,regime,68
compression_score,regime,66
up_down_semivol_ratio_tanh,regime,63
volume_trend_48,regime,62
mark_index_basis,regime,59
amihud_illiq,regime,58
rv_24h,regime,57
rolling_range_20,regime,56
atr_compression_ratio,regime,54
loc_pullback_depth_48,location,53
loc_range_pos_48,location,50
efficiency_ratio_20,regime,50
tail_asymmetry_q90_q10_atr_norm,regime,48
perp_index_basis_z,regime,44
premium_index_z,regime,41
dist_ema200_atr,location,40
dist_ema_fast,regime,40
volume_entropy_24,regime,39
trend_acceleration,regime,38
variance_ratio_10_48,regime,33
zscore_price_50,location,33
basis_pct,regime,33
amihud_z,regime,32
choppiness_index_20,regime,31
loc_ema_stack_pos_24,location,31
loc_bb_channel_pos_48,location,31
loc_swing_range_pos_24,location,29
loc_pivot_ladder_pos_24,location,28
premium_index,regime,27
basis_vol,regime,26
volatility_ratio_short_long,regime,26
range_expansion_ratio,regime,25
ema_slope_norm,regime,25
loc_session_pos_24,location,24
loc_vwap_dev_z_48,location,24
loc_swing_range_pos_48,location,22
volume_percentile,regime,22
dist_ema50_atr,location,22
loc_session_pos_48,location,22
loc_prev_day_range_pos_48,location,22
dist_ema20_atr,location,21
mark_index_basis_z,regime,20
distance_to_ema,location,19
loc_initial_balance_pos_24,location,18
volume_zscore_48h,regime,18
ema20_slope_5h,regime,17
bollinger_band_width,regime,16
loc_ema_stack_pos_48,location,15
ob_spread_z_24h,regime,14
loc_pullback_depth_24,location,13
true_range_percentile,regime,13
dist_ma100_atr,location,12
loc_range_pos_24,location,11
path_efficiency_24,regime,11
loc_bb_channel_pos_24,location,10
loc_prior_bar_pos_48,location,10
ob_depth_usd_l20_z,regime,10
loc_prev_day_range_pos_24,location,9
dist_range_mid_atr,location,9
mark_perp_dislocation,regime,9
cs_rank_ret_24h,regime,8
market_breadth_24h,regime,7
loc_pivot_ladder_pos_48,location,7
loc_initial_balance_pos_48,location,6
premium_index_mom_8h,regime,6
basis_stretch,regime,5
pullback_depth,location,4
loc_prior_bar_pos_24,location,4
basis_pct_z,regime,4
dist_local_swing,location,3
