canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics
(*)|(dist_local_swing<=0.00090001523&loc_initial_balance_pos_48>0.72559118)|(*),*,dist_local_swing<=0.00090001523&loc_initial_balance_pos_48>0.72559118,*,0.0011880300502525643,0.0011880300502525643,0.001251849227436844,0.01898817177861929,0.10076,0.016367697184121874,1.0,1.0,0.7615230460921844,1206,,,0.004265538955189454,0.00217962790555144,0.0037492816446836057,0.006258752269072454,,0.8,0.1157133995116136,5.922265366325994,1.0,0.2532729983329773,0.050913052169091436,5.255782556533814,0.2901996238611859,0.5805056799308075,0.049899046780290585,12.0,0.999329299739067,0.9999916704250917,0.999329299739067,0.999329299739067,0.01913535315543413,0.24166022436101256,,8.549944096e-05,0.0011025306092925643,5,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.1157133995116136,0.050913052169091436,0.021254289150238036,1.0,primary_target,0,0.24166022436101256,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011880300502525643, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1206, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899046780290585, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.00077050179&loc_session_pos_48>0.46587127)|(symbol_minus_mkt_ret_24h<=1.4534581),*,dist_local_swing<=0.00077050179&loc_session_pos_48>0.46587127,symbol_minus_mkt_ret_24h<=1.4534581,0.0011818973522167652,0.0011818973522167652,0.0012846630496549472,0.01945973578840494,0.12317333333333333,0.02251729606818328,1.0,1.0,0.7845691382765531,1521,,,0.00325272108728447,-0.00955881466072763,0.0038062408341267826,0.008951523437177929,,0.6,0.09978040030849959,4.463269199030797,1.0,0.225912182033062,0.03498005296597745,4.448552531003952,0.2862681469799254,0.5613566839873797,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01928975246846676,0.24006801996573537,,7.000233569777776e-05,0.0011118950165189875,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.09978040030849959,0.03498005296597745,0.0024103283882141112,1.0,primary_target,0,0.24006801996573537,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011818973522167652, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1521, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.0028999932&loc_swing_range_pos_48>0.57389921)|(premium_index_z>0.023202408&symbol_minus_mkt_ret_24h<=0.88580805),*,dist_local_swing<=0.0028999932&loc_swing_range_pos_48>0.57389921,premium_index_z>0.023202408&symbol_minus_mkt_ret_24h<=0.88580805,0.0010523329896386714,0.0010523329896386714,0.002081522283964629,0.019637406058609485,0.13046666666666668,0.017689821304291854,1.0,1.0,0.6897590361445783,1636,,,-0.0002601668245771679,-0.02679360436939501,0.01094711651245958,0.013853259938935629,,0.6,0.11055118699460693,8.107792714121482,1.0,0.2667172372341156,0.045750839652084783,3.8343897104263305,0.1411190279174302,0.5481076223279727,0.047325718531876976,12.0,0.999329299739067,0.9996398130626168,0.999329299739067,0.9481268068791051,0.021362923085689545,0.2234289001835578,,9.0013448e-05,0.0009623195416386713,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.11055118699460693,0.045750839652084783,0.023551273345947265,1.0,primary_target,0,0.2234289001835578,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0010523329896386714, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1636, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.047325718531876976, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_prior_bar_pos_48>0.24536826)|(atr_percentile>-0.43468267&cs_rank_ret_24h<=0.51887465),*,loc_prior_bar_pos_48>0.24536826,atr_percentile>-0.43468267&cs_rank_ret_24h<=0.51887465,-0.001086175930686295,0.001086175930686295,0.0004778727675202755,0.02024782933294773,0.13344,0.02646566244946249,1.0,1.0,0.6559679037111334,1264,,,-0.025031852667394595,-0.026339782413655817,-0.026154209576410983,-0.024375538875460904,,0.0,0.09611727795266937,3.994445024679448,1.0,0.22697601616382598,0.031316930610147245,3.5577210247516633,0.11814144707138836,0.5113975497145079,0.044582769363029046,12.0,0.999329299739067,0.9968876422501752,0.999329299739067,0.8956402113960229,0.02135452628135681,0.21261335003305235,,7.002493175999999e-05,0.001016150998926295,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.09611727795266937,0.031316930610147245,0.012706327438354491,1.0,primary_target,0,0.21261335003305235,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.001086175930686295, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1264, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.044582769363029046, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.0017949715)|(volume_entropy_24>0.62506765),*,dist_local_swing<=0.0017949715,volume_entropy_24>0.62506765,-0.0007984357012901455,0.0007984357012901455,0.001595216831658196,0.020225226134061813,0.09974666666666668,0.017909967429711685,1.0,1.0,0.7474849094567404,1072,,,-0.019208164283234054,-0.019315323236560895,-0.012219448735842495,-0.011892408068656614,,0.2,0.08960895279795351,1.977034993945087,0.8,0.21481745839118957,0.024808605455431378,1.2093640580773353,0.24600073555289081,0.481520276556764,0.04986448333771659,12.0,0.999329299739067,0.9992990088031695,0.999329299739067,0.999329299739067,0.019163081422448158,0.21054421170157067,,8.554207121777778e-05,0.0007128936300723678,5,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.08960895279795351,0.024808605455431378,-0.00800168514251709,0.9959466666666668,primary_target,0,0.21054421170157067,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007984357012901455, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1072, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.04986448333771659, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.0099000186&loc_prior_bar_pos_48<=-0.3115966)|(symbol_minus_mkt_ret_24h<=1.7271172&xasset_mkt_depth_z>-0.55262578),*,dist_local_swing<=0.0099000186&loc_prior_bar_pos_48<=-0.3115966,symbol_minus_mkt_ret_24h<=1.7271172&xasset_mkt_depth_z>-0.55262578,0.0012485936109442263,0.0012485936109442263,0.0008299141987786363,0.020791519433259964,0.14479999999999998,0.015639153145586598,1.0,1.0,0.6579476861167002,1807,,,0.020035528979084415,0.013695106472727215,0.014664856229920992,0.031445973348414515,,0.8,0.08243114943285976,4.348715110283148,1.0,0.17265841364860535,0.01763080209033762,3.6570745587348936,0.17158132144494093,0.46897443066814515,0.03613248983494224,12.0,0.999329299739067,0.9742847217011696,0.999329299739067,0.7427193709354857,0.022276056930422783,0.196090750320448,,9.017641800000001e-05,0.0011584171929442263,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08243114943285976,0.01763080209033762,0.001232290267944336,1.0,primary_target,0,0.196090750320448,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0012485936109442263, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1807, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.03613248983494224, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_initial_balance_pos_48>0.68597543)|(amihud_z>-0.31575078&basis_pct<=0.0012051762&cs_rank_ret_24h<=0.6693989&market_dispersion_4h<=0.28616333&volume_autocorr_48>-0.89391738),*,loc_initial_balance_pos_48>0.68597543,amihud_z>-0.31575078&basis_pct<=0.0012051762&cs_rank_ret_24h<=0.6693989&market_dispersion_4h<=0.28616333&volume_autocorr_48>-0.89391738,0.0009764385649759788,0.0009764385649759788,0.0010601959554853418,0.020480406284332276,0.15633333333333335,0.009212744795481238,1.0,1.0,0.6579739217652959,2154,,,0.00291458795301369,-0.0059838901319032075,-0.004972449237622514,0.006042712750018816,,0.4,0.11973201040856107,3.585337299412416,1.0,0.28397822491824626,0.05493166306603894,3.7042183101177217,0.1808970694379564,0.5541727848664647,0.03450286361916864,12.0,0.999329299739067,0.979051219906603,0.999329299739067,0.7057688439546095,0.021035656332969666,0.1943664744655248,,9.04418e-05,0.0008859967649759788,5,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.11973201040856107,0.05493166306603894,0.008987045288085938,0.8986666666666663,primary_target,0,0.1943664744655248,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0009764385649759788, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2154, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.03450286361916864, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.00045999978)|(basis_mom_w>-0.0013655284&volume_zscore_48h>-1.1680347),*,dist_local_swing<=0.00045999978,basis_mom_w>-0.0013655284&volume_zscore_48h>-1.1680347,0.0009608411113731563,0.0009608411113731563,0.0019579707104919147,0.019820865988731385,0.13053333333333333,0.03107687958023528,1.0,1.0,0.8118118118118118,1420,,,0.007512064644154291,0.007731495593288953,0.015056533609672308,0.024919164245552138,,0.8,0.06264883362670468,2.678660393268376,0.8,0.10098081976175308,-0.002151513715817473,1.0379718899726869,0.36757833464886247,0.3304158730766249,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.02024769503623247,0.19395850164482556,,7.001071622222223e-05,0.0008908303951509341,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.06264883362670468,-0.002151513715817473,8.845329284667969e-05,1.0,primary_target,0,0.19395850164482556,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0009608411113731563, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1420, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.0006705001)|(basis_stretch>0.12814608),*,dist_local_swing<=0.0006705001,basis_stretch>0.12814608,0.0007465410046279431,0.0007465410046279431,0.0012144430494808109,0.02002496402710676,0.17354666666666665,0.04444845004171811,1.0,1.0,0.7909547738693468,1708,,,0.0012092129893921278,-0.0030997629921522764,0.009177312399916357,0.009422112729903417,,0.6,0.07309320193221054,2.689144950528894,1.0,0.13985481411218642,0.008292854589688387,1.688817912340164,0.3702029258668752,0.4322961340154285,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01800471358001232,0.19335176996321027,,8.600163100888889e-05,0.0006605393736190542,5,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.07309320193221054,0.008292854589688387,-0.016594338417053222,0.6232533333333335,primary_target,0,0.19335176996321027,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007465410046279431, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1708, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing<=0.0051299967&zscore_price_200>-1.9436972)|(compression_score>0.3402583&volume_autocorr_48>-0.92097712),*,dist_local_swing<=0.0051299967&zscore_price_200>-1.9436972,compression_score>0.3402583&volume_autocorr_48>-0.92097712,-0.0017729926297761268,0.0017729926297761268,0.0012809899286252693,0.02019493915140629,0.13988,0.013930328224576922,1.0,1.0,0.6990972918756269,1703,,,-0.044099999675965375,-0.07198103739186239,-0.03197096395807306,-0.026455750341384508,,0.0,0.058087675471772605,1.315769216937351,0.8,0.11214546263217925,-0.00671267187074954,1.6229933977127076,0.37875116747578386,0.2619555152735116,0.04942216584788833,12.0,0.999329299739067,0.994591564563971,0.999329299739067,0.9951527699587434,0.02287253737449646,0.18978522303149703,,9.009963648e-05,0.0016828929932961268,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.058087675471772605,-0.00671267187074954,0.04082933664321899,1.0,primary_target,0,0.18978522303149703,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0017729926297761268, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1703, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.04942216584788833, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
