canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(bars_in_high_vol_state_log_norm<=-0.54938036)|(prior_range<=0.17609748&rv_24h>-0.64183205),3,3,location|regime,context|volatility,context,context|volatility
(*)|(bars_in_high_vol_state_log_norm>-0.54938036)|(mkt_ret_eq_24h<=-1.1226006&prior_range<=0.17609748),3,3,location|regime,context|cross_asset,context,context|cross_asset
(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24<=0.2867578&loc_vwap_dev_z_24>-0.35515407)|(mkt_ret_eq_24h>-1.1226006&prior_range<=0.17609748),5,5,location|regime,context|cross_asset,context|liquidity,context|cross_asset|liquidity
(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24>0.2867578)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis<=-0.00087315205&prior_range<=0.17609748),5,5,location|regime,context|cross_asset|mark_index,context,context|cross_asset|mark_index
(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24>0.2867578&loc_pullback_depth_24<=0.28378424)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748),6,6,location|regime,context|cross_asset|mark_index,context|path_structure,context|cross_asset|mark_index|path_structure
(*)|(*)|(ema50_slope<=-0.91449344&prior_range>0.17609748),2,2,regime,context|trend,,context|trend
(*)|(bars_in_high_vol_state_log_norm<=0.1785769)|(ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48<=0.15715656),4,4,location|regime,context|momentum|trend,context,context|momentum|trend
(*)|(bars_in_high_vol_state_log_norm>0.1785769)|(ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48<=0.15715656),4,4,location|regime,context|momentum|trend,context,context|momentum|trend
(*)|(*)|(ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48>0.15715656),3,3,regime,context|momentum|trend,,context|momentum|trend
(*)|(dist_prior_day_high>0.077452436)|(mkt_ret_eq_24h<=-1.004338),2,2,location|regime,cross_asset,context,context|cross_asset
(*)|(*)|(mkt_ret_eq_24h>-1.004338&perp_index_basis<=0.00045703095&perp_index_basis_z<=-0.38837019&prior_range<=0.22444563&volatility_ratio_short_long>-0.032706469),5,5,regime,context|cross_asset|mark_index|volatility,,context|cross_asset|mark_index|volatility
(*)|(*)|(direction_entropy_20<=0.17529628&mkt_ret_eq_24h>-1.004338&perp_index_basis<=0.00045703095&perp_index_basis_z<=0.35932076&perp_index_basis_z>-0.38837019&prior_range<=0.22444563),6,6,regime,context|cross_asset|mark_index|path_structure,,context|cross_asset|mark_index|path_structure
(*)|(*)|(direction_entropy_20<=0.17529628&mkt_ret_eq_24h>-1.004338&perp_index_basis<=0.00045703095&perp_index_basis_z>0.35932076&prior_range<=0.22444563),5,5,regime,context|cross_asset|mark_index|path_structure,,context|cross_asset|mark_index|path_structure
(*)|(loc_prev_day_range_pos_48<=0.59124082)|(direction_entropy_20>0.17529628&mkt_ret_eq_24h>-1.004338&perp_index_basis<=0.00045703095&perp_index_basis_z>-0.38837019&prior_range<=0.22444563),6,6,location|regime,context|cross_asset|mark_index|path_structure,context,context|cross_asset|mark_index|path_structure
(*)|(loc_prev_day_range_pos_48>0.59124082)|(direction_entropy_20>0.17529628&mkt_ret_eq_24h>-1.004338&perp_index_basis<=0.00045703095&perp_index_basis_z>-0.38837019&prior_range<=0.22444563),6,6,location|regime,context|cross_asset|mark_index|path_structure,context,context|cross_asset|mark_index|path_structure
