side,source_horizon,cheap_rank,canonical_key
long,0,1.001699059662513,(*)|(*)|(ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48>0.15715656)
long,0,1.0016897954890445,(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24>0.2867578&loc_pullback_depth_24<=0.28378424)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748)
long,0,1.001650063627423,(*)|(loc_pullback_depth_48>0.27731106)|(mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h<=-0.39739668)
long,0,1.0016470472051657,(*)|(*)|(ema20_slope_5h<=0.034722712&mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h>-0.39739668)
long,0,1.0016275410689657,(*)|(dist_prior_day_low>0.02033693)|(rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928)
long,0,1.0016251224757566,(*)|(*)|(mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306)
long,0,1.0016187075774632,(*)|(dist_rolling_7d_high>0.13977644)|(mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407)
long,0,1.0016143771511004,(*)|(distance_to_ema>-0.10461644)|(range_24h_pct<=0.063147306&true_range_percentile>-0.057046685)
long,0,1.001613986599645,(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747)
long,0,1.0016060917565293,(*)|(dist_rolling_7d_high<=0.13977644&loc_vwap_dev_z_24<=0.032604098)|(rolling_range_20>-0.40672407)
long,0,1.0016028276581388,(*)|(loc_prev_day_range_pos_24>0.56459773)|(range_24h_pct<=0.063147306&true_range_percentile<=-0.057046685)
long,0,1.001529740963325,(*)|(bars_in_high_vol_state_log_norm>-0.17760739)|(bollinger_band_width>-0.022239571&mkt_ret_eq_24h>-0.69562536&true_range_percentile>0.059409957)
long,0,1.0015285551869684,(*)|(bars_in_high_vol_state_log_norm<=-0.17760739&loc_initial_balance_pos_48>0.36295331)|(mkt_ret_eq_24h>-0.69562536&true_range_percentile>0.059409957)
long,0,1.0015121033410117,(*)|(*)|(mark_index_basis_z<=-0.1271859&market_breadth_4h<=0.30500001&mkt_ret_eq_24h>-0.69562536&true_range_percentile<=0.059409957)
long,0,1.0015020135260881,(*)|(loc_ema_stack_pos_48<=0.37911922)|(mark_index_basis_z>-0.1271859&market_breadth_4h<=0.30500001&mkt_ret_eq_24h>-0.69562536&true_range_percentile<=0.059409957)
long,0,1.0000444202525363,(*)|(loc_bb_channel_pos_48<=0.33726403)|(mkt_ret_eq_24h<=-0.85175538&range_24h_pct>0.041047096&xasset_mkt_spread_bps>14.890505)
long,0,1.000043066824127,(*)|(dist_prior_day_high>0.090266407&dist_rolling_7d_high>0.21063341)|(*)
long,0,1.00003900708892,(*)|(loc_bb_channel_pos_48<=0.30489978)|(mkt_ret_eq_24h<=-0.2996037&range_24h_pct>0.042944357&xasset_mkt_ob_stress>19.756929)
long,0,1.0000381715747553,(*)|(dist_prior_day_high>0.086887464)|(prior_range>0.073264427&range_24h_pct>0.038417935)
long,0,1.0000381428798355,(*)|(*)|(prior_volatility>0.38948071&xasset_mkt_depth_z>0.45336625)
long,0,1.000037495888629,(*)|(dist_ema200_atr<=-0.049315777)|(prior_range>0.00000000000000000000000000000000001)
long,0,1.0000368300599678,(*)|(dist_prior_day_low>0.048069093)|(xasset_mkt_depth_z>0.51640755)
long,0,1.0000357919635037,(*)|(dist_weekly_vwap<=-0.10102442)|(xasset_mkt_ob_stress>19.396749)
long,0,1.0000355652941537,(*)|(*)|(prior_range>1.1695462)
long,0,1.0000349730821683,(*)|(dist_rolling_7d_high>0.22018722)|(mkt_ret_eq_24h<=-0.61164933&range_24h_pct>0.063618153)
long,0,1.0000340594460397,(*)|(*)|(mkt_ret_eq_24h<=-0.52653283&range_24h_pct>0.035457671&up_down_semivol_ratio_tanh<=0.00000000000000000000000000000000001&xasset_mkt_ob_stress>21.691074)
long,0,1.0000331707897252,(*)|(dist_weekly_vwap<=-0.063710243)|(true_range_percentile>0.65950274)
long,0,1.0000327371179343,(*)|(dist_rolling_7d_high>0.23710874)|(compression_ratio>0.18441142)
long,0,1.000032569045504,(*)|(zscore_price_200<=-1.8612772)|(xasset_mkt_ob_stress>19.901653)
long,0,1.0000321660047646,(*)|(dist_rolling_7d_high>0.18034278)|(prior_range>0.36465105)
long,0,1.0000321034417183,(*)|(dist_range_mid_atr<=-0.00043196676&dist_rolling_7d_high>0.1818966)|(range_24h_pct>0.075220972)
long,0,1.000031644977829,(*)|(*)|(mkt_ret_eq_24h<=-0.87828803&prior_volatility>0.086809635)
long,0,1.000031507988288,(*)|(loc_ema_stack_pos_24<=0.11813091)|(mkt_ret_eq_24h<=-0.83740973&xasset_mkt_spread_bps>19.041386)
long,0,1.0000313697698378,(*)|(*)|(ema50_slope<=0.096582539&prior_volatility>0.61384994&xasset_mkt_spread_bps>19.743256)
long,0,1.000030488696519,(*)|(*)|(prior_range>0.00000000000000000000000000000000001&variance_ratio_10_48<=0.47826335&xasset_mkt_depth_z>0.4798511)
long,0,1.0000304849202972,(*)|(loc_pivot_ladder_pos_24<=0.088350929)|(atr_compression_ratio>0.33000001&mkt_ret_eq_24h<=-0.33733749&xasset_mkt_ob_stress>18.331192)
long,0,1.0000301579649689,(*)|(dist_prior_day_high>0.055489942)|(direction_entropy_20>0.0058862455&xasset_mkt_spread_bps>22.709818)
long,0,1.0000297698915985,(*)|(*)|(mkt_ret_eq_24h<=-0.98953873&rolling_range_20>-0.12516552)
long,0,1.0000293155968298,(*)|(dist_rolling_7d_high>0.16608083&loc_prev_day_range_pos_24<=0.42229408)|(mkt_ret_eq_24h<=-0.3978942)
long,0,1.000028059081924,(*)|(*)|(mkt_ret_eq_24h<=-0.8603828&range_24h_pct>0.068564892)
long,0,1.000028006675386,(*)|(loc_prev_week_range_pos_48<=0.45097527)|(mkt_ret_eq_24h>-0.17532723&prior_range<=-0.038561821)
long,0,1.000026746220545,(*)|(*)|(ema50_slope<=0.00000000000000000000000000000000001&mkt_ret_eq_24h<=-0.61486435&range_24h_pct>0.062786341)
long,0,1.0000256747055793,(*)|(dist_ema200_atr<=-0.041577492)|(mkt_ret_eq_24h<=-0.66499561&range_24h_pct>0.047321439)
long,0,1.000025314925493,(*)|(dist_prior_day_low>0.018923704&distance_to_ema<=0.31608981)|(xasset_mkt_depth_z>0.28166535)
long,0,1.0000239981023469,(*)|(dist_weekly_vwap<=-0.061788823)|(prior_volatility>-0.096403807&xasset_mkt_ob_stress>20.461029)
long,0,1.0000238184196677,(*)|(zscore_price_200>-0.063427173)|(mkt_ret_eq_24h>-0.85175538&perp_index_basis>-0.00029424913&xasset_mkt_spread_bps>24.059355)
long,0,1.000023331302321,(*)|(loc_prev_week_range_pos_24<=0.49303535)|(mkt_ret_eq_24h>-0.34955075&premium_index<=-0.000077154997)
long,0,1.0000231815893104,(*)|(*)|(ema50_slope<=-0.21295743&prior_range>-0.29410589&rolling_range_20<=0.89763063&xasset_mkt_ob_stress>16.107147&xasset_mkt_spread_bps>20.408167)
long,0,1.000022116286549,(*)|(bars_in_high_vol_state_log_norm<=1.1136633&bars_in_high_vol_state_log_norm>-0.22787602&zscore_price_200>-1.8476839)|(atr_compression_ratio>-0.37580514&range_24h_pct>0.045304716)
long,0,1.0000216438746383,(*)|(dist_ema200_atr>0.017623041)|(market_dispersion_4h>0.25737539&mkt_ret_eq_24h>-1.2776161&xasset_mkt_ob_stress>19.477009)
long,0,1.0000216168102591,(*)|(zscore_price_200>0.12476061)|(mkt_ret_eq_24h>-1.1155874&range_24h_pct>0.080156207&xasset_mkt_spread_bps>18.743086)
long,0,1.0000215737809743,(*)|(*)|(mkt_ret_eq_24h>-0.0156912&range_24h_pct<=0.056004927&range_expansion_ratio<=-0.22557235)
long,0,1.0000215147540419,(*)|(*)|(mkt_ret_eq_24h>-0.85175538&xasset_mkt_spread_bps<=15.407956)
long,0,1.0000207942399844,(*)|(dist_vwap_atr<=0.0056157662)|(direction_entropy_20<=0.17684412&mkt_ret_eq_24h>-0.76393479&prior_range<=0.1368251)
long,0,1.000020668716621,(*)|(dist_prior_day_high<=0.084983222&zscore_price_200>-0.60741401)|(prior_volatility<=0.28892317&volume_autocorr_48>-0.80883598&xasset_mkt_spread_bps<=20.408167)
long,0,1.000020522570284,(*)|(dist_rolling_7d_high<=0.24736242&loc_swing_range_pos_24<=0.94600689)|(prior_range<=0.24261621&up_down_semivol_ratio_tanh>0.84249008)
long,0,1.0000203735055604,(*)|(dist_prior_day_low<=0.029953698&zscore_price_200>-2.0096536)|(xasset_mkt_spread_bps<=18.038479)
long,0,1.0000202540416145,(*)|(dist_ema200_atr<=0.009906563)|(atr_percentile>-0.33956945&ema_slope_norm<=0.23451754&mkt_ret_eq_24h>-0.36190775&prior_range<=0.15650728)
long,0,1.0000201525136314,(*)|(bars_in_high_vol_state_log_norm>-0.44658345&dist_weekly_vwap>-0.10928168)|(up_down_return_mass_ratio_tanh<=0.64810979&xasset_mkt_spread_bps<=18.290808)
long,0,1.0000200499881144,(*)|(dist_rolling_7d_high<=0.20847851)|(market_breadth_4h>0.30500001&ob_spread_z_24h>0.21248199)
long,0,1.0000200310022311,(*)|(zscore_price_200<=-0.81584251)|(mkt_ret_eq_24h>-0.33733749&xasset_mkt_ob_stress>18.331192)
long,0,1.000019792465058,(*)|(zscore_price_200>-1.8466583)|(up_down_return_mass_ratio_tanh<=0.23377798&xasset_mkt_spread_bps<=16.880274)
long,0,1.0000196238971302,(*)|(loc_prev_week_range_pos_24<=0.37346569)|(atr_compression_ratio<=0.036572516&mark_index_basis<=0.00023969371&mkt_ret_eq_24h>-0.70012569)
long,0,1.0000195353218064,(*)|(loc_ema_stack_pos_24<=0.30293122)|(premium_index_z>0.00000000000000000000000000000000001&xasset_mkt_ob_stress<=19.756929)
long,0,1.0000195261802935,(*)|(dist_prior_day_high>0.026785029&dist_rolling_7d_high<=0.29726112)|(amihud_illiq>-0.71245575&range_24h_pct>0.047156498&rv_24h<=0.82055682&variance_ratio_10_48>-0.60052955)
long,0,1.0000194627877863,(*)|(dist_rolling_7d_high<=0.23094659&zscore_price_200>-0.12532279)|(prior_volatility>-0.021856889&xasset_mkt_spread_bps>23.998919)
long,0,1.0000192990285386,(*)|(*)|(compression_ratio>-0.73069304&mkt_ret_eq_24h>-0.22880399&xasset_mkt_ob_stress<=19.477009)
long,0,1.0000191230282198,(*)|(loc_bb_channel_pos_24<=0.53281623)|(mkt_ret_eq_24h>-0.34712476&xasset_mkt_spread_bps<=18.916857)
long,0,1.0000190180819917,(*)|(loc_session_pos_24<=0.38483584)|(ema50_slope<=0.19897607&range_24h_pct>0.07191065&xasset_mkt_spread_bps>22.559149)
long,0,1.0000189687138925,(*)|(*)|(range_24h_pct<=0.043132544&volume_autocorr_48>0.021120509)
long,0,1.0000189302051599,(*)|(*)|(mkt_ret_eq_24h>-0.20087869&xasset_mkt_depth_z<=-0.44321793&xasset_mkt_spread_bps<=20.663494)
long,0,1.0000187728523926,(*)|(*)|(mkt_ret_eq_24h>-0.97295278&xasset_mkt_depth_z<=-0.54516381&xasset_mkt_ob_stress<=19.12751)
long,0,1.000018649985481,(*)|(zscore_price_200>-0.92210543)|(compression_ratio>-0.65103489&mkt_ret_eq_24h>-0.36587152&prior_volatility<=0.24376766&xasset_mkt_depth_z<=0.26927522)
long,0,1.000018583286051,(*)|(pullback_depth>0.2732977)|(ema_slope_norm>-0.89310676&range_24h_pct>0.047556996&xasset_mkt_spread_bps>24.995104)
long,0,1.0000185286770797,(*)|(dist_weekly_vwap>-0.041727573&loc_session_pos_48<=0.42457584)|(ema20_slope_5h<=-0.021931207&prior_volatility<=0.28437397)
long,0,1.0000184666466316,(*)|(dist_rolling_7d_high<=0.20847851&loc_vwap_dev_z_24<=0.035020873)|(ema20_slope_5h<=0.01120731&mark_index_basis_z>-0.33509156&market_breadth_4h<=0.30500001)
long,0,1.000018353794348,(*)|(dist_weekly_vwap>-0.092114083&loc_vwap_dev_z_24>0.24305122&zscore_price_200>0.2128391)|(prior_volatility>-0.47638136)
long,0,1.0000180533424137,(*)|(dist_rolling_7d_high<=0.21258034&zscore_price_200>-0.022616977)|(ema50_slope<=0.61829489&range_24h_pct>0.048546076&xasset_mkt_spread_bps>19.473669)
long,0,1.0000179121346322,(*)|(loc_prev_week_range_pos_24>0.50043172)|(basis_pct_z<=0.050307769&mkt_ret_eq_24h>-0.65251923&range_24h_pct>0.043515034&xasset_mkt_spread_bps>20.963072)
long,0,1.0000179070967592,(*)|(zscore_price_200>-1.9082413)|(rv_24h>0.65730852&xasset_mkt_depth_z<=0.29869622)
long,0,1.0000178401910558,(*)|(loc_pivot_ladder_pos_24<=-0.037800487)|(mkt_ret_eq_24h>-0.51115912&range_24h_pct<=0.049207211)
long,0,1.0000177407323545,(*)|(dist_ema50_atr>-0.0066201333&dist_vwap_atr<=0.0012217768)|(dist_ema_fast<=0.00016514205&xasset_mkt_depth_z<=0.28166535)
long,0,1.0000175060063272,(*)|(dist_rolling_7d_high<=0.15751465&dist_rolling_7d_high>0.051536765)|(mark_index_basis<=-0.000016361611&mkt_ret_eq_24h>-1.0067283&prior_range<=0.12017251&volume_autocorr_48>-0.89294219)
long,0,1.0000171867867877,(*)|(dist_ema200_atr>0.020006582)|(efficiency_ratio_20<=0.22656263&mkt_ret_eq_24h>-1.0536143&xasset_mkt_ob_stress>18.950731)
long,0,1.0000170744627384,(*)|(dist_rolling_7d_high<=0.23710874)|(perp_index_basis>0.00033372219&xasset_mkt_ob_stress>20.142941)
long,0,1.000017067147127,(*)|(*)|(direction_entropy_20>0.65357524&mkt_ret_eq_24h>-0.53911054&xasset_mkt_depth_z<=0.31725287)
long,0,1.00001697977561,(*)|(*)|(mkt_ret_eq_24h<=0.48662406&mkt_ret_eq_24h>-0.34955075&premium_index>-0.000077154997)
long,0,1.00001684351075,(*)|(loc_prev_week_range_pos_48<=0.47399682)|(basis_stretch<=0.46082649&mkt_ret_eq_24h<=0.50789678&mkt_ret_eq_24h>-0.48181775)
long,0,1.000016793550024,(*)|(dist_weekly_vwap<=-0.020169228&dist_weekly_vwap>-0.11959228)|(market_breadth_24h<=0.75&mkt_ret_eq_24h>-0.52040237)
long,0,1.0000167762077792,(*)|(dist_ema200_atr<=0.0049185101&loc_vwap_dev_z_24<=-0.67807895)|(mkt_ret_eq_24h>-0.97295278&xasset_mkt_depth_z>-0.54516381)
long,0,1.0000167312248993,(*)|(dist_local_swing>0.0091001391&dist_weekly_vwap>-0.10102442)|(cs_rank_ret_24h<=0.80413473&prior_volatility>-0.094793856&xasset_mkt_ob_stress>19.396749)
long,0,1.0000166735742138,(*)|(dist_ema200_atr>0.011571036)|(mkt_ret_eq_24h>-0.99022514&true_range_percentile>0.21935605&xasset_mkt_depth_z>0.078628995)
long,0,1.000016439283652,(*)|(loc_swing_range_pos_48<=0.50000566)|(mkt_ret_eq_24h>-0.46479842&prior_range<=0.08959984&up_down_semivol_ratio_tanh>-0.166344)
long,0,1.000016299744611,(*)|(*)|(prior_range<=0.71958441&range_24h_pct<=0.048629642&volume_autocorr_48>0.25567406)
long,0,1.0000162261846803,(*)|(dist_rolling_7d_high<=0.22283567)|(dist_ema_fast<=0.00000000000000000000000000000000001&up_down_semivol_ratio_tanh<=0.96664101&volume_autocorr_48>0.033668652&xasset_mkt_depth_z<=0.51640755)
long,0,1.0000161700641286,(*)|(*)|(perp_index_basis>-0.00077713846&range_24h_pct<=0.039270222)
long,0,1.0000161689694607,(*)|(dist_ema200_atr<=0.025682731&dist_rolling_7d_high<=0.22018722&loc_swing_range_pos_24<=0.44477037)|(prior_range<=0.71958441&range_24h_pct>0.048629642)
long,0,1.00001605738865,(*)|(*)|(market_breadth_4h>0.185&perp_index_basis>0.00021267988&realized_volatility_24h>-0.28398174&xasset_mkt_ob_stress>21.564865)
long,0,1.000016033191362,(*)|(dist_weekly_vwap>-0.096420489)|(prior_range>0.1368251&return_autocorr_48<=-0.26150042)
long,0,1.0000159729966378,(*)|(dist_range_mid_atr<=-0.0000077326904)|(range_24h_pct<=0.059532702&range_24h_pct>0.034901455&true_range_percentile<=0.7958855)
