fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,dist_ema20_atr,location,,context,35.093834,5.0
0,42,dist_ema50_atr,location,,context,102.76663,9.0
0,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,228.12833,27.0
0,42,dist_ema200_atr,location,,context,11.233255,4.0
0,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,258.04205,23.0
0,42,dist_vwap_atr,location,,context,171.89462,10.0
0,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,118.77139,15.0
0,42,dist_weekly_vwap,location,,context,384.3291,23.0
0,42,amihud_illiq,regime,liquidity,liquidity,16.62909,3.0
0,42,dist_prior_day_high,location,,context,141.01192,11.0
0,42,amihud_z,regime,liquidity,liquidity,45.6026,6.0
0,42,dist_prior_day_low,location,,context,80.61492,8.0
0,42,atr_compression_ratio,regime,volatility_term_structure,volatility_term_structure,310.48944,27.0
0,42,dist_rolling_7d_high,location,,context,366.1086,30.0
0,42,atr_percentile,regime,compression,compression,168.74223,23.0
0,42,dist_local_swing,location,,context,10.38891,2.0
0,42,dist_range_mid_atr,location,,context,60.986557,9.0
0,42,dist_ma100_atr,location,,context,58.219078,9.0
0,42,distance_to_ema,location,,context,113.815056,8.0
0,42,pullback_depth,location,,context,48.70083,5.0
0,42,basis_pct,regime,basis,basis,37.57563,21.0
0,42,zscore_price_50,location,,context,94.32802,11.0
0,42,zscore_price_200,location,,context,195.80502,23.0
0,42,basis_stretch,regime,basis,basis,1.145161,2.0
0,42,loc_ema_stack_pos_24,location,,trend,12.531767,3.0
0,42,basis_vol,regime,basis,basis,2.390481,3.0
0,42,loc_ema_stack_pos_48,location,,trend,36.45157,5.0
0,42,bollinger_band_width,regime,compression,compression,74.37298,12.0
0,42,loc_vwap_dev_z_24,location,,liquidity,89.4109,10.0
0,42,choppiness_index_20,regime,path_structure,path_structure,30.57779,6.0
0,42,loc_vwap_dev_z_48,location,,liquidity,52.24093,7.0
0,42,loc_range_pos_24,location,,context,71.09495,9.0
0,42,compression_ratio,regime,volatility_term_structure,volatility_term_structure,204.28816,21.0
0,42,loc_range_pos_48,location,,context,8.69476,2.0
0,42,compression_score,regime,volatility_term_structure,volatility_term_structure,31.52848,6.0
0,42,loc_prior_bar_pos_24,location,,context,1.20883,1.0
