fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,15,dist_rolling_7d_high,location,dist_rolling_7d_high,context,30
0,42,9,dist_weekly_vwap,location,dist_weekly_vwap,context,23
0,42,16,atr_percentile,regime,atr_percentile,compression,23
0,42,93,rv_24h,regime,rv_24h,volatility,18
0,42,94,spectral_entropy_ret_24,regime,spectral_entropy_ret_24,path_structure,20
0,42,6,up_down_return_mass_ratio_tanh,regime,up_down_return_mass_ratio_tanh,path_structure,23
0,42,27,zscore_price_50,location,zscore_price_50,context,11
0,42,106,xasset_mkt_ob_stress,regime,xasset_mkt_ob_stress,cross_asset_orderbook,11
0,42,39,loc_range_pos_24,location,loc_range_pos_24,context,9
0,42,103,volume_trend_48,regime,volume_trend_48,liquidity,16
0,42,100,volume_autocorr_48,regime,volume_autocorr_48,liquidity,32
0,42,46,direction_entropy_20,regime,direction_entropy_20,path_structure,28
0,42,92,rolling_range_20,regime,rolling_range_20,compression,15
0,42,91,return_autocorr_48,regime,return_autocorr_48,momentum,28
0,42,72,mkt_ret_eq_24h,regime,mkt_ret_eq_24h,cross_asset,56
0,42,101,volume_entropy_24,regime,volume_entropy_24,liquidity,12
0,42,23,distance_to_ema,location,distance_to_ema,context,8
0,42,81,perp_index_basis,regime,perp_index_basis,mark_index,4
0,42,82,perp_index_basis_z,regime,perp_index_basis_z,mark_index,7
0,42,89,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,6
0,42,52,ema20_slope_5h,regime,ema20_slope_5h,trend,4
0,42,40,compression_ratio,regime,compression_ratio,volatility_term_structure,21
0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,9
0,42,19,dist_range_mid_atr,location,dist_range_mid_atr,context,9
0,42,31,loc_ema_stack_pos_24,location,loc_ema_stack_pos_24,trend,3
0,42,69,loc_bb_channel_pos_48,location,loc_bb_channel_pos_48,compression,9
0,42,37,loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,7
0,42,95,symbol_minus_mkt_ret_24h,regime,symbol_minus_mkt_ret_24h,cross_asset,31
0,42,48,dist_ema_fast,regime,dist_ema_fast,trend,5
0,42,35,loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,10
0,42,86,prior_range,regime,prior_range,context,12
0,42,70,market_dispersion_4h,regime,market_dispersion_4h,cross_sectional,23
0,42,105,xasset_mkt_depth_z,regime,xasset_mkt_depth_z,cross_asset_orderbook,11
0,42,14,atr_compression_ratio,regime,atr_compression_ratio,volatility_term_structure,27
0,42,67,loc_bb_channel_pos_24,location,loc_bb_channel_pos_24,compression,7
0,42,11,dist_prior_day_high,location,dist_prior_day_high,context,11
0,42,58,mark_index_basis,regime,mark_index_basis,mark_index,9
0,42,51,loc_session_pos_24,location,loc_session_pos_24,context,4
0,42,87,prior_volatility,regime,prior_volatility,context,22
0,42,74,ob_depth_usd_l20_z,regime,ob_depth_usd_l20_z,orderbook,4
0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,5
0,42,63,loc_prev_week_range_pos_24,location,loc_prev_week_range_pos_24,context,11
0,42,26,basis_pct,regime,basis_pct,basis,21
