feature_name,status,reason,support,group,regime_family
dist_ema20_atr,retained,retained,194051,location,
dist_ema50_atr,retained,retained,194051,location,
dist_ema200_atr,retained,retained,194051,location,
dist_vwap_atr,retained,retained,194051,location,
dist_weekly_vwap,retained,retained,194051,location,
dist_prior_day_high,retained,retained,194051,location,
dist_prior_day_low,retained,retained,194051,location,
dist_rolling_7d_high,retained,retained,194051,location,
dist_local_swing,retained,retained,194051,location,
dist_range_mid_atr,retained,retained,194051,location,
dist_ma100_atr,retained,retained,194051,location,
distance_to_ema,retained,retained,194051,location,
pullback_depth,retained,retained,194051,location,
zscore_price_50,retained,retained,194051,location,
zscore_price_200,retained,retained,194051,location,
loc_ema_stack_pos_24,retained,retained,194051,location,
loc_ema_stack_pos_48,retained,retained,194051,location,
loc_vwap_dev_z_24,retained,retained,194051,location,
loc_vwap_dev_z_48,retained,retained,194051,location,
loc_range_pos_24,retained,retained,194051,location,
loc_range_pos_48,retained,retained,194051,location,
loc_prior_bar_pos_24,retained,retained,194051,location,
loc_prior_bar_pos_48,retained,retained,194051,location,
loc_swing_range_pos_24,retained,retained,194051,location,
loc_swing_range_pos_48,retained,retained,194051,location,
loc_session_pos_24,retained,retained,194051,location,
loc_session_pos_48,retained,retained,194051,location,
loc_initial_balance_pos_24,retained,retained,194051,location,
loc_initial_balance_pos_48,retained,retained,194051,location,
loc_prev_day_range_pos_24,retained,retained,194051,location,
loc_prev_day_range_pos_48,retained,retained,194051,location,
loc_prev_week_range_pos_24,retained,retained,194051,location,
loc_prev_week_range_pos_48,retained,retained,194051,location,
loc_bb_channel_pos_24,retained,retained,194051,location,
loc_bb_channel_pos_48,retained,retained,194051,location,
loc_pullback_depth_24,retained,retained,194051,location,
loc_pullback_depth_48,retained,retained,194051,location,
loc_pivot_ladder_pos_24,retained,retained,194051,location,
loc_pivot_ladder_pos_48,retained,retained,194051,location,
bars_since_ema20_ema50_cross_log_norm,retained,retained,194051,regime,trend
bars_in_high_vol_state_log_norm,retained,retained,194051,location,
bars_outside_ema20_atr_band_log_norm,retained,retained,194051,regime,volatility
up_down_semivol_ratio_tanh,retained,retained,194051,regime,path_structure
up_down_return_mass_ratio_tanh,retained,retained,194051,regime,path_structure
tail_asymmetry_q90_q10_atr_norm,retained,retained,194051,regime,path_structure
amihud_illiq,retained,retained,194051,regime,liquidity
amihud_z,retained,retained,194051,regime,liquidity
atr_compression_ratio,retained,retained,194051,regime,volatility_term_structure
atr_percentile,retained,retained,194051,regime,compression
bars_outside_ema20_atr_band_log_norm,dropped,duplicate_of_bars_outside_ema20_atr_band_log_norm,194051,regime,volatility
bars_since_ema20_ema50_cross_log_norm,dropped,duplicate_of_bars_since_ema20_ema50_cross_log_norm,194051,regime,trend
basis_funding_div,dropped,near_constant_continuous,194051,regime,basis
basis_funding_div_2h,dropped,near_constant_continuous,194051,regime,basis
basis_funding_div_4h,dropped,near_constant_continuous,194051,regime,basis
basis_funding_div_8h,dropped,near_constant_continuous,194051,regime,basis
basis_mom_2h,retained,retained,194051,regime,basis
basis_mom_4h,retained,retained,194051,regime,basis
basis_mom_8h,retained,retained,194051,regime,basis
basis_mom_w,retained,retained,194051,regime,basis
basis_pct,retained,retained,194051,regime,basis
basis_pct_z,retained,retained,194051,regime,basis
basis_stretch,retained,retained,194051,regime,basis
basis_vol,retained,retained,194051,regime,basis
bollinger_band_width,retained,retained,194051,regime,compression
choppiness_index_20,retained,retained,194051,regime,path_structure
coherence_24,retained,retained,194051,regime,path_structure
compression_ratio,retained,retained,194051,regime,volatility_term_structure
compression_score,retained,retained,194051,regime,volatility_term_structure
cs_rank_ret_24h,retained,retained,194051,regime,cross_sectional
direction_entropy_20,retained,retained,194051,regime,path_structure
dist_ema_fast,retained,retained,194051,regime,trend
efficiency_ratio_20,retained,retained,194051,regime,path_structure
ema20_slope_5h,retained,retained,194051,regime,trend
ema50_slope,retained,retained,194051,regime,trend
ema_slope_norm,retained,retained,194051,regime,trend
fund_rate_z_14d,dropped,near_constant_continuous,194051,regime,funding
funding_abs_z,dropped,near_constant_continuous,194051,regime,funding
funding_mom_2h,dropped,near_constant_continuous,194051,regime,funding
funding_mom_4h,dropped,near_constant_continuous,194051,regime,funding
funding_mom_8h,dropped,near_constant_continuous,194051,regime,funding
funding_mom_w,dropped,near_constant_continuous,194051,regime,funding
funding_persistence,dropped,near_constant_continuous,194051,regime,funding
funding_rate,dropped,near_constant_continuous,194051,regime,funding
funding_z,dropped,near_constant_continuous,194051,regime,funding
leverage_build,dropped,near_constant_continuous,194051,regime,crowding
mark_index_basis,retained,retained,194051,regime,mark_index
mark_index_basis_z,retained,retained,194051,regime,mark_index
mark_perp_dislocation,retained,retained,194051,regime,mark_index
market_breadth_24h,retained,retained,194051,regime,cross_sectional
market_breadth_4h,retained,retained,194051,regime,cross_sectional
market_dispersion_24h,retained,retained,194051,regime,cross_sectional
market_dispersion_4h,retained,retained,194051,regime,cross_sectional
mkt_ret_eq_24h,retained,retained,194051,regime,cross_asset
ob_depth_usd_l20_z,retained,retained,194051,regime,orderbook
ob_spread_z_24h,retained,retained,194051,regime,orderbook
oi_chg_2h,dropped,near_constant_continuous,194051,regime,open_interest
oi_chg_4h,dropped,near_constant_continuous,194051,regime,open_interest
oi_chg_8h,dropped,near_constant_continuous,194051,regime,open_interest
oi_chg_w,dropped,near_constant_continuous,194051,regime,open_interest
oi_rank,retained,retained,194051,regime,open_interest
oi_rel_vol_2h,dropped,near_constant_continuous,194051,regime,open_interest
oi_rel_vol_4h,dropped,near_constant_continuous,194051,regime,open_interest
oi_rel_vol_8h,dropped,near_constant_continuous,194051,regime,open_interest
oi_vel_2h,dropped,near_constant_continuous,194051,regime,open_interest
oi_vel_4h,dropped,near_constant_continuous,194051,regime,open_interest
oi_vel_8h,dropped,near_constant_continuous,194051,regime,open_interest
oi_z,dropped,near_constant_continuous,194051,regime,open_interest
path_efficiency_24,retained,retained,194051,regime,path_structure
perp_index_basis,retained,retained,194051,regime,mark_index
perp_index_basis_z,retained,retained,194051,regime,mark_index
premium_index,retained,retained,194051,regime,mark_index
premium_index_mom_8h,retained,retained,194051,regime,mark_index
premium_index_z,retained,retained,194051,regime,mark_index
prior_range,retained,retained,194051,regime,context
prior_volatility,retained,retained,194051,regime,context
range_24h_pct,retained,retained,194051,regime,compression
range_expansion_ratio,retained,retained,194051,regime,volatility_term_structure
realized_volatility_24h,retained,retained,194051,regime,volatility
return_autocorr_48,retained,retained,194051,regime,momentum
rolling_range_20,retained,retained,194051,regime,compression
rv_24h,retained,retained,194051,regime,volatility
spectral_entropy_ret_24,retained,retained,194051,regime,path_structure
squeeze_prob,dropped,near_constant_continuous,194051,regime,crowding
symbol_minus_mkt_ret_24h,retained,retained,194051,regime,cross_asset
tail_asymmetry_q90_q10_atr_norm,dropped,duplicate_of_tail_asymmetry_q90_q10_atr_norm,194051,regime,path_structure
trend_acceleration,retained,retained,194051,regime,trend
true_range_percentile,retained,retained,194051,regime,volatility
unwind,dropped,near_constant_continuous,194051,regime,crowding
up_down_return_mass_ratio_tanh,dropped,duplicate_of_up_down_return_mass_ratio_tanh,194051,regime,path_structure
up_down_semivol_ratio_tanh,dropped,duplicate_of_up_down_semivol_ratio_tanh,194051,regime,path_structure
variance_ratio_10_48,retained,retained,194051,regime,volatility
volatility_ratio_short_long,retained,retained,194051,regime,volatility
volume_autocorr_48,retained,retained,194051,regime,liquidity
volume_entropy_24,retained,retained,194051,regime,liquidity
volume_percentile,retained,retained,194051,regime,liquidity
volume_trend_48,retained,retained,194051,regime,liquidity
volume_zscore_48h,retained,retained,194051,regime,liquidity
xasset_mkt_depth_z,retained,retained,194051,regime,cross_asset_orderbook
xasset_mkt_ob_stress,retained,retained,194051,regime,cross_asset_orderbook
xasset_mkt_spread_bps,retained,retained,194051,regime,cross_asset_orderbook
