side,source_horizon,canonical_key,rejected,reason
short,0,(*)|(*)|(ema50_slope>-0.20465356&mkt_ret_eq_24h>-0.031187795&prior_range>0.17609748),False,
short,0,(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_ema_stack_pos_24>-0.19664918&loc_prev_week_range_pos_24>0.2867578)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748),False,
short,0,(*)|(dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24>0.25754622)|(mkt_ret_eq_24h>-0.55900121&premium_index_mom_8h<=-0.0055828341&prior_volatility<=0.11876135),False,
short,0,(*)|(dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24<=0.25754622)|(mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135),False,
short,0,(*)|(dist_prior_day_low>0.02033693)|(rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928),False,
short,0,(*)|(*)|(mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306),False,
short,0,(*)|(dist_rolling_7d_high>0.13977644)|(mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407),False,
short,0,(*)|(distance_to_ema>-0.10461644)|(range_24h_pct<=0.063147306&true_range_percentile>-0.057046685),False,
short,0,(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747),False,
short,0,(*)|(*)|(compression_ratio<=-0.50662935&range_24h_pct<=0.063147306&true_range_percentile<=-0.057046685&true_range_percentile>-1.231488),False,
short,0,(*)|(*)|(compression_ratio>-0.50662935&range_24h_pct<=0.063147306&true_range_percentile<=-0.057046685),False,
short,0,(*)|(bars_in_high_vol_state_log_norm<=-0.17760739&loc_initial_balance_pos_48>0.36295331)|(mkt_ret_eq_24h>-0.69562536&true_range_percentile>0.059409957),False,
short,0,(*)|(*)|(mark_index_basis_z<=-0.1271859&market_breadth_4h<=0.30500001&mkt_ret_eq_24h>-0.69562536&true_range_percentile<=0.059409957),False,
short,0,(*)|(*)|(ema50_slope<=-0.082886539&prior_volatility>0.14965813&xasset_mkt_spread_bps>24.78437),False,
short,0,(*)|(loc_range_pos_24<=0.50219953)|(mkt_ret_eq_24h<=-0.68361706&xasset_mkt_spread_bps>20.501755),False,
short,0,(*)|(dist_rolling_7d_high>0.23094659)|(mkt_ret_eq_24h<=-0.46955884&range_24h_pct>0.052666724),False,
short,0,(*)|(loc_bb_channel_pos_48<=0.44866139)|(mkt_ret_eq_24h<=-0.85175538&range_24h_pct>0.043132544&xasset_mkt_spread_bps>19.063578),False,
