canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(dist_ema200_atr>0.65443957&distance_to_ema>0.53409129&loc_prev_week_range_pos_48<=0.88318193&loc_session_pos_24>0.75342494)|(*),*,dist_ema200_atr>0.65443957&distance_to_ema>0.53409129&loc_prev_week_range_pos_48<=0.88318193&loc_session_pos_24>0.75342494,*,-0.0006745892533217557,0.0006745892533217557,0.0022623785997097916,0.02411714072028796,0.10085470085470087,0.015519004328577803,1.0,1.0,0.5859284890426759,606,,,0.0006908470932176711,-0.01919222337028626,0.023495092120900916,0.031976040070563226,,0.6666666666666666,0.05051901728651268,1.2521068677051572,1.0,0.191740980406905,0.0007914707765702481,1.5103274475972412,0.444303805322044,0.3859110469304472,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01,0.19325839231531736,0.19325839231531736,9.052469592373439e-05,0.0005840645573980213,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.05051901728651268,0.0007914707765702481,-0.04178464850682281,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006745892533217557, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005840645573980213, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 606, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_prev_week_range_pos_24>0.031651985)|(bollinger_band_width>0.63956416&efficiency_ratio_20>0.76560557&volume_autocorr_48<=0.88653177&volume_autocorr_48>0.55263114),*,loc_prev_week_range_pos_24>0.031651985,bollinger_band_width>0.63956416&efficiency_ratio_20>0.76560557&volume_autocorr_48<=0.88653177&volume_autocorr_48>0.55263114,-0.0009903374933249627,0.0009903374933249627,0.0022936394714049776,0.02454233666261037,0.09439696106362773,0.016026467566881065,1.0,1.0,0.5823665893271461,552,,,-0.004105597975216817,-0.021135490405093268,0.01976904589102829,0.024861616387782184,,0.6666666666666666,0.04078331677495627,1.2249244891364957,0.6666666666666666,0.13253024164246566,-0.008944229734986162,-0.05728388020943168,0.3973369342706632,0.20316037632133904,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01,0.14836152841535746,0.14836152841535746,9.084289139292702e-05,0.0008994946019320357,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.04078331677495627,-0.008944229734986162,-0.050028124280833954,0.9103513770180436,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0009903374933249627, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0008994946019320357, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 552, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_prior_day_low<=0.91784734&loc_bb_channel_pos_24<=0.87500042)|(prior_range>0.80292034),*,dist_prior_day_low<=0.91784734&loc_bb_channel_pos_24<=0.87500042,prior_range>0.80292034,-0.0014338668018657093,0.0014338668018657093,0.0019215486629655298,0.02486693672835827,0.0563627730294397,0.01217113075505265,1.0,1.0,0.5884393063583815,326,,,-0.006879948446817642,-0.01850202424344685,0.0031785442133433375,0.009771373679892056,,0.6666666666666666,0.04182076244283179,1.1332036808234995,0.6666666666666666,0.1408994565159862,-0.007906784067110642,-1.0595607678267405,0.30354728396774733,0.22791957649411915,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01,0.14424003424039092,0.14424003424039092,7.329774824834574e-05,0.0013605690536173634,3,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.04182076244283179,-0.007906784067110642,-0.053533756941421116,0.30180436847103514,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0014338668018657093, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0013605690536173634, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 326, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(distance_to_ema<=0.89119238&loc_range_pos_24>0.59917235)|(direction_entropy_20<=0.87896258&direction_entropy_20>0.42924771&realized_volatility_24h>0.70588243),*,distance_to_ema<=0.89119238&loc_range_pos_24>0.59917235,direction_entropy_20<=0.87896258&direction_entropy_20>0.42924771&realized_volatility_24h>0.70588243,-6.302545079961419e-05,6.302545079961419e-05,0.0026068891385753164,0.023702555646498997,0.13247863247863248,0.014779617037853444,1.0,1.0,0.574468085106383,816,,,0.016376638017530715,-0.011254049623094287,0.03932385772937715,0.05548093551407894,,0.6666666666666666,0.045820959699620585,1.4249234213169049,1.0,0.09923612322839966,-0.003906586810321847,3.7403117516705784,0.3254849773927184,0.29401547764921987,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01,0.13513041572549064,0.13513041572549064,9.002516847468771e-05,-2.699971767507352e-05,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.045820959699620585,-0.003906586810321847,-0.02908278214324922,1.0,primary_target,0,rejected,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 6.302545079961419e-05, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -2.699971767507352e-05, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 816, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_prior_day_low>0.56742841&distance_to_ema<=0.88653177&loc_initial_balance_pos_48<=0.80223286&loc_pullback_depth_48<=0.75141668&loc_pullback_depth_48>0.60325986)|(*),*,dist_prior_day_low>0.56742841&distance_to_ema<=0.88653177&loc_initial_balance_pos_48<=0.80223286&loc_pullback_depth_48<=0.75141668&loc_pullback_depth_48>0.60325986,*,0.0007833859417587519,0.0007833859417587519,0.0019321115084243855,0.022731694703300793,0.11476733143399809,0.013586056574134043,1.0,1.0,0.534688995215311,728,,,0.028340930179578217,0.008396005493470651,0.03499309672818033,0.05161193813998684,,0.6666666666666666,0.04784018947819641,3.4410457454272496,1.0,0.05668487565864198,-0.0018873570317460193,36.273407429275785,0.24406754692341048,0.2983539365430335,0.02226897121026217,12.0,0.999329299739067,0.4462767759322048,0.999329299739067,0.999329299739067,0.01,0.1303791573474063,0.1303791573474063,9.009423675538348e-05,0.0006932917050033684,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.04784018947819641,-0.0018873570317460193,-0.00791516264872453,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007833859417587519, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006932917050033684, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 728, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.02226897121026217, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_ema50_atr<=0.79087883&dist_rolling_7d_high<=0.5731709&loc_pivot_ladder_pos_48<=0.9021222&loc_vwap_dev_z_48<=0.89536834)|(prior_range<=0.56470573&volume_percentile>0.49999937),*,dist_ema50_atr<=0.79087883&dist_rolling_7d_high<=0.5731709&loc_pivot_ladder_pos_48<=0.9021222&loc_vwap_dev_z_48<=0.89536834,prior_range<=0.56470573&volume_percentile>0.49999937,0.0007919375202618539,0.0007919375202618539,0.00045331593773127775,0.021732939407229424,0.05598290598290598,0.010897823826648887,1.0,1.0,0.555688622754491,303,,,0.009412209470553153,0.002620531531483939,0.009106669669624286,0.016051117509157935,,0.6666666666666666,0.06830184515893435,3.1771677262559295,1.0,0.14431443382364564,0.01857429864899192,30.32616095558654,0.04628055733695452,0.39181981263199406,0.021201232843745033,6.105250177426951,0.999329299739067,0.43934538480309626,0.9664242101954542,0.999329299739067,0.01,0.1288996190630024,0.1288996190630024,9.428702333990796e-05,0.0006976504969219459,3,1,1,6,6,stage_a_context,,short,6-way,True,,production,0.06830184515893435,0.01857429864899192,0.020093320000039456,0.2957264957264956,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007919375202618539, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006976504969219459, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 303, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.021201232843745033, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_range_mid_atr>0.035177544&loc_pivot_ladder_pos_24<=0.80292034&loc_pivot_ladder_pos_24>0.58577389)|(choppiness_index_20>0.45833355&ema_slope_norm<=0.86363649),*,dist_range_mid_atr>0.035177544&loc_pivot_ladder_pos_24<=0.80292034&loc_pivot_ladder_pos_24>0.58577389,choppiness_index_20>0.45833355&ema_slope_norm<=0.86363649,0.0005441270380591353,0.0005441270380591353,0.0019949020786214845,0.02268141818543275,0.16832858499525163,0.01838152754047735,1.0,1.0,0.5479289940828402,1084,,,0.02701637143993311,-0.002974159416179817,0.0350975289427779,0.06104748104746843,,0.6666666666666666,0.04927751168192509,3.3480109338852517,1.0,0.08430156893995573,-0.00045003482801735106,26.318620099997997,0.18240504441767205,0.32483876437644893,0.022403780123203744,12.0,0.999329299739067,0.4489783864586383,0.999329299739067,0.999329299739067,0.01,0.12848786075329782,0.12848786075329782,9.084481482496084e-05,0.0004532822232341745,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.04927751168192509,-0.00045003482801735106,-0.016852840026721494,0.7905304571971241,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0005441270380591353, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0004532822232341745, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1084, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.022403780123203744, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_pivot_ladder_pos_24<=0.85755962&loc_range_pos_48>0.60325986&pullback_depth<=0.80568737&pullback_depth>0.49999884)|(tail_asymmetry_q90_q10_atr_norm>0.021978796),*,loc_pivot_ladder_pos_24<=0.85755962&loc_range_pos_48>0.60325986&pullback_depth<=0.80568737&pullback_depth>0.49999884,tail_asymmetry_q90_q10_atr_norm>0.021978796,0.0006981275121991833,0.0006981275121991833,0.002108829700218011,0.02246446597079436,0.1567426400759734,0.015019917320772076,1.0,1.0,0.5845070422535211,1016,,,0.029133647159894565,-0.0004542089749401332,0.04228008440087606,0.06529472191522001,,0.6666666666666666,0.05765487618751745,4.199972077282951,1.0,0.04288512000107614,0.007927329677575016,41.019179034661235,0.044243139292334366,0.28391635229901535,0.022352350501289565,12.0,0.999329299739067,0.44794772160939306,0.999329299739067,0.999329299739067,0.01,0.1264405935064449,0.1264405935064449,9.045341783954676e-05,0.0006076740943596365,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.05765487618751745,0.007927329677575016,-0.013321495171759068,0.9229412562745896,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006981275121991833, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006076740943596365, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1016, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.022352350501289565, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_initial_balance_pos_24>0.57777774&loc_swing_range_pos_24>0.6588695)|(compression_score>0.52173901&prior_range<=0.87878776),*,loc_initial_balance_pos_24>0.57777774&loc_swing_range_pos_24>0.6588695,compression_score>0.52173901&prior_range<=0.87878776,0.0002045170598042508,0.0002045170598042508,0.0024317718007121117,0.02275602954129378,0.1690883190883191,0.014371235663979014,1.0,1.0,0.5598591549295775,1045,,,0.021715676757012897,-0.006763320136352564,0.051282723533271596,0.06497819703850771,,0.6666666666666666,0.04185420098713949,1.316975612408671,0.6666666666666666,0.06611203939128608,-0.007873345522802937,4.413108165969119,0.33075653724465076,0.20235050560619366,0.049899155829649156,12.0,0.999329299739067,0.9999938558065222,0.999329299739067,0.999329299739067,0.01,0.12500228281886305,0.12500228281886305,9.087470094601504e-05,0.00011364235885823576,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.04185420098713949,-0.007873345522802937,-0.022825784718135234,0.7818477818477818,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0002045170598042508, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00011364235885823576, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1045, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.049899155829649156, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_swing_range_pos_24>0.59459424&zscore_price_200<=0.90625185)|(ema50_slope<=0.86363649&ema_slope_norm<=0.78673023),*,loc_swing_range_pos_24>0.59459424&zscore_price_200<=0.90625185,ema50_slope<=0.86363649&ema_slope_norm<=0.78673023,0.0006160910706967115,0.0006160910706967115,0.0019014635191630096,0.022752291212479275,0.14848053181386514,0.01603321898845813,1.0,1.0,0.5412621359223301,952,,,0.027493491059528613,0.004891563457581398,0.041993914489073185,0.05734563037624811,,0.6666666666666666,0.052205394357325775,4.507693442321558,1.0,0.0825538032558991,0.00247784784738334,27.16587369010629,0.020359481785174504,0.2794670974118228,0.022337229834100285,12.0,0.999329299739067,0.4476446989623447,0.999329299739067,0.999329299739067,0.01,0.12410593865692951,0.12410593865692951,9.024810091841788e-05,0.0005258429697782937,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.052205394357325775,0.00247784784738334,-0.008344091119343497,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006160910706967115, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005258429697782937, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 952, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.022337229834100285, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
