families_combo,count
context,61
context|path_structure,61
context|trend,46
context|path_structure|volatility,42
context|volatility,40
context|path_structure|trend,38
context|liquidity|trend,38
context|liquidity,36
context|trend|volatility,29
context|path_structure|volatility_term_structure,29
context|volatility_term_structure,28
context|liquidity|volatility,25
compression|context|volatility_term_structure,23
compression|context|liquidity|path_structure,21
compression|context|path_structure,21
context|liquidity|volatility_term_structure,20
context|liquidity|path_structure|trend,19
context|liquidity|path_structure,19
compression|context|trend,19
compression|context|volatility,19
compression|context|path_structure|trend,17
compression|context,17
compression|context|liquidity,15
compression|context|momentum,15
context|path_structure|trend|volatility_term_structure,14
context|trend|volatility_term_structure,14
compression|context|path_structure|volatility_term_structure,14
compression|context|path_structure|volatility,12
context|liquidity|trend|volatility,11
context|path_structure|trend|volatility,11
compression|context|trend|volatility_term_structure,9
context|liquidity|trend|volatility_term_structure,9
compression|context|liquidity|trend,9
context|momentum|path_structure,8
context|liquidity|path_structure|volatility_term_structure,8
context|path_structure|volatility|volatility_term_structure,8
context|volatility|volatility_term_structure,7
compression|context|liquidity|trend|volatility_term_structure,6
compression|context|trend|volatility,5
context|momentum|path_structure|trend,5
compression|liquidity|trend,5
context|liquidity|momentum|path_structure,5
liquidity|path_structure|trend|volatility,4
compression|context|liquidity|volatility,4
compression|context|liquidity|path_structure|trend,4
context|trend|volatility|volatility_term_structure,4
liquidity|trend|volatility_term_structure,4
path_structure|trend,4
liquidity|trend,4
compression|context|volatility|volatility_term_structure,4
context|momentum,4
context|liquidity|path_structure|volatility,4
compression|context|momentum|trend,4
context|liquidity|momentum|trend,4
compression|context|liquidity|momentum,4
context|liquidity|path_structure|trend|volatility_term_structure,3
compression|context|path_structure|volatility|volatility_term_structure,3
context|momentum|volatility_term_structure,3
compression|context|liquidity|momentum|path_structure,3
compression|context|liquidity|path_structure|volatility,3
compression|context|path_structure|trend|volatility,3
trend|volatility,3
compression|liquidity|path_structure,3
compression|trend|volatility,3
trend,3
context|liquidity|volatility|volatility_term_structure,3
compression|context|liquidity|volatility_term_structure,3
context|liquidity|path_structure|volatility|volatility_term_structure,3
compression|context|liquidity|path_structure|volatility_term_structure,3
path_structure|trend|volatility|volatility_term_structure,2
path_structure|volatility|volatility_term_structure,2
context|path_structure|trend|volatility|volatility_term_structure,2
compression|path_structure|volatility_term_structure,2
compression|context|path_structure|trend|volatility_term_structure,2
compression|context|liquidity|path_structure|trend|volatility,2
momentum|trend,2
compression|path_structure|trend,2
context|liquidity|momentum|volatility,2
volatility|volatility_term_structure,2
context|momentum|trend|volatility,2
liquidity|momentum|trend|volatility,2
compression|context|liquidity|momentum|trend,2
compression|momentum|path_structure|trend,2
compression|trend,2
compression|liquidity|trend|volatility_term_structure,1
liquidity|volatility,1
compression|context|liquidity|path_structure|volatility|volatility_term_structure,1
compression|liquidity|path_structure|trend|volatility_term_structure,1
compression|path_structure,1
path_structure|trend|volatility,1
compression|context|momentum|path_structure|trend,1
compression|momentum,1
compression|context|trend|volatility|volatility_term_structure,1
liquidity|trend|volatility,1
compression|liquidity|path_structure|trend,1
liquidity|path_structure,1
compression|liquidity,1
compression|path_structure|trend|volatility_term_structure,1
liquidity|momentum,1
context|momentum|trend,1
