canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,is_too_narrow,is_too_broad,comp_bonus,cheap_rank,step1_bucket_side,step1_bucket_horizon
(*)|(dist_ema20_atr>0.32355806&dist_prior_day_high<=0.44622892&loc_prev_week_range_pos_48>0.02608712&zscore_price_50>0.15909089)|(*),*,dist_ema20_atr>0.32355806&dist_prior_day_high<=0.44622892&loc_prev_week_range_pos_48>0.02608712&zscore_price_50>0.15909089,*,0.0011387063617197175,0.0011387063617197175,0.0005533395610029014,0.020266407479842503,0.11220322886989553,0.014194751464501196,1.0,1.0,0.5801169590643275,656,,,0.011907744138744592,0.0029855866636470264,0.0033701489151739586,0.01656110400205684,,1.0,-0.016318885013790318,-0.6727662524761017,0.6666666666666666,0.03538714892392709,-0.12941198895655723,7.6903884017191935,0.000534020649218889,0.0008712852166612217,0.0211049187049625,6.101085342969965,0.999329299739067,0.43739104201248236,0.9663324270940141,0.999329299739067,0.01,0.009645760842097471,0.009645760842097471,9.014738161622066e-05,0.0010485589801034968,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,-0.016318885013790318,-0.12941198895655723,0.02706918740580851,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011387063617197175, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0010485589801034968, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 656, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0211049187049625, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8035604605524139,False,False,0.1,7.769604151279596,short,0
(*)|(dist_rolling_7d_high>0.32355806&loc_pivot_ladder_pos_48<=0.85434139&loc_pullback_depth_24<=0.45889458)|(volume_autocorr_48<=0.57311702),*,dist_rolling_7d_high>0.32355806&loc_pivot_ladder_pos_48<=0.85434139&loc_pullback_depth_24<=0.45889458,volume_autocorr_48<=0.57311702,0.0010916402873893578,0.0010916402873893578,0.0006445604720353317,0.02006430986026923,0.12250712250712252,0.013634098528277037,1.0,1.0,0.5964497041420118,729,,,0.011626189649010013,0.0008927418082512366,0.004823846427038464,0.018958465878783012,,0.6666666666666666,-0.009503469680629652,-0.45518875387346813,0.6666666666666666,-0.03204563673338274,-0.12259657362339653,8.052000761288115,0.05100324122514055,0.0002396277787971473,0.021105394265383527,6.101167621979606,0.999329299739067,0.43740007599176783,0.9663342427143624,0.999329299739067,0.01,0.005399443640227416,0.005399443640227416,9.000559299437504e-05,0.0010016346943949829,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,-0.009503469680629652,-0.12259657362339653,0.033600195175791825,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0010916402873893578, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0010016346943949829, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 729, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.021105394265383527, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8392739490501498,False,False,0.1,7.7279226950905,short,0
(*)|(loc_pivot_ladder_pos_24>0.67567605&loc_pullback_depth_24>0.54233098&loc_session_pos_24<=0.81621879)|(true_range_percentile>0.49602932),*,loc_pivot_ladder_pos_24>0.67567605&loc_pullback_depth_24>0.54233098&loc_session_pos_24<=0.81621879,true_range_percentile>0.49602932,0.0010407072647164266,0.0010407072647164266,0.0024548715824786083,0.02228337402145068,0.10408357075023743,0.006573662075528762,1.0,1.0,0.565680473372781,675,,,0.029121837162054687,0.0024680041368721553,0.048428832907739264,0.0654291680600795,,0.6666666666666666,0.002681805569007499,0.8483893073723139,0.5,-0.041127894215925276,-0.150956368854187,0.6084011371968521,0.20071319082135725,0.0020101850328811456,0.04889082247067109,12.0,0.999329299739067,0.979786556768736,0.999329299739067,0.999329299739067,0.01,0.018658522881972707,0.018658522881972707,9.03937473113043e-05,0.0009503135174051223,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.002681805569007499,-0.150956368854187,-0.01434746763494991,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0010407072647164266, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0009503135174051223, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 675, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.04889082247067109, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.801602669504371,False,False,0.1,17.89812824039199,short,0
(*)|(dist_prior_day_low<=0.79591775&loc_pullback_depth_24<=0.79140031)|(bollinger_band_width>0.00000000000000000000000000000000001&range_expansion_ratio>0.65384638),*,dist_prior_day_low<=0.79591775&loc_pullback_depth_24<=0.79140031,bollinger_band_width>0.00000000000000000000000000000000001&range_expansion_ratio>0.65384638,0.000974180099243919,0.000974180099243919,0.0022936975513224043,0.02168719160060088,0.10498575498575498,0.01102371452896478,1.0,1.0,0.5580838323353293,674,,,0.026445835494173897,0.0026704514359790696,0.04052230040296074,0.05725945200676215,,0.6666666666666666,0.04338433158609169,1.970050780491962,1.0,-0.03125457682590226,-0.1102538428371028,1.4951106636900042,0.03879060663033451,0.0025961596816902444,0.02253927435780485,12.0,0.999329299739067,0.451693731034023,0.999329299739067,0.999329299739067,0.01,0.015853872876209228,0.015853872876209228,9.036051300314121e-05,0.0008838195862407778,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.04338433158609169,-0.1102538428371028,0.02659094730060089,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000974180099243919, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0008838195862407778, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 674, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.02253927435780485, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.7679003054321879,False,False,0.1,11.85026995115933,short,0
(*)|(dist_rolling_7d_high<=0.85818255)|(trend_acceleration<=0.75807846&volume_autocorr_48>0.37950981&volume_trend_48>0.60259271),*,dist_rolling_7d_high<=0.85818255,trend_acceleration<=0.75807846&volume_autocorr_48>0.37950981&volume_trend_48>0.60259271,0.0008822936797514558,0.0008822936797514558,0.001897479903490678,0.022534885133306187,0.12041785375118708,0.013093192479952932,1.0,1.0,0.5552884615384616,765,,,0.028453338066702066,0.009310734614673438,0.03979207004934604,0.05326530751005268,,0.6666666666666666,0.054091743205739326,1.8366075728296438,1.0,0.038046351426165574,-0.09954643121745516,1.966146977158699,0.07762745686623741,0.02020194790949582,0.022287617596272336,12.0,0.999329299739067,0.4466504550282363,0.999329299739067,0.999329299739067,0.01,0.0393910778940784,0.0393910778940784,9.001889645782096e-05,0.0007922747832936349,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.054091743205739326,-0.09954643121745516,0.003948630547589242,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008822936797514558, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007922747832936349, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 765, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.022287617596272336, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8997808031653433,False,False,0.1,11.019729363842647,short,0
(*)|(dist_ema200_atr<=0.71065772&loc_range_pos_24>0.45098031)|(tail_asymmetry_q90_q10_atr_norm<=0.58139539&variance_ratio_10_48<=0.81579018),*,dist_ema200_atr<=0.71065772&loc_range_pos_24>0.45098031,tail_asymmetry_q90_q10_atr_norm<=0.58139539&variance_ratio_10_48<=0.81579018,0.0008593787885426233,0.0008593787885426233,0.0006704407102101573,0.020425576716661453,0.1117283950617284,0.015941409250722648,1.0,1.0,0.5674362089914945,645,,,0.009721331081677593,0.0015549981285414415,0.015165047242229475,0.020609522115089686,,0.6666666666666666,0.025110719920706976,3.7183160508667625,1.0,0.04964417177626679,-0.08798238402205989,-3.112181322118802,0.01597723140213001,0.01779074306741748,0.021187630434389742,6.1023066691757295,0.999329299739067,0.43909296808984893,0.9663593677600771,0.999329299739067,0.01,0.03654679374317385,0.03654679374317385,9.01585219478738e-05,0.0007692202665947495,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.025110719920706976,-0.08798238402205989,0.057875738696601196,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008593787885426233, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007692202665947495, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 645, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.021187630434389742, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8700994974063399,False,False,0.1,8.473711472084595,short,0
(*)|(dist_ema200_atr>0.40350848&dist_vwap_atr>0.030303042)|(ema50_slope<=0.84244311&range_expansion_ratio<=0.56000024&up_down_semivol_ratio_tanh<=0.67536741),*,dist_ema200_atr>0.40350848&dist_vwap_atr>0.030303042,ema50_slope<=0.84244311&range_expansion_ratio<=0.56000024&up_down_semivol_ratio_tanh<=0.67536741,0.0008335288633437207,0.0008335288633437207,0.00048193200399286677,0.020281154041488964,0.1368945868945869,0.017958890076453588,1.0,1.0,0.5728155339805825,796,,,0.012388987515067265,0.005449205126295063,0.01437726037979642,0.020322906336204045,,0.6666666666666666,0.007123447593341094,0.503620514316701,0.6666666666666666,-0.03273650591556216,-0.10596965634942579,-0.15248090196752176,0.2872888563922361,0.0020902959847652787,0.02116072194932056,6.102246614313455,0.999329299739067,0.4385359169281592,0.9663580435333081,0.999329299739067,0.01,0.013914974202597446,0.013914974202597446,9.006366653882679e-05,0.0007434651968048939,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.007123447593341094,-0.10596965634942579,0.0470730299210483,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008335288633437207, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007434651968048939, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 796, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.02116072194932056, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.834223131687929,False,False,0.1,8.243043870965185,short,0
(*)|(dist_ema20_atr<=0.85062391&dist_prior_day_high<=0.57311702&loc_initial_balance_pos_24<=0.5686745&loc_initial_balance_pos_24>0.40755844)|(volatility_ratio_short_long>0.32355806&volume_zscore_48h<=0.56000024),*,dist_ema20_atr<=0.85062391&dist_prior_day_high<=0.57311702&loc_initial_balance_pos_24<=0.5686745&loc_initial_balance_pos_24>0.40755844,volatility_ratio_short_long>0.32355806&volume_zscore_48h<=0.56000024,0.0008046513636751721,0.0008046513636751721,0.0004414358498165481,0.020388585825761158,0.13285849952516618,0.01776398906014228,1.0,1.0,0.5598548972188634,770,,,0.011798232899746108,0.0039193310245052935,0.011771538012445428,0.01966378733133658,,0.6666666666666666,0.0010297956880847166,0.09446170705111495,0.6666666666666666,-0.03622284790027911,-0.11206330825468218,-0.09198408086629183,0.12393884570222256,0.001422839527057186,0.021158878252909536,6.102246614313455,0.999329299739067,0.43849770806656735,0.9663580435333081,0.999329299739067,0.01,0.011640587384959334,0.011640587384959334,9.002779020665418e-05,0.000714623573468518,3,1,1,6,6,stage_a_context,,short,6-way,True,,production,0.0010297956880847166,-0.11206330825468218,0.048577061387003205,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008046513636751721, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000714623573468518, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 770, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.021158878252909536, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8501900335552147,False,False,0.1,8.292089396768766,short,0
(*)|(dist_prior_day_high>0.44622892&loc_range_pos_24<=0.57311702&zscore_price_50<=0.85434139)|(rolling_range_20<=0.56451678&volume_percentile<=0.58139539),*,dist_prior_day_high>0.44622892&loc_range_pos_24<=0.57311702&zscore_price_50<=0.85434139,rolling_range_20<=0.56451678&volume_percentile<=0.58139539,0.0007554621455104401,0.0007554621455104401,0.0006755101973323907,0.020332779735326767,0.10261158594491927,0.013339872531678953,1.0,1.0,0.5499398315282792,596,,,0.007016735970337467,0.00045937442549922117,0.013910135511350837,0.0170207972856824,,0.6666666666666666,0.030452525001341418,2.429033084554886,1.0,0.035072560154453765,-0.08264057894142547,-1.7263587055480436,0.0013472233228470892,0.012798852967250538,0.02117039950821036,6.102286650756967,0.999329299739067,0.43873607435936446,0.9663589263539507,0.999329299739067,0.01,0.031043874632745376,0.031043874632745376,9.045111697551156e-05,0.0006650110285349285,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.030452525001341418,-0.08264057894142547,0.06470962028208198,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007554621455104401, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006650110285349285, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 596, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.02117039950821036, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8056423416622415,False,False,0.1,8.316354882060303,short,0
(*)|(dist_weekly_vwap>0.45098031&loc_pullback_depth_48<=0.81962955)|(compression_ratio<=0.87800711&ema50_slope>0.59375131&variance_ratio_10_48>0.68367392),*,dist_weekly_vwap>0.45098031&loc_pullback_depth_48<=0.81962955,compression_ratio<=0.87800711&ema50_slope>0.59375131&variance_ratio_10_48>0.68367392,0.0006842370688294371,0.0006842370688294371,0.002689098903031701,0.022764559214313824,0.10104463437796772,0.00513918489739751,1.0,1.0,0.5760095011876485,663,,,0.023831903725701254,-0.0022559608974955236,0.044158977838326424,0.06008330540521061,,0.6666666666666666,0.013686871731866238,6.609781378831063,1.0,-0.03199884681254647,-0.13995130269132824,0.7752053381819272,0.12456082777535628,0.0027824159996142433,0.04958057319438249,12.0,0.999329299739067,0.9936093654772485,0.999329299739067,0.999329299739067,0.01,0.020946763618129652,0.020946763618129652,9.051647358787672e-05,0.0005937205952415604,3,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.013686871731866238,-0.13995130269132824,-0.03394217168599815,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006842370688294371, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005937205952415604, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 663, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.04958057319438249, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.8243842703569368,False,False,0.1,17.002325885557433,short,0
