side,source_horizon,canonical_key,rejected,reason
short,0,(*)|(dist_ema20_atr>0.099052303&loc_session_pos_24<=0.45833355)|(bars_outside_ema20_atr_band_log_norm>0.37106609&compression_ratio>0.12783279&compression_score>0.096521437&ema20_slope_5h<=0.44585195),True,support_out_of_range
short,0,(*)|(dist_prior_day_low>0.25000006&loc_bb_channel_pos_24>0.21153839&loc_prev_day_range_pos_24<=0.82775432)|(atr_percentile<=0.36604211&compression_score>0.084415287),True,top_n_cutoff
short,0,(*)|(loc_prev_week_range_pos_48>0.068521388&loc_session_pos_24>0.30487847&zscore_price_50>0.12500028)|(atr_compression_ratio>0.31250077&range_expansion_ratio<=0.42924771&volume_percentile<=0.47008544),True,support_out_of_range
short,0,(*)|(dist_ema200_atr>0.068521388&dist_range_mid_atr<=0.39540213&loc_pullback_depth_48<=0.47008544&loc_pullback_depth_48>0.075471841&loc_range_pos_48>0.29716089)|(ema50_slope>0.11565609),True,support_out_of_range
short,0,(*)|(dist_ema20_atr<=0.44925675&loc_pullback_depth_24>0.36604211&loc_range_pos_24>0.084415287&pullback_depth>0.37916151)|(*),True,support_out_of_range
short,0,(*)|(dist_ema20_atr>0.087719262&dist_vwap_atr<=0.8611111&dist_weekly_vwap<=0.71052659)|(choppiness_index_20>0.11178311&range_expansion_ratio<=0.42524695&range_expansion_ratio>0.32372007),True,support_out_of_range
short,0,(*)|(dist_ema200_atr<=0.48194766&loc_bb_channel_pos_24<=0.42924771&loc_pivot_ladder_pos_48<=0.9192583)|(ema50_slope>0.094234794&prior_range>0.33333406),True,support_out_of_range
short,0,(*)|(dist_ema200_atr<=0.55818582&dist_weekly_vwap>0.36604211&distance_to_ema<=0.46131355&distance_to_ema>0.37916151&loc_swing_range_pos_48>0.12500028)|(*),True,support_out_of_range
short,0,(*)|(dist_local_swing<=0.73333335&loc_range_pos_48<=0.4504317)|(ema50_slope>0.090654865&volume_percentile>0.37837893),True,support_out_of_range
short,0,(*)|(dist_ema200_atr>0.34922451&dist_prior_day_low<=0.94844544&loc_prev_day_range_pos_48>0.33523908&loc_pullback_depth_24<=0.4504317&loc_session_pos_24>0.12500022)|(volume_autocorr_48>0.35832033),True,support_out_of_range
short,0,(*)|(dist_ema20_atr>0.17601106&dist_rolling_7d_high<=0.5315389&dist_weekly_vwap<=0.43919334&loc_prev_day_range_pos_48>0.32372007&loc_range_pos_48<=0.76560557&loc_session_pos_48>0.11565609)|(*),True,support_out_of_range
short,0,(*)|(dist_ema50_atr<=0.41860443&dist_ma100_atr>0.093407013&dist_weekly_vwap<=0.69736868&loc_ema_stack_pos_48>0.00000000000000000000000000000000001&loc_vwap_dev_z_24<=0.75807846)|(compression_ratio>0.25456941),True,top_n_cutoff
short,0,(*)|(dist_vwap_atr>0.12500022&loc_prev_day_range_pos_24>0.00000000000000000000000000000000001&loc_prior_bar_pos_24<=0.92993605&loc_pullback_depth_48>0.13461477)|(compression_ratio>0.25456941&compression_score<=0.41860443),True,top_n_cutoff
short,0,(*)|(dist_weekly_vwap>0.19439818&loc_bb_channel_pos_48>0.093407013&loc_range_pos_48<=0.43106475)|(ema20_slope_5h>0.083969548&true_range_percentile<=0.99195188&up_down_semivol_ratio_tanh>0.25000039),True,top_n_cutoff
short,0,(*)|(loc_bb_channel_pos_48<=0.52336407&loc_ema_stack_pos_24<=0.50000012&zscore_price_50>0.11565609)|(atr_percentile<=0.39540213&atr_percentile>0.28571454&variance_ratio_10_48>0.2714282),True,support_out_of_range
short,0,(*)|(dist_weekly_vwap>0.28954196&loc_range_pos_48<=0.36226344&loc_vwap_dev_z_24>0.23261604)|(volume_autocorr_48>0.094234794),True,support_out_of_range
short,0,(*)|(dist_local_swing<=0.82456112&dist_vwap_atr<=0.54008526&loc_session_pos_24>0.084415287&loc_session_pos_48<=0.36604211&zscore_price_50<=0.63076895)|(efficiency_ratio_20>0.24659853),False,
short,0,(*)|(dist_vwap_atr>0.31250077&loc_vwap_dev_z_24<=0.51020539&zscore_price_50<=0.71658123&zscore_price_50>0.10275768)|(range_expansion_ratio<=0.93868577&volatility_ratio_short_long<=0.63076895),True,low_stability_floor
short,0,(*)|(loc_bb_channel_pos_48>0.24659853&loc_vwap_dev_z_48<=0.42524695)|(atr_compression_ratio<=0.39071482&atr_compression_ratio>0.22865631&volume_zscore_48h<=0.83552921),True,top_n_cutoff
short,0,(*)|(distance_to_ema<=0.48728499&distance_to_ema>0.32926908&pullback_depth>0.00000000000000000000000000000000001)|(choppiness_index_20>0.32537976&tail_asymmetry_q90_q10_atr_norm>0.090654865&trend_acceleration<=0.86745226),False,
short,0,(*)|(dist_weekly_vwap<=0.48345688&loc_vwap_dev_z_48>0.090654865&pullback_depth>0.31000057)|(bars_outside_ema20_atr_band_log_norm<=0.77151698&choppiness_index_20>0.3214283&volume_trend_48>0.29032269),False,
short,0,(*)|(pullback_depth>0.12500028)|(choppiness_index_20<=0.86469615&ema_slope_norm<=0.50538874&up_down_semivol_ratio_tanh<=0.48194766&volume_percentile>0.32791349),True,top_n_cutoff
short,0,(*)|(dist_rolling_7d_high>0.00000000000000000000000000000000001&loc_prev_week_range_pos_48>0.30044261&loc_swing_range_pos_24<=0.49418417)|(bars_outside_ema20_atr_band_log_norm>0.087719262&efficiency_ratio_20<=0.50538874&trend_acceleration>0.31612211),True,top_n_cutoff
short,0,(*)|(dist_range_mid_atr>0.24999981&loc_pivot_ladder_pos_24>0.21680845)|(ema50_slope>0.00000000000000000000000000000000001&range_expansion_ratio<=0.37837893&variance_ratio_10_48>0.093407013),False,
short,0,(*)|(bars_in_high_vol_state_log_norm<=0.52336407&bars_in_high_vol_state_log_norm>0.30044261&loc_bb_channel_pos_48>0.094234794&loc_initial_balance_pos_48>0.072275288&loc_swing_range_pos_24<=0.38709623)|(volume_autocorr_48<=0.38359699),True,support_out_of_range
short,0,(*)|(dist_local_swing<=0.73333335&loc_range_pos_48<=0.4504317)|(ema50_slope>0.22368474&volume_percentile<=0.36683238),True,top_n_cutoff
short,0,(*)|(dist_ema20_atr>0.087719262&dist_local_swing<=0.79411662&dist_vwap_atr<=0.8611111&dist_weekly_vwap>0.71052659)|(*),True,support_out_of_range
short,0,(*)|(loc_session_pos_48>0.12500022)|(bars_outside_ema20_atr_band_log_norm>0.00000000000000000000000000000000001&prior_range>0.25000039&rolling_range_20<=0.36683238&up_down_return_mass_ratio_tanh<=0.34375051),True,support_out_of_range
short,0,(*)|(*)|(prior_range<=0.37916151&prior_range>0.094234794&up_down_return_mass_ratio_tanh>0.2714282),True,support_out_of_range
short,0,(*)|(loc_prior_bar_pos_48<=0.73333335&loc_session_pos_48>0.35832033)|(atr_compression_ratio>0.35402548&prior_volatility<=0.49999937&return_autocorr_48>0.1116887),False,
short,0,(*)|(bars_in_high_vol_state_log_norm>0.28224817&loc_pivot_ladder_pos_24>0.11565609)|(tail_asymmetry_q90_q10_atr_norm<=0.35353526&true_range_percentile>0.10275768&up_down_return_mass_ratio_tanh<=0.36604211),True,support_out_of_range
short,0,(*)|(loc_range_pos_48>0.36226344)|(choppiness_index_20<=0.51851887&prior_range<=0.48576641&volume_autocorr_48>0.094234794),True,support_out_of_range
short,0,(*)|(dist_prior_day_low>0.42524695&loc_bb_channel_pos_24<=0.52741516&loc_prev_day_range_pos_24<=0.82775432)|(atr_percentile>0.36604211&compression_score>0.084415287),True,support_out_of_range
short,0,(*)|(dist_local_swing<=0.82456112&dist_vwap_atr<=0.54008526&loc_session_pos_24>0.084415287&loc_session_pos_48>0.37916151&zscore_price_50<=0.63076895)|(*),True,low_path_quality_floor
short,0,(*)|(dist_ema20_atr>0.17601106&dist_rolling_7d_high<=0.5315389&dist_weekly_vwap>0.43919334&loc_range_pos_48<=0.76560557&loc_session_pos_48>0.11565609)|(*),True,support_out_of_range
short,0,(*)|(dist_local_swing>0.23261604&dist_weekly_vwap<=0.36604211&loc_swing_range_pos_48>0.12500028)|(compression_score<=0.34285706),True,high_tail_risk_top_decile
short,0,(*)|(loc_prev_day_range_pos_48>0.22527386)|(ema50_slope>0.094234794&prior_range<=0.33333406),False,
short,0,(*)|(dist_range_mid_atr<=0.48728499&loc_prior_bar_pos_24<=0.93877554)|(ema50_slope<=0.85605496&ema50_slope>0.00000000000000000000000000000000001&range_expansion_ratio>0.37837893&variance_ratio_10_48>0.093407013),True,support_out_of_range
short,0,(*)|(loc_prev_week_range_pos_24<=0.43106475&loc_prev_week_range_pos_24>0.016001292)|(up_down_semivol_ratio_tanh<=0.37837893&up_down_semivol_ratio_tanh>0.21680845),True,top_n_cutoff
short,0,(*)|(dist_range_mid_atr<=0.53443658&loc_initial_balance_pos_24>0.2772049&loc_range_pos_24>0.10231635)|(ema50_slope>0.045050297&tail_asymmetry_q90_q10_atr_norm>0.037529252&up_down_return_mass_ratio_tanh<=0.48235664),True,top_n_cutoff
short,0,(*)|(*)|(bars_since_ema20_ema50_cross_log_norm<=0.48728499&bars_since_ema20_ema50_cross_log_norm>0.36258981&realized_volatility_24h<=0.7499997&trend_acceleration>0.1086959&up_down_semivol_ratio_tanh<=0.72881329&variance_ratio_10_48>0.34375051),True,support_out_of_range
short,0,(*)|(loc_ema_stack_pos_48>0.23160781&loc_prev_week_range_pos_24<=0.33954948)|(*),True,top_n_cutoff
short,0,(*)|(loc_range_pos_24>0.36226344&loc_swing_range_pos_48<=0.9436357)|(prior_volatility>0.11565609&range_expansion_ratio>0.081378169&variance_ratio_10_48<=0.52741516&volatility_ratio_short_long>0.42105201),True,support_out_of_range
short,0,(*)|(loc_bb_channel_pos_48<=0.52336407&loc_ema_stack_pos_24<=0.50000012&zscore_price_50>0.11565609)|(atr_percentile>0.39540213&variance_ratio_10_48>0.2714282),True,support_out_of_range
short,0,(*)|(dist_prior_day_low>0.2685419)|(realized_volatility_24h<=0.7499997&trend_acceleration>0.1086959&up_down_semivol_ratio_tanh<=0.72881329&variance_ratio_10_48<=0.34375051),True,support_out_of_range
short,0,(*)|(dist_ma100_atr>0.36604211&dist_weekly_vwap>0.094234794)|(ema20_slope_5h<=0.54008526&ema50_slope>0.2714282),True,top_n_cutoff
short,0,(*)|(dist_ema200_atr>0.081077687&loc_range_pos_24<=0.63366377&zscore_price_200>0.47916645)|(rolling_range_20<=0.56470573&volatility_ratio_short_long>0.35832033),True,support_out_of_range
short,0,(*)|(dist_ema20_atr>0.33117512&dist_local_swing>0.081378169&dist_rolling_7d_high<=0.56249982&dist_weekly_vwap<=0.9052633&pullback_depth>0.38359699&zscore_price_200<=0.85378736)|(*),True,low_path_quality_floor
short,0,(*)|(dist_rolling_7d_high<=0.36604211&loc_swing_range_pos_24>0.27472517&loc_vwap_dev_z_48>0.094234794)|(variance_ratio_10_48<=0.34285706),True,support_out_of_range
short,0,(*)|(dist_ema20_atr<=0.33117512&dist_local_swing>0.081378169&loc_swing_range_pos_48>0.22865631)|(bars_since_ema20_ema50_cross_log_norm<=0.31967226),True,support_out_of_range
short,0,(*)|(dist_weekly_vwap<=0.28954196&loc_range_pos_48<=0.36226344&loc_vwap_dev_z_24>0.23261604)|(volume_autocorr_48>0.094234794),True,support_out_of_range
short,0,(*)|(bars_in_high_vol_state_log_norm<=0.5441364&dist_prior_day_low>0.38359699&dist_rolling_7d_high>0.36604211&loc_prev_week_range_pos_48<=0.93868577&loc_vwap_dev_z_48>0.094234794)|(true_range_percentile<=0.54828864),True,low_path_quality_floor
short,0,(*)|(loc_swing_range_pos_48<=0.48194766)|(prior_range>0.36604211&realized_volatility_24h>0.33117512&volume_trend_48>0.078516796),True,support_out_of_range
short,0,(*)|(dist_rolling_7d_high>0.00000000000000000000000000000000001&loc_prev_week_range_pos_48<=0.30044261&loc_prior_bar_pos_24>0.23261604)|(bars_outside_ema20_atr_band_log_norm>0.087719262&prior_volatility>0.16129011),True,support_out_of_range
short,0,(*)|(dist_local_swing<=0.82456112&dist_rolling_7d_high<=0.72886467&dist_rolling_7d_high>0.65724289&loc_session_pos_24>0.084415287&zscore_price_50>0.63076895)|(realized_volatility_24h<=0.77000052),True,support_out_of_range
short,0,(*)|(loc_prev_day_range_pos_48>0.24659853&pullback_depth>0.12500028)|(volume_percentile<=0.32791349),True,support_out_of_range
short,0,(*)|(dist_ema200_atr>0.068521388&dist_range_mid_atr>0.39540213&loc_pullback_depth_48<=0.47008544&loc_pullback_depth_48>0.075471841&loc_range_pos_48>0.29716089)|(ema50_slope>0.11565609),True,support_out_of_range
short,0,(*)|(dist_ema200_atr<=0.47540998&dist_ema200_atr>0.38649982&zscore_price_200<=0.47916645)|(volatility_ratio_short_long>0.35832033),True,support_out_of_range
short,0,(*)|(dist_ema200_atr>0.081077687&loc_initial_balance_pos_24<=0.34375051)|(true_range_percentile>0.19439818&volatility_ratio_short_long<=0.35832033),True,low_path_quality_floor
short,0,(*)|(loc_range_pos_24<=0.36226344&pullback_depth>0.18935478)|(prior_volatility>0.11565609&range_expansion_ratio>0.081378169),True,top_n_cutoff
short,0,(*)|(loc_bb_channel_pos_24>0.42524695&loc_pivot_ladder_pos_24>0.11565609&loc_prev_week_range_pos_48<=0.56742841)|(true_range_percentile>0.10275768&up_down_return_mass_ratio_tanh>0.36604211),True,low_stability_floor
short,0,(*)|(loc_bb_channel_pos_24<=0.27578166&loc_vwap_dev_z_48>0.090654865&pullback_depth>0.22368474)|(bars_outside_ema20_atr_band_log_norm<=0.77151698&volume_trend_48<=0.29032269),True,support_out_of_range
short,0,(*)|(loc_prior_bar_pos_24<=0.2714282)|(compression_score<=0.33333406&prior_range>0.13457648&tail_asymmetry_q90_q10_atr_norm>0.20512807),True,support_out_of_range
short,0,(*)|(dist_prior_day_low<=0.3383486&loc_pullback_depth_24<=0.36604211&loc_range_pos_24>0.084415287&loc_session_pos_24<=0.34814528)|(range_expansion_ratio>0.28224817),True,support_out_of_range
short,0,(*)|(loc_prev_week_range_pos_24>0.36604211)|(compression_score>0.33333406&prior_range>0.13457648&variance_ratio_10_48<=0.50538874&volume_autocorr_48<=0.83928567),True,top_n_cutoff
