canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,is_too_narrow,is_too_broad,comp_bonus,cheap_rank,step1_bucket_side,step1_bucket_horizon
(*)|(dist_vwap_atr<=0.67536741&dist_weekly_vwap>0.48387089&loc_pivot_ladder_pos_48>0.53416175)|(choppiness_index_20>0.087976687&volume_zscore_48h<=0.95617878),*,dist_vwap_atr<=0.67536741&dist_weekly_vwap>0.48387089&loc_pivot_ladder_pos_48>0.53416175,choppiness_index_20>0.087976687&volume_zscore_48h<=0.95617878,-0.00016953887340302268,0.00016953887340302268,0.0011713327428083636,0.023377725233634312,0.1141025641025641,0.017180455718659567,1.0,1.0,0.6152912621359223,676,,,-0.01213409440813954,-0.022365738952467826,-0.003017846317784744,0.002655674181366149,,0.3333333333333333,0.02965433524146231,1.7168069241564674,1.0,0.0622063186827003,-0.023006075360782318,7.847963026290226,0.006516290769134104,0.016111690321213755,7.722999217154181e-05,2.31534865052098,0.9877753795162739,0.01,0.332493957007521,0.01,0.09405979514122009,0.00424115816228541,0.00424115816228541,9.010687869822487e-05,-0.00025964575210124757,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.02965433524146231,-0.023006075360782318,-0.016541085359934666,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00016953887340302268, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 7.943199470479781e-05, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 676, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 7.722999217154181e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.6917503750244277,False,False,0.1,5.512840433839545,long,0
(*)|(loc_prev_day_range_pos_24>0.2209297&loc_session_pos_24>0.27634379)|(ema_slope_norm>0.56470585&return_autocorr_48>0.08276841&variance_ratio_10_48<=0.7124244),*,loc_prev_day_range_pos_24>0.2209297&loc_session_pos_24>0.27634379,ema_slope_norm>0.56470585&return_autocorr_48>0.08276841&variance_ratio_10_48<=0.7124244,-0.00025954318698495626,0.00025954318698495626,0.0010707783214508626,0.022643815726041794,0.11657169990503324,0.01879562319817494,1.0,1.0,0.6009501187648456,694,,,-0.010538705639135242,-0.023220293748927118,-0.012154636635193887,0.0013349169726273088,,0.3333333333333333,-0.015083914461950789,-0.5937991128992264,0.6666666666666666,-0.04660792076440679,-0.06774432506419541,-0.17267367897194807,0.05487645136046538,0.00020741077637862035,5.96867703841268e-05,2.4595218879176,0.9877278815723367,0.01,0.25665600005678646,0.01,0.0941779725253582,0.0005708343224284326,0.0005708343224284326,9.006393261824173e-05,-0.000349607119603198,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,-0.015083914461950789,-0.06774432506419541,-0.012653363332681225,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00025954318698495626, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00016947925436671454, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 694, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 5.96867703841268e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.6824706783544233,False,False,0.1,4.775300370991138,long,0
(*)|(loc_range_pos_24<=0.68818676&zscore_price_50>0.5256409)|(compression_ratio<=0.99171805&true_range_percentile<=0.82661408&true_range_percentile>0.082229048),*,loc_range_pos_24<=0.68818676&zscore_price_50>0.5256409,compression_ratio<=0.99171805&true_range_percentile<=0.82661408&true_range_percentile>0.082229048,-0.00036424545881648857,0.00036424545881648857,0.0009321518186461219,0.02297171267370383,0.1305318138651472,0.018468898872356528,1.0,1.0,0.5798319327731093,783,,,-0.013606085278068709,-0.023390759748896994,-0.0025448702679504993,0.0017091966978186792,,0.3333333333333333,0.014963970512875485,0.561918858149325,0.6666666666666666,0.025047479966716645,-0.03769644008936914,5.51645729595339,0.02543645640420475,0.011574846595053541,7.705634702088231e-05,2.333136381426585,0.9879359918415307,0.01,0.33002039046208387,0.01,0.09453634917736053,0.00391554086369595,0.00391554086369595,9.00137704340874e-05,-0.000454259229250576,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.014963970512875485,-0.03769644008936914,0.00015606544115668677,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00036424545881648857, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00027423168838240115, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 783, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 7.705634702088231e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.6925919028088279,False,False,0.1,6.216310545280607,long,0
(*)|(dist_ma100_atr>0.0797427&dist_prior_day_low<=0.77947015&loc_prev_week_range_pos_24<=0.67999971&loc_pullback_depth_48>0.52502537)|(*),*,dist_ma100_atr>0.0797427&dist_prior_day_low<=0.77947015&loc_prev_week_range_pos_24<=0.67999971&loc_pullback_depth_48>0.52502537,*,-0.00040299926574031514,0.00040299926574031514,0.0009158654500190306,0.02294621616601944,0.1258784425451092,0.017983480307994522,1.0,1.0,0.5876662636033857,750,,,-0.014518317841072608,-0.023986940258124083,-0.003680235686605542,0.0003693456532123957,,0.3333333333333333,0.012746189236272507,0.767213700020272,0.6666666666666666,0.018779008690328204,-0.03991422136597212,4.412547871523269,0.020955093653224507,0.011067155883169979,7.906352086598898e-05,2.340876962944854,0.9884008982170878,0.01,0.3401723277868542,0.01,0.09405979514122009,0.003915208545619218,0.003915208545619218,9.000034724758728e-05,-0.0004929996129879024,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.012746189236272507,-0.03991422136597212,-0.005911925999530314,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00040299926574031514, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0003129989184927278, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 750, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 7.906352086598898e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.7261508627139883,False,False,0.1,6.003401026046631,long,0
(*)|(loc_initial_balance_pos_48<=0.7124244&loc_prev_week_range_pos_48>0.08276841)|(return_autocorr_48>0.51204324&volatility_ratio_short_long<=0.65417528&volatility_ratio_short_long>0.35531759),*,loc_initial_balance_pos_48<=0.7124244&loc_prev_week_range_pos_48>0.08276841,return_autocorr_48>0.51204324&volatility_ratio_short_long<=0.65417528&volatility_ratio_short_long>0.35531759,-0.00041432035504840314,0.00041432035504840314,0.000388983246856093,0.023259586344162624,0.1134377967711301,0.013656075032214523,1.0,1.0,0.5971394517282479,685,,,-0.012300689122904452,-0.018469640783205607,-0.003248832093887943,-0.0016058089480950452,,0.3333333333333333,0.03343797896448164,1.8238354112420951,0.6666666666666666,0.09353193542995708,-0.019222431637762983,4.20366970777092,1.1734943891417864e-05,0.0090103726158587,8.981479275706677e-05,1.4545654732038298,0.9801379895634795,0.01,0.3982082343940003,0.01,0.09204716235399246,0.003746427499663571,0.003746427499663571,9.012031608915512e-05,-0.0005044406711375583,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.03343797896448164,-0.019222431637762983,-0.016087126133469336,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00041432035504840314, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000324200038959248, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 685, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 8.981479275706677e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.684005975412113,False,False,0.1,6.8177749911456775,long,0
(*)|(loc_prior_bar_pos_48>0.060452659)|(bars_since_ema20_ema50_cross_log_norm<=0.72626692&efficiency_ratio_20>0.54680187&return_autocorr_48<=0.70329672&true_range_percentile>0.12820572&up_down_return_mass_ratio_tanh>0.27634379),*,loc_prior_bar_pos_48>0.060452659,bars_since_ema20_ema50_cross_log_norm<=0.72626692&efficiency_ratio_20>0.54680187&return_autocorr_48<=0.70329672&true_range_percentile>0.12820572&up_down_return_mass_ratio_tanh>0.27634379,-0.0005491359430986146,0.0005491359430986146,0.0010847348397259237,0.022576166316866875,0.12440645773979107,0.019887432138918144,1.0,1.0,0.5944645006016848,731,,,-0.017171287048000004,-0.030641432809839095,-0.016155538722446624,-0.0031932671233842243,,0.3333333333333333,0.006073811083932533,0.23526321452545287,0.6666666666666666,0.005372691634018268,-0.046586599518312094,5.089655052920318,0.182625866114321,0.008587392292450166,6.297699756033355e-05,2.2598274950058097,0.9862925543765344,0.01,0.2696807958944941,0.01,0.09470789134502411,0.00333063435567636,0.00333063435567636,9.000031706317321e-05,-0.0006391362601617877,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.006073811083932533,-0.046586599518312094,-0.00046527315570058886,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0005491359430986146, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.00045913562603544137, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 731, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 6.297699756033355e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.6325771511055336,False,False,0.1,5.313599869113176,long,0
(*)|(dist_local_swing>0.091277577&loc_pullback_depth_24<=0.85818255&loc_pullback_depth_24>0.71065772&loc_range_pos_24<=0.85434139&zscore_price_50<=0.90685469)|(volatility_ratio_short_long<=0.94092983),*,dist_local_swing>0.091277577&loc_pullback_depth_24<=0.85818255&loc_pullback_depth_24>0.71065772&loc_range_pos_24<=0.85434139&zscore_price_50<=0.90685469,volatility_ratio_short_long<=0.94092983,-0.0005904152834167083,0.0005904152834167083,0.002597510493485853,0.02317473292350769,0.10930674264007596,0.009549001148495943,1.0,1.0,0.6009334889148191,683,,,-0.022644921513460783,-0.06100457664513766,-0.046618847125034904,0.003727770812429039,,0.3333333333333333,0.029967972431675437,2.7489898537772723,1.0,0.09135311509568532,-0.02269243817056919,2.4172569728846818,0.16213719241342553,0.02526752004694202,8.581658201827963e-05,1.4350146147608447,0.9876253974422269,0.01,0.4175915413276755,0.01,0.08323141187429428,0.006070414374787498,0.006070414374787498,9.022165049390833e-05,-0.0006806369339106167,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.029967972431675437,-0.02269243817056919,-0.04951350223931783,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0005904152834167083, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005001936329228, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 683, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 8.581658201827963e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.7654904682451592,False,False,0.1,4.90136651474209,long,0
(*)|(loc_range_pos_24>0.68818676&zscore_price_50>0.5256409)|(compression_ratio<=0.99171805&true_range_percentile<=0.82661408&true_range_percentile>0.082229048),*,loc_range_pos_24>0.68818676&zscore_price_50>0.5256409,compression_ratio<=0.99171805&true_range_percentile<=0.82661408&true_range_percentile>0.082229048,-0.0006208621198311448,0.0006208621198311448,0.0027110402805639736,0.02282138851781686,0.10365622032288697,0.005935612532573697,1.0,1.0,0.5886442641946698,670,,,-0.022527884429089564,-0.06119664890223952,-0.047084267776782596,0.0038626883702138765,,0.3333333333333333,0.054592774029804704,4.374877365329099,1.0,0.11740879831185903,0.001932363427560084,3.3232703824340475,0.23211564969856147,0.3785144723057301,9.073091588171448e-05,1.5651352209720526,0.9863461039948217,0.01,0.44359271657247207,0.01,0.08294716477394104,0.020975781079928618,0.020975781079928618,9.041000123781463e-05,-0.0007112721210689594,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.054592774029804704,0.001932363427560084,-0.02697926006534453,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006208621198311448, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005304521185933302, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 670, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 9.073091588171448e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.692591989709912,False,False,0.1,5.954770595944468,long,0
(*)|(distance_to_ema>0.36749727&loc_ema_stack_pos_24>0.070016257&loc_prev_day_range_pos_48<=0.94594604&loc_swing_range_pos_24>0.4418605)|(ema50_slope<=0.71065772&prior_range<=0.59375131),*,distance_to_ema>0.36749727&loc_ema_stack_pos_24>0.070016257&loc_prev_day_range_pos_48<=0.94594604&loc_swing_range_pos_24>0.4418605,ema50_slope<=0.71065772&prior_range<=0.59375131,-0.000767082916960741,0.000767082916960741,0.0007088946557289526,0.020274009555578232,0.1301519468186135,0.019319493311225653,1.0,1.0,0.5815347721822542,740,,,-0.007828653431524703,-0.021772126000457213,-0.015754083786469066,0.00215210395993563,,0.3333333333333333,0.021411967845239025,1.004901096277854,0.6666666666666666,0.0847050501656856,-0.031248442757005602,0.4001265306692552,0.05504465206193617,0.01793768212459931,0.00013273650875650605,2.327373605870822,0.9799147464438372,0.01,0.5854534017949257,0.01,0.09254857897758484,0.006182187305886036,0.006182187305886036,9.001194415020983e-05,-0.0008570948611109509,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.021411967845239025,-0.031248442757005602,0.11128091298712277,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000767082916960741, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006770709728105312, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 740, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00013273650875650605, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.7049336671047547,False,False,0.1,9.662499965490342,long,0
(*)|(loc_initial_balance_pos_48<=0.7124244&loc_prev_week_range_pos_48>0.08276841)|(return_autocorr_48<=0.51204324&volatility_ratio_short_long<=0.65417528&volatility_ratio_short_long>0.35531759),*,loc_initial_balance_pos_48<=0.7124244&loc_prev_week_range_pos_48>0.08276841,return_autocorr_48<=0.51204324&volatility_ratio_short_long<=0.65417528&volatility_ratio_short_long>0.35531759,-0.0008265682651350895,0.0008265682651350895,0.0008109733799478621,0.01956283176938693,0.14150047483380815,0.01808699256138219,1.0,1.0,0.5820359281437125,837,,,-0.006429009919894438,-0.017423538276406546,-0.008461952140964303,0.003549047326082735,,0.3333333333333333,0.019189698505036965,1.796272563289136,1.0,0.0755379067041426,-0.033470712097207665,1.2849359522580466,0.292405739946467,0.023496144862836972,6.19050594922259e-05,0.938353638469299,0.8849476392497594,0.01,0.3029681793507654,0.01,0.09235736727714539,0.005397629059068858,0.005397629059068858,9.012251955138353e-05,-0.0009166907846864731,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.019189698505036965,-0.033470712097207665,0.10403026340411821,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008265682651350895, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000736445745583706, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 837, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 6.19050594922259e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,0.6840063551137308,False,False,0.1,5.018572265974924,long,0
