canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(loc_swing_range_pos_48>-0.41806707)|(range_expansion_ratio<=-0.28724885),fa1460708007,0,42,36,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,0
(*)|(loc_swing_range_pos_48>-0.41806707)|(range_expansion_ratio<=-0.28724885),fa1460708007,0,42,49,loc_swing_range_pos_48,location,loc_swing_range_pos_48,context,1
(*)|(dist_local_swing<=0.49999928&loc_prior_bar_pos_48<=-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),416e16c00e04,0,42,36,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,1
(*)|(dist_local_swing<=0.49999928&loc_prior_bar_pos_48<=-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),416e16c00e04,0,42,17,dist_local_swing,location,dist_local_swing,context,0
(*)|(dist_local_swing<=0.49999928&loc_prior_bar_pos_48<=-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),416e16c00e04,0,42,29,zscore_price_200,location,zscore_price_200,context,0
(*)|(dist_local_swing<=0.49999928&loc_prior_bar_pos_48<=-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),416e16c00e04,0,42,47,loc_swing_range_pos_24,location,loc_swing_range_pos_24,context,0
(*)|(dist_local_swing<=0.49999928&loc_prior_bar_pos_48<=-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),416e16c00e04,0,42,45,loc_prior_bar_pos_48,location,loc_prior_bar_pos_48,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,36,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,1
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,17,dist_local_swing,location,dist_local_swing,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,29,zscore_price_200,location,zscore_price_200,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,47,loc_swing_range_pos_24,location,loc_swing_range_pos_24,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,45,loc_prior_bar_pos_48,location,loc_prior_bar_pos_48,context,1
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low<=-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),2c313aec53a6,0,42,13,dist_prior_day_low,location,dist_prior_day_low,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,36,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,1
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,17,dist_local_swing,location,dist_local_swing,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,29,zscore_price_200,location,zscore_price_200,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,47,loc_swing_range_pos_24,location,loc_swing_range_pos_24,context,0
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,45,loc_prior_bar_pos_48,location,loc_prior_bar_pos_48,context,1
(*)|(dist_local_swing<=0.49999928&dist_prior_day_low>-0.14814775&loc_prior_bar_pos_48>-0.22569481&loc_swing_range_pos_24<=-0.039213423&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885),68bf06e7dbe8,0,42,13,dist_prior_day_low,location,dist_prior_day_low,context,1
(*)|(dist_local_swing<=0.49999928&loc_swing_range_pos_24>-0.039213423&loc_swing_range_pos_48<=0.020816293&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885&realized_volatility_24h<=0.14316666),3a91c9b6511a,0,42,36,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,1
(*)|(dist_local_swing<=0.49999928&loc_swing_range_pos_24>-0.039213423&loc_swing_range_pos_48<=0.020816293&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885&realized_volatility_24h<=0.14316666),3a91c9b6511a,0,42,38,realized_volatility_24h,regime,realized_volatility_24h,volatility,0
(*)|(dist_local_swing<=0.49999928&loc_swing_range_pos_24>-0.039213423&loc_swing_range_pos_48<=0.020816293&zscore_price_200<=0.1978015)|(range_expansion_ratio>-0.28724885&realized_volatility_24h<=0.14316666),3a91c9b6511a,0,42,17,dist_local_swing,location,dist_local_swing,context,0
