canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48<=-0.23729664),f198e58a8425,0,42,35,loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,1
(*)|(dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48<=-0.23729664),f198e58a8425,0,42,15,dist_rolling_7d_high,location,dist_rolling_7d_high,context,0
(*)|(dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48<=-0.23729664),f198e58a8425,0,42,40,return_autocorr_48,regime,return_autocorr_48,momentum,0
(*)|(dist_prior_day_high>-0.20791039&dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48>-0.23729664),8a35c0bd3edb,0,42,35,loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,1
(*)|(dist_prior_day_high>-0.20791039&dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48>-0.23729664),8a35c0bd3edb,0,42,15,dist_rolling_7d_high,location,dist_rolling_7d_high,context,0
(*)|(dist_prior_day_high>-0.20791039&dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48>-0.23729664),8a35c0bd3edb,0,42,11,dist_prior_day_high,location,dist_prior_day_high,context,1
(*)|(dist_prior_day_high>-0.20791039&dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48>-0.23729664),8a35c0bd3edb,0,42,40,return_autocorr_48,regime,return_autocorr_48,momentum,1
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),d39f3c22708b,0,42,35,loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,1
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),d39f3c22708b,0,42,15,dist_rolling_7d_high,location,dist_rolling_7d_high,context,1
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),d39f3c22708b,0,42,21,dist_ma100_atr,location,dist_ma100_atr,context,0
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),d39f3c22708b,0,42,1,dist_ema20_atr,location,dist_ema20_atr,context,0
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),d39f3c22708b,0,42,16,choppiness_index_20,regime,choppiness_index_20,path_structure,0
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),b6d82444c196,0,42,35,loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,1
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),b6d82444c196,0,42,15,dist_rolling_7d_high,location,dist_rolling_7d_high,context,1
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),b6d82444c196,0,42,21,dist_ma100_atr,location,dist_ma100_atr,context,0
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),b6d82444c196,0,42,1,dist_ema20_atr,location,dist_ema20_atr,context,1
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),b6d82444c196,0,42,37,loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,0
(*)|(*)|(atr_compression_ratio<=-0.10000223&atr_compression_ratio>-0.37127453&efficiency_ratio_20<=-0.28767142),0dc228ab713a,0,42,10,atr_compression_ratio,regime,atr_compression_ratio,volatility_term_structure,1
(*)|(*)|(atr_compression_ratio<=-0.10000223&atr_compression_ratio>-0.37127453&efficiency_ratio_20<=-0.28767142),0dc228ab713a,0,42,24,efficiency_ratio_20,regime,efficiency_ratio_20,path_structure,0
(*)|(dist_ma100_atr<=-0.22875781)|(atr_compression_ratio<=-0.10000223&bars_since_ema20_ema50_cross_log_norm>-0.28453222&efficiency_ratio_20>-0.28767142),500659eeac2f,0,42,10,atr_compression_ratio,regime,atr_compression_ratio,volatility_term_structure,0
