side,source_horizon,canonical_key,rejected,reason
long,0,(*)|(distance_to_ema>-0.51110935&loc_pullback_depth_48>-0.55014426&loc_swing_range_pos_24<=-0.31972864)|(*),True,support_out_of_range
long,0,(*)|(dist_ema20_atr<=-0.18363057&dist_ema20_atr>-0.55014426&loc_range_pos_24<=-0.23406971&loc_session_pos_48>-0.28431311)|(ema_slope_norm<=0.068756357),True,support_out_of_range
long,0,(*)|(dist_local_swing<=-0.31578848&dist_local_swing>-0.55014426)|(ema_slope_norm<=-0.28431311),True,support_out_of_range
long,0,(*)|(loc_initial_balance_pos_48<=-0.1780069&loc_pivot_ladder_pos_24<=-0.22173333)|(direction_entropy_20>-0.2905263),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high>-0.66618538)|(bars_outside_ema20_atr_band_log_norm<=-0.29075&compression_score<=-0.32482323),True,support_out_of_range
long,0,(*)|(loc_prev_week_range_pos_24<=-0.28033876)|(prior_range>-0.51110935),True,support_out_of_range
long,0,(*)|(dist_ema50_atr>-0.4951593&pullback_depth<=-0.29426163)|(*),True,support_out_of_range
long,0,(*)|(*)|(bollinger_band_width<=-0.24793339&volume_zscore_48h<=-0.30297384&volume_zscore_48h>-0.66618538),True,support_out_of_range
long,0,(*)|(dist_local_swing<=-0.28033876)|(direction_entropy_20>-0.55014426),True,support_out_of_range
long,0,(*)|(bars_in_high_vol_state_log_norm<=-0.21892978&dist_range_mid_atr<=-0.1962962&loc_prior_bar_pos_48>-0.28431311)|(*),True,support_out_of_range
long,0,(*)|(*)|(ema50_slope>-0.44065851&volume_zscore_48h<=-0.31166354),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high<=-0.29426163&loc_prior_bar_pos_24<=-0.29075)|(up_down_return_mass_ratio_tanh>-0.39587346),True,support_out_of_range
long,0,(*)|(loc_bb_channel_pos_48<=-0.28033876&loc_initial_balance_pos_24>-0.66618538)|(bollinger_band_width<=-0.27683654),True,support_out_of_range
long,0,(*)|(dist_ema20_atr>0.080766745&dist_prior_day_high<=0.29749194&distance_to_ema<=0.37320024)|(bollinger_band_width>-0.38062361&rolling_range_20>0.23088248),True,support_out_of_range
long,0,(*)|(dist_ema200_atr<=-0.27683654&dist_prior_day_high>-0.4638699)|(*),True,support_out_of_range
long,0,(*)|(loc_initial_balance_pos_24<=-0.18137169&loc_initial_balance_pos_48<=0.091598876&loc_swing_range_pos_24<=-0.21627742)|(efficiency_ratio_20>-0.29075),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48<=-0.28431311)|(efficiency_ratio_20>-0.55014426),True,support_out_of_range
long,0,(*)|(pullback_depth>0.032605615)|(bars_outside_ema20_atr_band_log_norm>0.20318846&choppiness_index_20>-0.018128429&rolling_range_20<=0.30645159),True,support_out_of_range
long,0,(*)|(distance_to_ema>-0.47901395&loc_vwap_dev_z_24<=-0.2905263)|(*),True,support_out_of_range
long,0,(*)|(dist_ema200_atr<=0.31687328&dist_prior_day_low<=0.34722394&dist_vwap_atr>-0.021073995&distance_to_ema<=0.085808352&loc_prior_bar_pos_24>-0.29075)|(ema50_slope>0.023779811),True,support_out_of_range
long,0,(*)|(dist_prior_day_low>0.22222291&dist_rolling_7d_high<=0.30645159)|(direction_entropy_20>0.068756357&ema20_slope_5h>-0.30297384),True,support_out_of_range
long,0,(*)|(bars_in_high_vol_state_log_norm>-0.30701631&dist_ma100_atr<=0.080766745)|(atr_compression_ratio<=-0.13333124&atr_compression_ratio>-0.27635804&volume_autocorr_48<=-0.21858913),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_24>0.052414633&loc_prev_day_range_pos_24<=0.29362899&loc_prior_bar_pos_24>0.20051558)|(volume_zscore_48h>-0.31166354),True,support_out_of_range
long,0,(*)|(loc_pivot_ladder_pos_24>-0.4638699&loc_session_pos_24<=-0.28431311)|(*),True,support_out_of_range
long,0,(*)|(dist_ma100_atr<=-0.28431311)|(volume_zscore_48h>-0.4638699),True,support_out_of_range
long,0,(*)|(loc_prev_week_range_pos_24>-0.28033876&loc_prior_bar_pos_24<=-0.17895259&loc_pullback_depth_24<=-0.21627742)|(atr_compression_ratio>-0.27683654),True,support_out_of_range
long,0,(*)|(dist_ema200_atr>0.017794678&dist_ema20_atr>-0.18363057&loc_session_pos_48>-0.28431311)|(ema_slope_norm<=0.068756357),True,support_out_of_range
long,0,(*)|(dist_ema50_atr>-0.44065851&distance_to_ema<=-0.26220196)|(*),True,support_out_of_range
long,0,(*)|(loc_prev_day_range_pos_24>-0.47901395)|(return_autocorr_48<=-0.2905263&return_autocorr_48>-0.45562726),True,support_out_of_range
long,0,(*)|(loc_prior_bar_pos_24<=-0.2905263&loc_pullback_depth_48>-0.45562726)|(*),True,support_out_of_range
long,0,(*)|(dist_local_swing<=-0.12896959&dist_local_swing>-0.28033876)|(prior_range<=-0.21311176),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48<=-0.27635804&loc_prev_day_range_pos_24>-0.38062361&zscore_price_200>-0.42483717)|(*),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high>-0.18363057&dist_vwap_atr<=0.30645159&zscore_price_50>0.16666837)|(bollinger_band_width>-0.24793339&tail_asymmetry_q90_q10_atr_norm>0.1978015),True,support_out_of_range
long,0,(*)|(dist_prior_day_low>0.09523616&loc_pivot_ladder_pos_24>0.12121198&loc_pivot_ladder_pos_48<=0.30645159)|(prior_volatility>-0.31578848&tail_asymmetry_q90_q10_atr_norm<=0.23954383&tail_asymmetry_q90_q10_atr_norm>0.088469297),True,low_path_quality_floor
long,0,(*)|(dist_prior_day_low<=-0.21285675&dist_rolling_7d_high<=0.021505037&zscore_price_50<=-0.19333351)|(atr_compression_ratio>-0.26883301&prior_volatility>-0.45562726),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high>-0.38641793&loc_prior_bar_pos_48<=-0.27310807)|(*),True,support_out_of_range
long,0,(*)|(distance_to_ema>-0.13176635)|(bars_since_ema20_ema50_cross_log_norm>0.085808352&efficiency_ratio_20>0.17067842&prior_range>-0.29075&up_down_semivol_ratio_tanh<=0.23954383),True,support_out_of_range
long,0,(*)|(distance_to_ema>0.0035836163&loc_session_pos_24>-0.27237353&loc_session_pos_48<=0.06190414)|(atr_percentile<=0.069804803),True,support_out_of_range
long,0,(*)|(loc_pullback_depth_48>-0.43359742)|(prior_range<=-0.29075),True,support_out_of_range
long,0,(*)|(dist_ema50_atr>-0.37735888)|(direction_entropy_20<=0.14316666&tail_asymmetry_q90_q10_atr_norm<=-0.24793339&up_down_return_mass_ratio_tanh<=-0.28033876),True,support_out_of_range
long,0,(*)|(*)|(bars_since_ema20_ema50_cross_log_norm>-0.42483717&tail_asymmetry_q90_q10_atr_norm>-0.63646656&up_down_return_mass_ratio_tanh<=-0.2905263),True,support_out_of_range
long,0,(*)|(dist_ema20_atr>-0.55014426&loc_session_pos_48<=-0.28431311)|(ema20_slope_5h>-0.40665129),True,support_out_of_range
long,0,(*)|(dist_ema50_atr>-0.37735888)|(choppiness_index_20>0.20000035&compression_score<=0.32195285&direction_entropy_20>0.14316666&rolling_range_20>0.22602931),True,support_out_of_range
long,0,(*)|(dist_range_mid_atr>0.17067842)|(direction_entropy_20>0.057555534&realized_volatility_24h<=0.25894406&realized_volatility_24h>0.19047718&variance_ratio_10_48>-0.28033876),True,support_out_of_range
long,0,(*)|(loc_initial_balance_pos_24>0.075757973&loc_session_pos_24>-0.28431311&pullback_depth<=0.38452527)|(bollinger_band_width>-0.18859163&variance_ratio_10_48>0.22222291),True,low_path_quality_floor
long,0,(*)|(dist_ema50_atr>0.075757973&loc_initial_balance_pos_24<=0.39351267&loc_prev_week_range_pos_24>-0.28033876&loc_prior_bar_pos_24>-0.17895259)|(bars_since_ema20_ema50_cross_log_norm>0.10944291&direction_entropy_20<=0.24228859),True,top_n_cutoff
long,0,(*)|(loc_range_pos_48>-0.40665129)|(prior_range<=-0.29075),True,support_out_of_range
long,0,(*)|(loc_session_pos_24<=-0.27237353)|(bars_since_ema20_ema50_cross_log_norm>-0.36462083),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48>-0.28431311&loc_pullback_depth_48<=0.34722394&loc_pullback_depth_48>0.19426611)|(efficiency_ratio_20<=0.32195285&volume_autocorr_48>0.060606074),True,low_path_quality_floor
long,0,(*)|(loc_session_pos_48<=0.21642748&loc_vwap_dev_z_24>0.085808352)|(bars_outside_ema20_atr_band_log_norm>-0.26378399&bars_since_ema20_ema50_cross_log_norm>-0.18859163&range_expansion_ratio>0.12121198),True,support_out_of_range
long,0,(*)|(dist_local_swing>-0.55014426&loc_initial_balance_pos_24<=0.30163163&loc_pivot_ladder_pos_24<=-0.039213423&loc_swing_range_pos_48>-0.29075)|(realized_volatility_24h<=0.35426781&trend_acceleration<=-0.20463544),True,support_out_of_range
long,0,(*)|(dist_ema50_atr>0.073447973&dist_local_swing<=0.24456695&loc_initial_balance_pos_48>-0.1780069&zscore_price_200>0.10443516)|(direction_entropy_20>-0.2905263&realized_volatility_24h>0.13333434),False,
long,0,(*)|(dist_rolling_7d_high<=-0.16966985&distance_to_ema<=0.073447973&distance_to_ema>-0.26220196)|(direction_entropy_20<=-0.19085692),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high>-0.37081221)|(compression_score<=-0.28431311),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48>-0.28431311&zscore_price_50<=-0.19132763)|(return_autocorr_48<=-0.14814775&volume_autocorr_48<=0.060606074),True,low_path_quality_floor
long,0,(*)|(dist_ema200_atr>-0.27683654&dist_prior_day_low>0.085808352&loc_swing_range_pos_24<=0.39351267)|(efficiency_ratio_20>0.25567356&range_expansion_ratio<=0.32755265&volume_zscore_48h>-0.18363057),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48>-0.28431311&loc_pullback_depth_48<=0.19426611&loc_session_pos_48>0.12654781)|(efficiency_ratio_20<=0.32195285&volume_autocorr_48>0.060606074),True,support_out_of_range
long,0,(*)|(dist_ma100_atr<=-0.18081947&loc_pullback_depth_24<=0.0036400883)|(bars_outside_ema20_atr_band_log_norm>-0.28571355),True,low_stability_floor
long,0,(*)|(dist_local_swing>0.0035836163&dist_range_mid_atr>0.055555485&zscore_price_200>0.22465116)|(choppiness_index_20<=0.39945444&realized_volatility_24h>-0.2834124),True,high_density_dispersion_top_decile
long,0,(*)|(dist_vwap_atr<=0.051531781&loc_pullback_depth_24>0.0036400883)|(bars_outside_ema20_atr_band_log_norm>-0.28571355&direction_entropy_20<=0.40042627&return_autocorr_48<=0.35106543),True,support_out_of_range
long,0,(*)|(distance_to_ema<=-0.13176635&loc_ema_stack_pos_48<=-0.16239284)|(prior_range>-0.29075),True,top_n_cutoff
long,0,(*)|(distance_to_ema>0.073447973&loc_session_pos_48<=0.22465116)|(direction_entropy_20>0.15787554),True,support_out_of_range
long,0,(*)|(loc_ema_stack_pos_48>-0.28431311&loc_range_pos_48>-0.0068432763)|(compression_ratio>-0.11867709&return_autocorr_48>-0.14814775&volume_autocorr_48<=0.060606074),True,support_out_of_range
long,0,(*)|(dist_rolling_7d_high<=0.13657922&dist_rolling_7d_high>-0.18363057&dist_vwap_atr<=0.30645159&zscore_price_50<=0.16666837)|(bollinger_band_width>-0.24793339&tail_asymmetry_q90_q10_atr_norm>0.041101355),True,top_n_cutoff
long,0,(*)|(dist_ema50_atr>0.009468805&dist_local_swing>-0.12896959&loc_initial_balance_pos_24<=0.39351267)|(prior_range>-0.10213557&up_down_semivol_ratio_tanh<=0.1234567),True,low_stability_floor
long,0,(*)|(loc_initial_balance_pos_24>0.075757973&loc_prev_week_range_pos_24>0.12990616&loc_prior_bar_pos_24<=0.20644891&loc_session_pos_24>-0.28431311)|(bollinger_band_width>-0.18859163&variance_ratio_10_48<=0.22222291),True,support_out_of_range
long,0,(*)|(distance_to_ema<=0.35426781&loc_pivot_ladder_pos_24>0.22602931&loc_prior_bar_pos_24<=0.41475996)|(compression_score>-0.28431311&volume_zscore_48h>0.088469297),True,support_out_of_range
long,0,(*)|(dist_local_swing<=0.0035836163&loc_bb_channel_pos_24<=-0.1780069)|(realized_volatility_24h>-0.2834124),True,low_path_quality_floor
long,0,(*)|(loc_bb_channel_pos_48<=-0.18801665&loc_ema_stack_pos_48<=-0.045314547&loc_prev_day_range_pos_24>-0.2797623&loc_prior_bar_pos_24<=0.058602974)|(up_down_return_mass_ratio_tanh>-0.2905263),True,low_stability_floor
long,0,(*)|(loc_initial_balance_pos_24>0.057555534&loc_initial_balance_pos_48>0.19047718&loc_prev_day_range_pos_48<=0.34722394&loc_prev_day_range_pos_48>-0.18363057)|(prior_range>-0.29075&up_down_return_mass_ratio_tanh>0.097961769),True,low_path_quality_floor
long,0,(*)|(dist_prior_day_high<=-0.20122264&dist_prior_day_high>-0.2797623&loc_ema_stack_pos_24<=0.052414633&loc_prior_bar_pos_48<=-0.18541138)|(volume_zscore_48h>-0.31166354),True,support_out_of_range
long,0,(*)|(loc_session_pos_24>-0.28431311)|(bollinger_band_width<=-0.18859163&volatility_ratio_short_long>-0.26947734),True,support_out_of_range
