families_combo,count
context|path_structure,181
context,151
context|liquidity,120
context|volatility_term_structure,113
context|liquidity|path_structure,106
compression|context,84
context|path_structure|volatility,82
compression|context|path_structure,81
context|volatility,77
compression|context|liquidity,73
context|path_structure|volatility_term_structure,69
context|liquidity|volatility,69
context|liquidity|volatility_term_structure,58
compression|context|volatility,54
context|trend,49
context|liquidity|path_structure|volatility_term_structure,44
context|liquidity|path_structure|volatility,39
compression|context|path_structure|volatility,37
context|path_structure|trend,36
compression|context|volatility_term_structure,33
context|momentum,29
context|liquidity|trend,29
compression|context|liquidity|volatility,29
compression|context|liquidity|path_structure,26
context|volatility|volatility_term_structure,24
context|momentum|volatility,24
compression|context|liquidity|volatility_term_structure,24
compression|context|momentum,21
compression|context|trend,20
context|momentum|path_structure,20
compression|context|path_structure|volatility_term_structure,18
context|liquidity|path_structure|trend,17
context|momentum|volatility_term_structure,16
liquidity|path_structure|volatility,16
context|trend|volatility_term_structure,15
context|trend|volatility,15
liquidity|path_structure,15
compression|context|liquidity|trend,15
context|liquidity|momentum,14
context|momentum|path_structure|volatility,14
context|path_structure|trend|volatility_term_structure,14
compression|path_structure,12
liquidity|volatility,12
compression|context|path_structure|trend,11
context|path_structure|trend|volatility,10
context|liquidity|momentum|volatility,10
context|liquidity|trend|volatility,10
compression|context|trend|volatility_term_structure,10
compression|path_structure|volatility_term_structure,10
context|liquidity|momentum|path_structure,9
path_structure|volatility|volatility_term_structure,9
path_structure|volatility_term_structure,9
liquidity|trend,9
compression|context|liquidity|momentum,9
context|liquidity|trend|volatility_term_structure,9
context|liquidity|volatility|volatility_term_structure,9
context|momentum|path_structure|volatility_term_structure,9
context|momentum|volatility|volatility_term_structure,9
liquidity|path_structure|volatility_term_structure,8
context|path_structure|volatility|volatility_term_structure,8
compression|liquidity|volatility,8
context|momentum|trend|volatility,8
momentum|volatility,7
compression|context|trend|volatility,7
compression,7
compression|context|volatility|volatility_term_structure,7
path_structure,6
compression|liquidity,6
liquidity|path_structure|trend,6
liquidity|volatility_term_structure,6
compression|trend,6
compression|path_structure|volatility|volatility_term_structure,6
context|momentum|trend,6
path_structure|volatility,6
liquidity|volatility|volatility_term_structure,6
compression|path_structure|volatility,6
compression|context|momentum|path_structure,6
path_structure|trend|volatility,5
compression|volatility|volatility_term_structure,5
path_structure|trend|volatility|volatility_term_structure,5
liquidity,5
context|momentum|path_structure|trend|volatility,5
context|momentum|path_structure|trend,5
compression|context|liquidity|path_structure|volatility_term_structure,5
compression|context|momentum|path_structure|volatility,5
compression|context|liquidity|trend|volatility_term_structure,5
compression|context|liquidity|path_structure|trend,5
compression|liquidity|path_structure,5
compression|volatility,5
compression|liquidity|path_structure|volatility,5
compression|liquidity|path_structure|trend,4
compression|context|liquidity|momentum|volatility,4
compression|context|trend|volatility|volatility_term_structure,4
context|trend|volatility|volatility_term_structure,4
context|liquidity|momentum|trend,4
context|liquidity|path_structure|volatility|volatility_term_structure,4
compression|context|path_structure|volatility|volatility_term_structure,4
liquidity|trend|volatility,4
volatility,4
context|liquidity|momentum|path_structure|volatility,4
compression|context|momentum|trend|volatility,4
liquidity|momentum|path_structure,4
context|path_structure|trend|volatility|volatility_term_structure,4
path_structure|trend,4
compression|volatility_term_structure,3
compression|context|liquidity|path_structure|volatility,3
liquidity|momentum|path_structure|volatility,3
compression|context|liquidity|volatility|volatility_term_structure,3
liquidity|momentum,3
compression|context|path_structure|trend|volatility_term_structure,3
context|liquidity|momentum|path_structure|trend,3
compression|context|liquidity|trend|volatility,3
compression|trend|volatility,3
momentum|path_structure,3
compression|liquidity|volatility_term_structure,3
liquidity|trend|volatility_term_structure,3
context|liquidity|momentum|volatility|volatility_term_structure,2
context|liquidity|momentum|trend|volatility,2
compression|path_structure|trend,2
context|momentum|path_structure|volatility|volatility_term_structure,2
momentum|path_structure|volatility,2
compression|liquidity|momentum|volatility_term_structure,2
compression|context|momentum|volatility_term_structure,2
liquidity|path_structure|trend|volatility,2
compression|momentum|volatility,2
compression|trend|volatility_term_structure,2
compression|liquidity|volatility|volatility_term_structure,2
compression|context|path_structure|trend|volatility,2
context|liquidity|path_structure|trend|volatility_term_structure,2
context|liquidity|path_structure|trend|volatility,2
trend|volatility,2
liquidity|momentum|path_structure|trend|volatility,2
trend|volatility|volatility_term_structure,2
compression|context|liquidity|momentum|trend|volatility,2
compression|context|momentum|volatility,2
compression|liquidity|path_structure|volatility_term_structure,2
liquidity|path_structure|volatility|volatility_term_structure,1
compression|context|momentum|path_structure|trend,1
trend,1
compression|context|liquidity|momentum|path_structure|volatility,1
context|liquidity|momentum|volatility_term_structure,1
compression|momentum|trend|volatility,1
momentum|volatility|volatility_term_structure,1
compression|path_structure|trend|volatility,1
compression|liquidity|momentum|path_structure|volatility,1
path_structure|trend|volatility_term_structure,1
compression|momentum|path_structure|volatility,1
compression|context|liquidity|momentum|trend,1
compression|momentum,1
compression|liquidity|momentum|trend,1
compression|momentum|path_structure|volatility|volatility_term_structure,1
liquidity|momentum|volatility_term_structure,1
compression|liquidity|momentum|path_structure|volatility|volatility_term_structure,1
compression|context|liquidity|momentum|volatility|volatility_term_structure,1
context|liquidity|trend|volatility|volatility_term_structure,1
liquidity|trend|volatility|volatility_term_structure,1
compression|liquidity|trend|volatility,1
compression|liquidity|trend|volatility_term_structure,1
compression|liquidity|trend,1
liquidity|momentum|path_structure|trend,1
liquidity|momentum|trend,1
compression|liquidity|momentum|path_structure|trend,1
