canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_ma100_atr<=-0.0043079159&dist_vwap_atr<=-0.013285871&loc_vwap_dev_z_48<=-0.083983958)|(compression_score>0.1896892),4,4,location|regime,volatility_term_structure,context|liquidity,context|liquidity|volatility_term_structure
(*)|(dist_ma100_atr<=-0.0043079159&dist_vwap_atr>-0.013285871&loc_vwap_dev_z_48<=-0.083983958)|(*),3,3,location,,context|liquidity,context|liquidity
(*)|(dist_ma100_atr<=-0.0043079159&loc_vwap_dev_z_48<=0.8638829&loc_vwap_dev_z_48>-0.083983958)|(*),3,3,location,,context|liquidity,context|liquidity
(*)|(dist_ma100_atr<=-0.0043079159&loc_vwap_dev_z_48>0.8638829)|(*),2,2,location,,context|liquidity,context|liquidity
(*)|(bars_in_high_vol_state_log_norm<=-0.29889598&dist_ma100_atr>-0.0043079159&loc_pivot_ladder_pos_48<=0.029999677)|(*),3,3,location,,context,context
(*)|(bars_in_high_vol_state_log_norm>-0.29889598&dist_ma100_atr>-0.0043079159&loc_pivot_ladder_pos_48<=0.029999677)|(*),3,3,location,,context,context
(*)|(bars_in_high_vol_state_log_norm<=-0.40269691&dist_ma100_atr>-0.0043079159&loc_pivot_ladder_pos_48>0.029999677)|(compression_score<=0.14592202),4,4,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(bars_in_high_vol_state_log_norm>-0.40269691&dist_ma100_atr>-0.0043079159&loc_pivot_ladder_pos_48>0.029999677)|(compression_score<=0.14592202),4,4,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_ma100_atr>-0.0043079159&loc_pivot_ladder_pos_48>0.029999677)|(compression_score>0.14592202),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(loc_vwap_dev_z_48<=-0.30908906)|(prior_range<=0.48681232&range_24h_pct>0.043141365&up_down_semivol_ratio_tanh<=0.49711141),4,4,location|regime,compression|context|path_structure,liquidity,compression|context|liquidity|path_structure
(*)|(loc_vwap_dev_z_48<=-0.30908906)|(prior_range>0.48681232&up_down_semivol_ratio_tanh<=0.49711141),3,3,location|regime,context|path_structure,liquidity,context|liquidity|path_structure
(*)|(loc_vwap_dev_z_48<=-0.30908906)|(up_down_semivol_ratio_tanh>0.49711141),2,2,location|regime,path_structure,liquidity,liquidity|path_structure
(*)|(loc_range_pos_24<=0.8731423&loc_vwap_dev_z_48>-0.30908906)|(range_24h_pct<=0.032861888),3,3,location|regime,compression,context|liquidity,compression|context|liquidity
(*)|(dist_ema200_atr<=-0.0062285461&loc_range_pos_24<=0.8731423&loc_vwap_dev_z_48>-0.30908906)|(range_24h_pct>0.032861888&rolling_range_20<=-0.19362295),5,5,location|regime,compression,context|liquidity,compression|context|liquidity
(*)|(dist_ema200_atr<=-0.0062285461&loc_range_pos_24<=0.8731423&loc_vwap_dev_z_48>-0.30908906)|(range_24h_pct>0.032861888&rolling_range_20>-0.19362295),5,5,location|regime,compression,context|liquidity,compression|context|liquidity
(*)|(dist_ema200_atr>-0.0062285461&loc_range_pos_24<=0.8731423&loc_vwap_dev_z_48>-0.30908906)|(bollinger_band_width<=-0.0068153762&range_24h_pct>0.032861888&return_autocorr_48<=0.37512445),6,6,location|regime,compression|momentum,context|liquidity,compression|context|liquidity|momentum
(*)|(dist_ema200_atr>-0.0062285461&loc_range_pos_24<=0.8731423&loc_vwap_dev_z_48>-0.30908906)|(range_24h_pct>0.032861888&return_autocorr_48>0.37512445),5,5,location|regime,compression|momentum,context|liquidity,compression|context|liquidity|momentum
(*)|(loc_range_pos_24>0.8731423&loc_vwap_dev_z_48>-0.30908906)|(*),2,2,location,,context|liquidity,context|liquidity
(*)|(dist_vwap_atr<=0.0077892202&zscore_price_200>-1.1338085)|(atr_percentile<=-0.46250182&ema50_slope<=0.099656664&range_expansion_ratio<=0.42083433),5,5,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(dist_vwap_atr<=0.0077892202&zscore_price_200>-1.1338085)|(atr_percentile>-0.46250182&ema50_slope<=0.099656664&range_expansion_ratio<=0.42083433),5,5,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(dist_vwap_atr<=0.0077892202)|(ema50_slope>0.099656664&range_expansion_ratio<=0.42083433&volume_autocorr_48<=0.11941769),4,4,location|regime,liquidity|trend|volatility_term_structure,context,context|liquidity|trend|volatility_term_structure
(*)|(dist_vwap_atr<=0.0077892202)|(ema50_slope>0.099656664&range_expansion_ratio<=0.42083433&volume_autocorr_48>0.11941769),4,4,location|regime,liquidity|trend|volatility_term_structure,context,context|liquidity|trend|volatility_term_structure
(*)|(dist_vwap_atr<=0.0077892202)|(prior_volatility>-0.046223305&range_expansion_ratio>0.42083433),3,3,location|regime,context|volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_vwap_atr>0.0077892202&loc_prev_week_range_pos_48<=0.39865837)|(*),2,2,location,,context,context
(*)|(dist_vwap_atr>0.0077892202&loc_prev_week_range_pos_48>0.39865837&loc_pullback_depth_48<=0.24675319)|(up_down_return_mass_ratio_tanh<=0.79769039),4,4,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(dist_vwap_atr>0.0077892202&loc_prev_week_range_pos_48>0.39865837&loc_pullback_depth_48<=0.24675319)|(up_down_return_mass_ratio_tanh>0.79769039),4,4,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(dist_vwap_atr>0.0077892202&loc_prev_week_range_pos_48>0.39865837&loc_pullback_depth_48>0.24675319)|(*),3,3,location,,context|path_structure,context|path_structure
(*)|(dist_weekly_vwap<=-0.070940733)|(prior_volatility>0.014432041),2,2,location|regime,context,context,context
(*)|(dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24<=0.52958447&loc_swing_range_pos_24<=0.19195688)|(range_24h_pct<=0.050273292&realized_volatility_24h<=0.19802988),5,5,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24<=0.52958447&loc_swing_range_pos_24>0.19195688)|(range_24h_pct<=0.050273292&realized_volatility_24h<=0.19802988),5,5,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24<=0.52958447)|(range_24h_pct>0.050273292&realized_volatility_24h<=0.19802988),4,4,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24<=0.52958447)|(realized_volatility_24h>0.19802988),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_ema200_atr<=0.036395118&dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24>0.52958447&loc_pullback_depth_24<=0.28624892)|(rv_24h<=0.56592542),5,5,location|regime,volatility,context|path_structure,context|path_structure|volatility
(*)|(dist_ema200_atr<=0.036395118&dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24>0.52958447&loc_pullback_depth_24>0.28624892)|(rv_24h<=0.56592542),5,5,location|regime,volatility,context|path_structure,context|path_structure|volatility
(*)|(dist_ema200_atr>0.036395118&dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24>0.52958447)|(rv_24h<=0.56592542),4,4,location|regime,volatility,context,context|volatility
(*)|(dist_weekly_vwap>-0.070940733&loc_initial_balance_pos_24>0.52958447)|(rv_24h>0.56592542),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high<=0.23299515&loc_ema_stack_pos_24<=0.23218738)|(spectral_entropy_ret_24>0.57548493&volume_zscore_48h<=-0.4422116),4,4,location|regime,liquidity|path_structure,context|trend,context|liquidity|path_structure|trend
(*)|(dist_rolling_7d_high<=0.23299515&loc_ema_stack_pos_24<=0.23218738)|(direction_entropy_20<=-0.23287012&volume_zscore_48h>-0.4422116),4,4,location|regime,liquidity|path_structure,context|trend,context|liquidity|path_structure|trend
(*)|(dist_rolling_7d_high<=0.23299515&loc_ema_stack_pos_24<=0.23218738)|(direction_entropy_20<=0.3906036&direction_entropy_20>-0.23287012&volume_zscore_48h>-0.4422116),5,5,location|regime,liquidity|path_structure,context|trend,context|liquidity|path_structure|trend
(*)|(dist_rolling_7d_high<=0.23299515&loc_ema_stack_pos_24<=0.23218738)|(direction_entropy_20>0.3906036&volume_zscore_48h>-0.4422116),4,4,location|regime,liquidity|path_structure,context|trend,context|liquidity|path_structure|trend
