canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap<=-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),72005fe20b5a,0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,0
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap<=-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),72005fe20b5a,0,42,3,dist_ema50_atr,location,dist_ema50_atr,context,0
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap<=-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),72005fe20b5a,0,42,9,dist_weekly_vwap,location,dist_weekly_vwap,context,0
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap<=-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),72005fe20b5a,0,42,42,prior_range,regime,prior_range,context,1
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap>-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),baa47a647b17,0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,0
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap>-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),baa47a647b17,0,42,3,dist_ema50_atr,location,dist_ema50_atr,context,0
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap>-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),baa47a647b17,0,42,9,dist_weekly_vwap,location,dist_weekly_vwap,context,1
(*)|(dist_ema50_atr<=-0.011960832&dist_weekly_vwap>-0.070940733&loc_pivot_ladder_pos_48<=0.10945182)|(prior_range>0.017407307),baa47a647b17,0,42,42,prior_range,regime,prior_range,context,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score<=0.14592202),f198e58a8425,0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score<=0.14592202),f198e58a8425,0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,0
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score<=0.14592202),f198e58a8425,0,42,26,compression_score,regime,compression_score,volatility_term_structure,0
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score>0.14592202),d7278431f401,0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score>0.14592202),d7278431f401,0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,0
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48<=0.72152662)|(compression_score>0.14592202),d7278431f401,0,42,26,compression_score,regime,compression_score,volatility_term_structure,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48>0.72152662)|(ema_slope_norm>0.89852178),0912ecc3ef4c,0,42,77,loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48>0.72152662)|(ema_slope_norm>0.89852178),0912ecc3ef4c,0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,1
(*)|(loc_pivot_ladder_pos_48>0.10945182&loc_prev_week_range_pos_48>0.72152662)|(ema_slope_norm>0.89852178),0912ecc3ef4c,0,42,38,ema_slope_norm,regime,ema_slope_norm,trend,1
(*)|(loc_prev_day_range_pos_48<=0.77363443&loc_session_pos_48<=0.36111033&zscore_price_200>-1.6198413)|(efficiency_ratio_20<=0.1092929&up_down_semivol_ratio_tanh<=0.25545439),98f01529a21b,0,42,61,loc_prev_day_range_pos_48,location,loc_prev_day_range_pos_48,context,0
(*)|(loc_prev_day_range_pos_48<=0.77363443&loc_session_pos_48<=0.36111033&zscore_price_200>-1.6198413)|(efficiency_ratio_20<=0.1092929&up_down_semivol_ratio_tanh<=0.25545439),98f01529a21b,0,42,29,zscore_price_200,location,zscore_price_200,context,1
(*)|(loc_prev_day_range_pos_48<=0.77363443&loc_session_pos_48<=0.36111033&zscore_price_200>-1.6198413)|(efficiency_ratio_20<=0.1092929&up_down_semivol_ratio_tanh<=0.25545439),98f01529a21b,0,42,53,loc_session_pos_48,location,loc_session_pos_48,context,0
(*)|(loc_prev_day_range_pos_48<=0.77363443&loc_session_pos_48<=0.36111033&zscore_price_200>-1.6198413)|(efficiency_ratio_20<=0.1092929&up_down_semivol_ratio_tanh<=0.25545439),98f01529a21b,0,42,4,up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,0
(*)|(loc_prev_day_range_pos_48<=0.77363443&loc_session_pos_48<=0.36111033&zscore_price_200>-1.6198413)|(efficiency_ratio_20<=0.1092929&up_down_semivol_ratio_tanh<=0.25545439),98f01529a21b,0,42,32,efficiency_ratio_20,regime,efficiency_ratio_20,path_structure,0
(*)|(dist_ema50_atr>-0.0051518716&loc_prev_day_range_pos_48<=0.77363443&loc_vwap_dev_z_48<=-0.018077567)|(up_down_semivol_ratio_tanh>0.25545439),14af6dc258b6,0,42,61,loc_prev_day_range_pos_48,location,loc_prev_day_range_pos_48,context,0
(*)|(dist_ema50_atr>-0.0051518716&loc_prev_day_range_pos_48<=0.77363443&loc_vwap_dev_z_48<=-0.018077567)|(up_down_semivol_ratio_tanh>0.25545439),14af6dc258b6,0,42,3,dist_ema50_atr,location,dist_ema50_atr,context,1
(*)|(dist_ema50_atr>-0.0051518716&loc_prev_day_range_pos_48<=0.77363443&loc_vwap_dev_z_48<=-0.018077567)|(up_down_semivol_ratio_tanh>0.25545439),14af6dc258b6,0,42,37,loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,0
(*)|(dist_ema50_atr>-0.0051518716&loc_prev_day_range_pos_48<=0.77363443&loc_vwap_dev_z_48<=-0.018077567)|(up_down_semivol_ratio_tanh>0.25545439),14af6dc258b6,0,42,4,up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,1
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48<=0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),ff3d37765b97,0,42,61,loc_prev_day_range_pos_48,location,loc_prev_day_range_pos_48,context,1
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48<=0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),ff3d37765b97,0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,0
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48<=0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),ff3d37765b97,0,42,66,volatility_ratio_short_long,regime,volatility_ratio_short_long,volatility,0
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48>0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),b10129fe1143,0,42,61,loc_prev_day_range_pos_48,location,loc_prev_day_range_pos_48,context,1
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48>0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),b10129fe1143,0,42,65,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,1
(*)|(loc_prev_day_range_pos_48>0.77363443&loc_prev_week_range_pos_48>0.5886389)|(volatility_ratio_short_long<=-0.00000000000000000000000000000000001),b10129fe1143,0,42,66,volatility_ratio_short_long,regime,volatility_ratio_short_long,volatility,0
(*)|(dist_prior_day_high>0.023996081&loc_pullback_depth_48>0.24675319&loc_vwap_dev_z_48<=0.48764926&zscore_price_200>-1.6365092)|(ema50_slope<=0.33524674),d09c8ae7f285,0,42,37,loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,0
(*)|(dist_prior_day_high>0.023996081&loc_pullback_depth_48>0.24675319&loc_vwap_dev_z_48<=0.48764926&zscore_price_200>-1.6365092)|(ema50_slope<=0.33524674),d09c8ae7f285,0,42,11,dist_prior_day_high,location,dist_prior_day_high,context,1
(*)|(dist_prior_day_high>0.023996081&loc_pullback_depth_48>0.24675319&loc_vwap_dev_z_48<=0.48764926&zscore_price_200>-1.6365092)|(ema50_slope<=0.33524674),d09c8ae7f285,0,42,29,zscore_price_200,location,zscore_price_200,context,1
(*)|(dist_prior_day_high>0.023996081&loc_pullback_depth_48>0.24675319&loc_vwap_dev_z_48<=0.48764926&zscore_price_200>-1.6365092)|(ema50_slope<=0.33524674),d09c8ae7f285,0,42,73,loc_pullback_depth_48,location,loc_pullback_depth_48,path_structure,1
