feature_name,group,usage_count
bars_in_high_vol_state_log_norm,location,521
range_24h_pct,regime,477
zscore_price_200,location,449
up_down_semivol_ratio_tanh,regime,415
dist_prior_day_low,location,402
range_expansion_ratio,regime,398
volume_autocorr_48,regime,358
dist_rolling_7d_high,location,329
dist_weekly_vwap,location,326
atr_percentile,regime,316
return_autocorr_48,regime,289
loc_prior_bar_pos_48,location,284
direction_entropy_20,regime,284
loc_prior_bar_pos_24,location,236
rv_24h,regime,233
choppiness_index_20,regime,211
up_down_return_mass_ratio_tanh,regime,184
realized_volatility_24h,regime,182
volume_percentile,regime,175
spectral_entropy_ret_24,regime,175
bollinger_band_width,regime,170
volume_trend_48,regime,169
ema50_slope,regime,162
zscore_price_50,location,157
atr_compression_ratio,regime,155
volatility_ratio_short_long,regime,136
dist_vwap_atr,location,127
volume_zscore_48h,regime,127
prior_volatility,regime,127
compression_ratio,regime,122
rolling_range_20,regime,118
loc_prev_week_range_pos_48,location,113
loc_range_pos_48,location,111
loc_prev_week_range_pos_24,location,104
dist_ema50_atr,location,103
dist_prior_day_high,location,99
pullback_depth,location,98
dist_ema20_atr,location,98
dist_ma100_atr,location,93
distance_to_ema,location,90
efficiency_ratio_20,regime,88
loc_initial_balance_pos_48,location,88
amihud_illiq,regime,87
prior_range,regime,87
tail_asymmetry_q90_q10_atr_norm,regime,87
dist_ema200_atr,location,85
loc_pullback_depth_24,location,84
dist_local_swing,location,80
variance_ratio_10_48,regime,79
dist_range_mid_atr,location,79
loc_pullback_depth_48,location,75
loc_swing_range_pos_24,location,74
loc_bb_channel_pos_24,location,74
dist_ema_fast,regime,73
compression_score,regime,73
loc_bb_channel_pos_48,location,70
loc_ema_stack_pos_48,location,68
loc_vwap_dev_z_48,location,68
loc_session_pos_48,location,68
volume_entropy_24,regime,66
true_range_percentile,regime,61
loc_initial_balance_pos_24,location,58
loc_swing_range_pos_48,location,56
loc_ema_stack_pos_24,location,55
loc_session_pos_24,location,54
ema_slope_norm,regime,52
ema20_slope_5h,regime,50
loc_prev_day_range_pos_48,location,48
loc_vwap_dev_z_24,location,42
trend_acceleration,regime,38
loc_range_pos_24,location,37
loc_prev_day_range_pos_24,location,30
loc_pivot_ladder_pos_48,location,25
loc_pivot_ladder_pos_24,location,20
amihud_z,regime,11
path_efficiency_24,regime,2
