fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,459,trend_age_hours,regime,trend_age_hours,unknown,3
0,42,510,vol_state_x_volume_state,regime,vol_state_x_volume_state,unknown,2
0,42,226,ffd_rv_12_06,regime,ffd_rv_12_06,unknown,1
0,42,467,trend_regime_stability,regime,trend_regime_stability,unknown,1
0,42,1,bars_in_high_vol_state_log_norm,location,bars_in_high_vol_state_log_norm,context,3
0,42,107,climax_decay,regime,climax_decay,unknown,1
0,42,156,dist_vwap_24_atr,regime,dist_vwap_24_atr,unknown,1
0,42,378,ret48h,regime,ret48h,unknown,3
0,42,583,zr_1h_x_volume_z_24h,regime,zr_1h_x_volume_z_24h,unknown,1
0,42,89,zscore_price_50,location,zscore_price_50,context,2
0,42,542,vp_accept_lvn_touchrate,regime,vp_accept_lvn_touchrate,unknown,1
0,42,47,loc_prev_day_range_pos_24,location,loc_prev_day_range_pos_24,context,1
0,42,123,compression_ratio,regime,compression_ratio,volatility_term_structure,2
0,42,130,cvar_5pct,regime,cvar_5pct,unknown,1
0,42,80,atr_slope,regime,atr_slope,unknown,1
0,42,359,regime_stability_24h,regime,regime_stability_24h,unknown,2
0,42,177,entropy_jump_24h,regime,entropy_jump_24h,unknown,2
0,42,409,rv_ratio_6_24,regime,rv_ratio_6_24,unknown,1
0,42,113,clv_collapse,regime,clv_collapse,unknown,2
0,42,124,compression_score,regime,compression_score,volatility_term_structure,4
0,42,376,ret2h,regime,ret2h,unknown,1
0,42,289,kf_score_rm24_mean,regime,kf_score_rm24_mean,unknown,1
0,42,489,vol_compression,regime,vol_compression,unknown,2
0,42,143,dist_ema_fast,regime,dist_ema_fast,trend,1
0,42,382,ret72h,regime,ret72h,unknown,2
0,42,347,pullback_8,regime,pullback_8,unknown,1
0,42,324,perm_entropy_ret_24,regime,perm_entropy_ret_24,unknown,1
0,42,526,volume_entropy_24,regime,volume_entropy_24,liquidity,2
0,42,23,dist_rolling_7d_high,location,dist_rolling_7d_high,context,1
0,42,451,trail_act_pct,regime,trail_act_pct,unknown,3
0,42,407,rv_8h,regime,rv_8h,unknown,1
0,42,216,ffd_ema_spread_05,regime,ffd_ema_spread_05,unknown,2
0,42,64,asset_vol_level,regime,asset_vol_level,unknown,1
0,42,544,vp_air_pocket_score,regime,vp_air_pocket_score,unknown,1
0,42,204,ffd_diff_8_04,regime,ffd_diff_8_04,unknown,2
0,42,82,autocorr_24h,regime,autocorr_24h,unknown,1
0,42,129,cusum_strength_norm,regime,cusum_strength_norm,unknown,1
0,42,556,vp_lvn_depth_ratio,regime,vp_lvn_depth_ratio,unknown,1
0,42,379,ret4h,regime,ret4h,unknown,1
0,42,422,shock_rel,regime,shock_rel,unknown,1
0,42,157,dist_vwap_96_atr,regime,dist_vwap_96_atr,unknown,1
0,42,399,rsi_z_x_regime_vol,regime,rsi_z_x_regime_vol,unknown,1
0,42,436,state_uncertainty_1h,regime,state_uncertainty_1h,unknown,1
0,42,360,regime_transition_entropy_12h,regime,regime_transition_entropy_12h,unknown,2
0,42,444,tail_score,regime,tail_score,unknown,2
0,42,301,lr_12h,regime,lr_12h,unknown,1
0,42,218,ffd_mr_z_04,regime,ffd_mr_z_04,unknown,1
0,42,416,second_leg_accel_vol_2h,regime,second_leg_accel_vol_2h,unknown,1
0,42,398,rsi_x_high_vol,regime,rsi_x_high_vol,unknown,1
0,42,326,pers_24,regime,pers_24,unknown,1
0,42,91,beta_24h,regime,beta_24h,unknown,2
0,42,78,atr_percentile,regime,atr_percentile,compression,2
0,42,159,dlog_vol_5h,regime,dlog_vol_5h,unknown,2
0,42,122,complexity_regime_24h,regime,complexity_regime_24h,unknown,1
0,42,437,sv_imb_12,regime,sv_imb_12,unknown,2
0,42,387,reversion_target_distance,regime,reversion_target_distance,unknown,1
0,42,142,direction_entropy_20,regime,direction_entropy_20,path_structure,2
0,42,275,is_low_vol_regime,regime,is_low_vol_regime,unknown,1
0,42,66,asym_ft,regime,asym_ft,unknown,4
0,42,494,vol_low,regime,vol_low,unknown,2
0,42,10,G_VOL_LIQ_GT1,regime,G_VOL_LIQ_GT1,unknown,1
0,42,267,impact_z,regime,impact_z,unknown,1
0,42,582,zr_1h_minus_zr_6h,regime,zr_1h_minus_zr_6h,unknown,2
0,42,566,z_breakout_up_24,regime,z_breakout_up_24,unknown,2
0,42,357,realized_volatility_24h,regime,realized_volatility_24h,volatility,2
0,42,86,bb_pos_12,regime,bb_pos_12,unknown,2
0,42,283,ker_16,regime,ker_16,unknown,1
0,42,265,impact_12,regime,impact_12,unknown,2
0,42,561,wick_ratio,regime,wick_ratio,unknown,1
0,42,307,mkt_rv_ratio,regime,mkt_rv_ratio,unknown,1
0,42,361,regime_transition_entropy_48h,regime,regime_transition_entropy_48h,unknown,1
0,42,466,trend_pct_base,regime,trend_pct_base,unknown,1
0,42,349,range_12h_pct,regime,range_12h_pct,unknown,2
0,42,463,trend_dispersion_1_3_6,regime,trend_dispersion_1_3_6,unknown,1
0,42,51,loc_prev_week_range_pos_24,location,loc_prev_week_range_pos_24,context,1
0,42,169,draw_extreme_10h,regime,draw_extreme_10h,unknown,1
0,42,228,ffd_rv_24_05,regime,ffd_rv_24_05,unknown,1
0,42,374,ret24h,regime,ret24h,unknown,1
0,42,254,funding_proxy,regime,funding_proxy,unknown,2
0,42,480,ts_24,regime,ts_24,unknown,1
0,42,457,trend_accel_120h,regime,trend_accel_120h,unknown,1
0,42,476,trend_t,regime,trend_t,unknown,1
0,42,53,loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,1
0,42,260,hh_count_12,regime,hh_count_12,unknown,2
0,42,486,variance_ratio_10_48,regime,variance_ratio_10_48,volatility,1
0,42,495,vol_price_div,regime,vol_price_div,unknown,2
0,42,509,vol_state_slope_1h,regime,vol_state_slope_1h,unknown,1
0,42,577,z_volume,regime,z_volume,unknown,2
0,42,474,trend_stack_6_12_24,regime,trend_stack_6_12_24,unknown,1
0,42,327,pl_vol_units,regime,pl_vol_units,unknown,1
0,42,58,amihud_illiq,regime,amihud_illiq,liquidity,1
0,42,506,vol_shock_asym_4_212,regime,vol_shock_asym_4_212,unknown,1
0,42,401,rv_12h,regime,rv_12h,unknown,1
0,42,449,time_since_peak_12h,regime,time_since_peak_12h,unknown,1
0,42,514,vol_z_30_calm,regime,vol_z_30_calm,unknown,1
0,42,321,pct_breakout_t,regime,pct_breakout_t,unknown,2
0,42,484,upside_semivariance_8,regime,upside_semivariance_8,unknown,1
0,42,24,adx_10_gt25,regime,adx_10_gt25,unknown,2
0,42,417,session_progress,regime,session_progress,unknown,1
0,42,346,pullback_72,regime,pullback_72,unknown,1
0,42,426,slope,regime,slope,unknown,1
0,42,406,rv_6h,regime,rv_6h,unknown,1
0,42,516,vol_z_base,regime,vol_z_base,unknown,1
0,42,503,vol_regime_z,regime,vol_regime_z,unknown,1
0,42,9,dist_ema20_atr,location,dist_ema20_atr,context,1
0,42,33,loc_bb_channel_pos_48,location,loc_bb_channel_pos_48,compression,1
0,42,580,zr_12h,regime,zr_12h,unknown,1
0,42,280,kalman_gain_1h,regime,kalman_gain_1h,unknown,2
0,42,39,loc_initial_balance_pos_24,location,loc_initial_balance_pos_24,context,1
