feature_name,group,usage_count
volume_trend_alignment,regime,87
adx_14_gt25,regime,72
dist_rolling_7d_high,location,62
vov_interaction,regime,58
vp_lvn_depth_ratio,regime,57
kf_vol_ratio_mean,regime,52
G_VOL_LIQ_GT1,regime,49
kalman_gain_1h,regime,35
ffd_rv_24_06,regime,35
volume_capitulation,regime,32
press_24,regime,31
tail_asymmetry_q90_q10_atr_norm,location,31
delta_stall_6,regime,30
vov_iqr_20,regime,24
rvol_hod_base,regime,22
dv_z,regime,22
autocorr_24h,regime,21
shock_vol_ratio,regime,21
vol_regime_switch_12h,regime,21
downside_semivariance_24,regime,21
vol_z,regime,20
vol_z_x_regime_trend,regime,20
ffd_rv_24_04,regime,20
liquidity_ratio,regime,20
z_breakout_up_24,regime,19
trap_strength,regime,19
rsi_z_x_regime_vol,regime,18
dist_vwap_96_atr,regime,18
volume_z_24,regime,18
is_low_vol_regime,regime,16
vol_concentration_12,regime,16
vov_mad_20,regime,15
range_24h_pct,regime,15
vol_low,regime,15
complexity_regime_24h,regime,14
wick_ratio_4h_max,regime,14
vol_regime_shift,regime,14
choppiness_index_20,regime,14
perm_entropy_ret_12,regime,14
vol_state_slope_1h,regime,13
vol_regime_z,regime,13
vol_price_div,regime,13
dist_from_high_48h,regime,13
regime_trend_score,regime,12
zr_3h_minus_zr_12h,regime,12
vp_accept_hvn_touchrate,regime,12
volume_percentile,regime,12
impact_12,regime,12
vp_profile_concentration,regime,12
upside_semivariance_24,regime,12
loc_prev_week_range_pos_48,location,12
volume_entropy_24,regime,12
ffd_rv_24h_04,regime,11
regime_transition_entropy_12h,regime,11
kf_score_mean,regime,11
ffd_amihud_06,regime,11
volume_z_12,regime,10
zr_3h,regime,10
kf_score_rm24_mean,regime,10
z_compression_expansion,regime,10
rsi_x_high_vol,regime,10
volatility_ratio_short_long,regime,10
trapped_longs_96,regime,9
trend_retest_success_rate,regime,9
vp_bin_vol_share,regime,9
trend_stack_3_6_12,regime,9
entropy_jump_24h,regime,9
zr_1h_minus_zr_6h,regime,9
state_uncertainty_1h,regime,9
ret24h,regime,9
beta_24h,regime,9
adx_zscore,regime,9
down_up_vol_ratio_24,regime,9
prior_volatility,regime,8
vol_state_x_volume_state,regime,8
atr_slope,regime,8
efficiency_ratio_20,regime,8
dn_vol,regime,8
rolling_range_20,regime,8
spectral_entropy_ret_48,regime,8
regime_liquidity_score,regime,8
vol_price_diverge,regime,8
autocorr_6h,regime,7
direction_entropy_20,regime,7
vp_in_lvn_above_zone,regime,7
pullback_8,regime,7
ffd_ema_spread_05,regime,7
pct_breakout_t,regime,7
accel_5h,regime,6
ret48h,regime,6
resid_ret_6h,regime,6
vol_regime_transition,regime,6
trend_age_hours,regime,6
trend_stack_6_12_24,regime,6
volume_autocorr_48,regime,6
trend_strength_vs_reversion,regime,6
vp_dist_hvn_above_atr,regime,6
asym_ft,regime,6
breakout_t,regime,6
ffd_diff_8_04,regime,6
ffd_rv_24h_06,regime,6
dn_vol_6,regime,6
ret8h,regime,5
vp_profile_entropy,regime,5
roc_div,regime,5
ffd_ema_spread_06,regime,5
rsi_slope,regime,5
rv_12h,regime,5
vp_in_hvn_above_zone,regime,5
vol_scale,regime,5
flow_persistence,regime,5
return_autocorr_48,regime,5
z_path_efficiency_24,regime,5
impulse,regime,5
z_breakout_dn_24,regime,5
loc_prev_week_range_pos_24,location,5
align,regime,5
time_since_trough_12h,regime,5
trail_act_pct,regime,5
trend_regime_stability,regime,5
is_high_vol_regime,regime,5
dist_vwap_12_atr,regime,4
trend_snr,regime,4
dip_volume_profile,regime,4
vp_dist_lvn_above_atr,regime,4
variance_ratio_10_48,regime,4
trap_quality,regime,4
rv_ratio_6_24,regime,4
session_progress,regime,4
shannon_entropy_ret_16,regime,4
v_power,regime,4
dist_ema200_atr,location,4
kf_atr_mean,regime,4
giveback_vol_units,regime,4
asset_vol_level,regime,4
loc_range_pos_48,location,4
jump_intensity,regime,4
vol_shock_asym_8_24,regime,4
mr_soft,regime,4
hh_count_12,regime,4
vol_shock_asym_4_12,regime,4
press_12,regime,4
amihud_illiq,regime,4
ffd_rv_6h_04,regime,4
atr_percentile,regime,4
ffd_range_24_04,regime,4
ret120h,regime,4
ret10h,regime,4
realized_volatility_24h,regime,4
rv_120h,regime,3
pl_vol_units,regime,3
bars_in_high_vol_state_log_norm,location,3
loc_vwap_dev_z_24,location,3
trend_pct_base,regime,3
z_vwap_24,regime,3
lr_6h,regime,3
time_since_peak_12h,regime,3
ffd_cvar_5pct_06,regime,3
ffd_diff_1_04,regime,3
ret3h,regime,3
prog_eff_24,regime,3
shock_12h,regime,3
shannon_entropy_ret_8,regime,3
draw_sym_10h,regime,3
vov_mad_60,regime,2
volume_trend_48,regime,2
vol_asym,regime,2
z_r_24,regime,2
vol_shock_asym_4_212,regime,2
zr_6h_x_volume_z_48h,regime,2
vp_dist_hvn_below_atr,regime,2
vol_z24_base,regime,2
upside_semivariance_8,regime,2
vp_in_lvn_below_zone,regime,2
zr_12h_x_range_z_48h,regime,2
vp_in_hvn_below_zone,regime,2
range_16h_pct,regime,2
up_down_semivol_ratio_tanh,location,2
hour_vol_ratio,regime,2
trend_slope_48h,regime,2
ffd_range_24_05,regime,2
ffd_diff_2_04,regime,2
exh_qual,regime,2
excess_12h,regime,2
ema_slope_norm,regime,2
dist_range_mid_atr,location,2
dist_prior_day_high,location,2
dist_from_low_vol,regime,2
dist_from_low_120h,regime,2
dist_ema_slow_base,regime,2
dist_ema20_atr,location,2
dir_path_risk_short_2h,regime,2
dir_path_risk_long_2h,regime,2
convexity_z_t,regime,2
comp_to_exp,regime,2
clv_collapse,regime,2
climax_vol_12,regime,2
climax_range_12,regime,2
climax_decay,regime,2
churn,regime,2
breakout_min,regime,2
bollinger_band_width,regime,2
body_pct,regime,2
asset_atr_level,regime,2
ffd_z_24_04,regime,2
ffd_vol_price_corr_10h_04,regime,2
zscore_price_200,location,2
regime_vol_score,regime,2
realized_vol_minus_vol_state,regime,2
range_12h_pct,regime,2
rv_ratio_24_120,regime,2
predicted_vol_6h,regime,2
impact_z,regime,2
perm_entropy_ret_24,regime,2
mkt_rv_ratio,regime,2
lr_4h,regime,2
log_volume_state_1h,regime,2
second_leg_accel_vol_2h,regime,2
loc_pivot_ladder_pos_48,location,2
sv_imb_24,regime,2
loc_initial_balance_pos_48,location,2
liq_score,regime,2
liq_low,regime,2
tail_score,regime,2
ker_24,regime,2
ker_16,regime,2
rsi_1h_slope,regime,2
speed,regime,1
atr_pct_base,regime,1
z_vwap_12,regime,1
ffd_z_24_06,regime,1
regime_stability_24h,regime,1
range_expansion_ratio,regime,1
progress,regime,1
vp_dist_lvn_below_atr,regime,1
loc_swing_range_pos_24,location,1
vol_z_30_calm,regime,1
entry_quality_composite,regime,1
ffd_ema_spread_04,regime,1
dir_path_risk_skew_2h,regime,1
