fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,2.69979,1.0
0,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,7.37937,1.0
0,42,dist_weekly_vwap,location,,context,3.72257,1.0
0,42,dist_rolling_7d_high,location,,context,13.1555805,2.0
0,42,atr_percentile,regime,compression,compression,0.383503,1.0
0,42,dist_range_mid_atr,location,,context,2.35903,1.0
0,42,choppiness_index_20,regime,path_structure,path_structure,4.55582,1.0
0,42,dist_ma100_atr,location,,context,3.49247,1.0
0,42,compression_ratio,regime,volatility_term_structure,volatility_term_structure,2.99622,1.0
0,42,zscore_price_200,location,,context,0.527834,1.0
0,42,loc_vwap_dev_z_24,location,,liquidity,7.21404,2.0
0,42,ema_slope_norm,regime,trend,trend,1.33933,1.0
0,42,realized_volatility_24h,regime,volatility,volatility,0.447504,1.0
0,42,loc_prev_day_range_pos_24,location,,context,0.164547,1.0
0,42,loc_prev_day_range_pos_48,location,,context,0.230687,1.0
0,42,volume_autocorr_48,regime,liquidity,liquidity,1.61194,1.0
0,42,volume_percentile,regime,liquidity,liquidity,5.96356,1.0
0,42,loc_pullback_depth_24,location,,path_structure,0.000290724,1.0
0,42,volume_zscore_48h,regime,liquidity,liquidity,1.93692,1.0
1,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,2.86863,1.0
1,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,5.47996,1.0
1,42,dist_weekly_vwap,location,,context,1.69137,1.0
1,42,dist_rolling_7d_high,location,,context,13.4776,2.0
1,42,dist_ma100_atr,location,,context,6.49856,2.0
1,42,distance_to_ema,location,,context,3.78656,1.0
1,42,direction_entropy_20,regime,path_structure,path_structure,2.44175,1.0
1,42,zscore_price_200,location,,context,7.0732403,3.0
1,42,ema20_slope_5h,regime,trend,trend,0.357076,1.0
1,42,loc_vwap_dev_z_24,location,,liquidity,0.557017,1.0
1,42,range_24h_pct,regime,compression,compression,4.20673,1.0
1,42,realized_volatility_24h,regime,volatility,volatility,3.55222,1.0
1,42,volatility_ratio_short_long,regime,volatility,volatility,3.83027,1.0
1,42,volume_autocorr_48,regime,liquidity,liquidity,1.51595,1.0
1,42,volume_zscore_48h,regime,liquidity,liquidity,6.63359,1.0
