families_combo,count
compression|context,191
compression|context|volatility,85
context|path_structure,84
compression|context|path_structure,78
compression|context|liquidity,70
compression|context|volatility_term_structure,69
context,61
context|volatility,56
context|liquidity|path_structure,56
compression|context|trend,53
context|liquidity,50
context|path_structure|volatility,34
compression|context|liquidity|path_structure,33
context|volatility_term_structure,29
compression|context|liquidity|volatility,28
compression|context|momentum,28
context|path_structure|volatility_term_structure,28
context|liquidity|path_structure|volatility,28
context|volatility|volatility_term_structure,26
compression|context|trend|volatility_term_structure,25
context|liquidity|volatility,23
compression|context|path_structure|volatility,23
compression|context|volatility|volatility_term_structure,21
context|trend,21
compression|context|path_structure|volatility_term_structure,20
context|trend|volatility,18
context|momentum,16
compression|context|trend|volatility,16
compression|trend,15
compression|context|path_structure|trend,14
context|path_structure|trend,14
context|trend|volatility_term_structure,14
compression|context|liquidity|trend,13
compression|context|momentum|volatility_term_structure,12
context|liquidity|volatility_term_structure,12
liquidity|path_structure,11
compression|trend|volatility_term_structure,11
context|trend|volatility|volatility_term_structure,11
context|liquidity|path_structure|trend,10
context|momentum|volatility,10
compression|context|liquidity|momentum,10
compression|volatility,9
context|liquidity|trend,9
context|momentum|path_structure,9
compression|liquidity|volatility,8
compression|context|liquidity|volatility_term_structure,8
context|path_structure|trend|volatility,8
compression|context|momentum|volatility,8
compression|path_structure|volatility,8
compression|path_structure|trend,8
context|liquidity|momentum,7
liquidity|volatility|volatility_term_structure,7
context|path_structure|volatility|volatility_term_structure,7
path_structure,6
compression|context|path_structure|trend|volatility_term_structure,6
compression|liquidity,6
context|momentum|trend|volatility,6
path_structure|volatility,6
path_structure|volatility_term_structure,6
context|momentum|volatility|volatility_term_structure,6
context|liquidity|path_structure|trend|volatility,6
compression|context|liquidity|path_structure|trend,5
compression|volatility|volatility_term_structure,5
compression|liquidity|path_structure,5
path_structure|trend|volatility|volatility_term_structure,5
context|liquidity|path_structure|volatility|volatility_term_structure,5
context|liquidity|momentum|path_structure,5
path_structure|trend|volatility,5
compression|momentum|volatility_term_structure,5
compression|context|momentum|path_structure,4
volatility|volatility_term_structure,4
compression|context|liquidity|path_structure|volatility,4
context|momentum|path_structure|volatility,4
trend|volatility_term_structure,4
trend|volatility|volatility_term_structure,4
context|momentum|path_structure|volatility_term_structure,4
liquidity|path_structure|volatility|volatility_term_structure,4
context|momentum|volatility_term_structure,4
compression|liquidity|trend,4
trend|volatility,4
compression|context|momentum|trend,3
compression|liquidity|momentum|volatility_term_structure,3
context|momentum|trend|volatility|volatility_term_structure,3
context|liquidity|trend|volatility_term_structure,3
liquidity|path_structure|volatility,3
compression|path_structure,3
liquidity|path_structure|volatility_term_structure,3
liquidity|trend|volatility,3
compression|context|momentum|path_structure|volatility,3
context|momentum|path_structure|trend,3
context|liquidity|trend|volatility,3
path_structure|volatility|volatility_term_structure,3
compression|context|liquidity|path_structure|volatility_term_structure,2
compression|liquidity|trend|volatility_term_structure,2
compression|momentum|path_structure,2
momentum|trend|volatility_term_structure,2
compression|path_structure|trend|volatility,2
compression|liquidity|momentum|path_structure|volatility,2
momentum|path_structure|volatility_term_structure,2
momentum|trend|volatility,2
path_structure|trend,2
liquidity|momentum|path_structure,2
context|liquidity|path_structure|volatility_term_structure,2
compression|context|path_structure|trend|volatility,2
compression|liquidity|trend|volatility,2
compression|trend|volatility,2
context|liquidity|momentum|volatility_term_structure,2
context|liquidity|volatility|volatility_term_structure,2
compression|context|liquidity|path_structure|volatility|volatility_term_structure,2
compression|liquidity|momentum|path_structure,2
momentum,2
compression,2
compression|momentum|trend|volatility_term_structure,2
context|liquidity|momentum|volatility,2
compression|volatility_term_structure,2
context|path_structure|trend|volatility|volatility_term_structure,1
compression|momentum|trend,1
momentum|path_structure|volatility,1
compression|liquidity|path_structure|trend,1
compression|context|liquidity|momentum|path_structure|volatility_term_structure,1
liquidity|trend|volatility_term_structure,1
context|momentum|trend,1
compression|liquidity|path_structure|volatility|volatility_term_structure,1
compression|path_structure|volatility_term_structure,1
momentum|volatility|volatility_term_structure,1
momentum|path_structure|volatility|volatility_term_structure,1
compression|liquidity|volatility_term_structure,1
liquidity|volatility,1
compression|path_structure|volatility|volatility_term_structure,1
compression|context|path_structure|volatility|volatility_term_structure,1
context|momentum|path_structure|trend|volatility,1
compression|context|liquidity|trend|volatility,1
volatility,1
context|path_structure|trend|volatility_term_structure,1
