canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(ema20_slope_5h>0.13529618&range_24h_pct<=0.066120759&realized_volatility_24h<=-0.41466755&volume_zscore_48h>-0.41082159),4,4,regime,compression|liquidity|trend|volatility,,compression|liquidity|trend|volatility
(*)|(*)|(ema20_slope_5h>0.13529618&range_24h_pct<=0.066120759&realized_volatility_24h>-0.41466755&volume_zscore_48h>-0.41082159),4,4,regime,compression|liquidity|trend|volatility,,compression|liquidity|trend|volatility
(*)|(dist_ema20_atr<=0.44548473&dist_rolling_7d_high<=0.26168549)|(atr_percentile<=0.097916998&range_24h_pct>0.066120759),4,4,location|regime,compression,context,compression|context
(*)|(dist_ema20_atr>0.44548473&dist_rolling_7d_high<=0.26168549)|(atr_percentile<=0.097916998&range_24h_pct>0.066120759),4,4,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high<=0.26168549)|(atr_percentile>0.097916998&prior_range>0.28242508&range_24h_pct>0.066120759),4,4,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high>0.26168549)|(range_24h_pct>0.066120759),2,2,location|regime,compression,context,compression|context
(*)|(*)|(range_24h_pct<=0.036860347&rolling_range_20>-0.7088514),2,2,regime,compression,,compression
(*)|(loc_swing_range_pos_24<=0.357142)|(range_24h_pct>0.036860347&realized_volatility_24h<=-0.49204886),3,3,location|regime,compression|volatility,context,compression|context|volatility
(*)|(loc_prior_bar_pos_24<=-0.48106921)|(range_24h_pct<=0.099851608&range_24h_pct>0.051106453&realized_volatility_24h>-0.49204886),4,4,location|regime,compression|volatility,context,compression|context|volatility
(*)|(loc_prior_bar_pos_24>-0.48106921)|(range_24h_pct<=0.099851608&range_24h_pct>0.051106453&realized_volatility_24h>-0.49204886&tail_asymmetry_q90_q10_atr_norm<=-0.36410838),5,5,location|regime,compression|path_structure|volatility,context,compression|context|path_structure|volatility
(*)|(*)|(ema50_slope<=-0.060441472&range_24h_pct>0.099851608&realized_volatility_24h>-0.49204886),3,3,regime,compression|trend|volatility,,compression|trend|volatility
(*)|(loc_initial_balance_pos_24>0.21932651&loc_vwap_dev_z_48<=0.030758679)|(range_24h_pct<=0.070893288&range_expansion_ratio<=-0.085133605),4,4,location|regime,compression|volatility_term_structure,context|liquidity,compression|context|liquidity|volatility_term_structure
(*)|(*)|(amihud_illiq<=0.024170082&range_24h_pct<=0.070893288&range_expansion_ratio>-0.085133605&volume_autocorr_48>-0.043693434),4,4,regime,compression|liquidity|volatility_term_structure,,compression|liquidity|volatility_term_structure
(*)|(dist_ema50_atr<=0.0041573779)|(prior_volatility<=0.2236346&range_24h_pct>0.070893288),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_ema50_atr<=0.0041573779)|(prior_volatility>0.2236346&range_24h_pct>0.070893288),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_ema50_atr>0.0041573779&dist_range_mid_atr>0.058322437)|(range_24h_pct>0.070893288),3,3,location|regime,compression,context,compression|context
(*)|(loc_range_pos_48<=0.44552481)|(range_24h_pct<=0.065704256&up_down_semivol_ratio_tanh>0.10928907),3,3,location|regime,compression|path_structure,context,compression|context|path_structure
(*)|(loc_range_pos_48>0.44552481)|(range_24h_pct<=0.065704256&up_down_semivol_ratio_tanh>0.18281779&volume_autocorr_48>-0.65239328),4,4,location|regime,compression|liquidity|path_structure,context,compression|context|liquidity|path_structure
(*)|(*)|(ema50_slope<=0.090819716&prior_range<=0.48966634&range_24h_pct>0.065704256),3,3,regime,compression|context|trend,,compression|context|trend
(*)|(*)|(ema50_slope<=0.090819716&prior_range>0.48966634&range_24h_pct>0.065704256),3,3,regime,compression|context|trend,,compression|context|trend
(*)|(*)|(ema50_slope>0.090819716&range_24h_pct>0.065704256&variance_ratio_10_48>0.084907286),3,3,regime,compression|trend|volatility,,compression|trend|volatility
(*)|(dist_prior_day_low<=0.040082637&dist_rolling_7d_high<=0.13921341)|(prior_range<=0.5841862&return_autocorr_48>0.30297205&up_down_semivol_ratio_tanh<=0.6676054),5,5,location|regime,context|momentum|path_structure,context,context|momentum|path_structure
(*)|(dist_prior_day_low<=0.040082637)|(prior_range<=0.5841862&up_down_semivol_ratio_tanh>0.6676054),3,3,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_prior_day_low>0.040082637)|(prior_range<=0.5841862&prior_volatility>0.27913254),3,3,location|regime,context,context,context
(*)|(dist_rolling_7d_high<=0.20285486&loc_swing_range_pos_48<=0.60150343)|(prior_range>0.5841862),3,3,location|regime,context,context,context
(*)|(dist_rolling_7d_high>0.20285486)|(prior_range>0.5841862),2,2,location|regime,context,context,context
(*)|(dist_prior_day_low>0.012696989)|(amihud_illiq<=0.16751918&range_24h_pct<=0.037179291),3,3,location|regime,compression|liquidity,context,compression|context|liquidity
(*)|(dist_weekly_vwap>-0.05642591)|(range_24h_pct<=0.068729788&range_24h_pct>0.037179291&volume_zscore_48h<=-0.72083288),4,4,location|regime,compression|liquidity,context,compression|context|liquidity
(*)|(loc_prev_week_range_pos_48<=0.20000003)|(ema50_slope<=-0.31734666&range_24h_pct>0.068729788),3,3,location|regime,compression|trend,context,compression|context|trend
(*)|(loc_prev_week_range_pos_48>0.20000003)|(ema50_slope<=-0.31734666&range_24h_pct>0.068729788),3,3,location|regime,compression|trend,context,compression|context|trend
(*)|(pullback_depth<=-0.45823833)|(ema50_slope>-0.31734666&range_24h_pct>0.068729788),3,3,location|regime,compression|trend,context,compression|context|trend
(*)|(dist_rolling_7d_high>0.1128897)|(ema_slope_norm<=0.85547781&prior_range<=-0.15663576&spectral_entropy_ret_24>-0.011941952),4,4,location|regime,context|path_structure|trend,context,context|path_structure|trend
(*)|(distance_to_ema<=0.17146669)|(atr_percentile<=0.73684412&bollinger_band_width<=-0.0087923892&prior_range>-0.15663576),4,4,location|regime,compression|context,context,compression|context
(*)|(*)|(atr_percentile>0.73684412&bollinger_band_width<=-0.0087923892&prior_range>-0.15663576),3,3,regime,compression|context,,compression|context
(*)|(dist_rolling_7d_high<=0.16449653&loc_session_pos_24<=0.60197592)|(bollinger_band_width>-0.0087923892&prior_range>-0.15663576),4,4,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high>0.16449653)|(bollinger_band_width>-0.0087923892&prior_range>-0.15663576),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_prior_day_high<=0.06858959)|(prior_volatility<=0.38807842&range_expansion_ratio>0.16603027&up_down_return_mass_ratio_tanh<=0.38620481&up_down_return_mass_ratio_tanh>-0.51463783),5,5,location|regime,context|path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_prior_day_high>0.06858959)|(prior_volatility<=0.38807842),2,2,location|regime,context,context,context
